County ,People at Least Partially Vaccinated,People Fully Vaccinated
Sampson,11019,6465
Cumberland,43281,28930
Pitt,32464,25185
Beaufort,11180,7215
Durham,65948,44837
Jones,2002,1024
Pender,10219,6578
Carteret,15833,8664
Swain,2733,1459
Halifax,10488,5273
Lenoir,10647,6974
Perquimans,3399,1500
Henderson,20983,14117
Scotland,6168,4165
Alamance,30008,18016
Haywood,12185,8748
Tyrrell,901,568
Pasquotank,10040,6792
Mcdowell,8621,5636
Washington,2410,1509
Polk,4059,2393
Caldwell,14548,10182
Graham,1850,1139
Warren,4188,1977
Cleveland,18135,8929
Wake,199827,116629
Rockingham,15981,7179
Lee,11054,6380
Rowan,18077,12380
Wilkes,11428,6229
Harnett,17375,10553
Wilson,13567,7821
Pamlico,3656,2179
Rutherford,10287,5407
Surry,13979,9058
Alleghany,2656,1849
Orange,36089,25403
Bladen,6352,4009
Granville,11918,7097
Out of State,45457,27225
Davidson,23265,14517
Stokes,6667,4482
Onslow,19817,11614
Stanly,9485,5528
Craven,20522,11561
Franklin,10513,6629
Anson,4118,2593
Gaston,33607,20562
Yadkin,6713,4300
Hyde,1587,965
Randolph,19274,10946
Hertford,4853,2216
Union,34406,19789
Moore,25949,15488
Martin,4790,2987
Johnston,32128,17919
Columbus,8317,4716
Robeson,17571,10845
Macon,8289,4692
Davie,7931,6826
Yancey,3821,2184
Missing,3224,903
New Hanover,47261,32905
Brunswick,36769,23264
Currituck,5151,3408
Camden,2207,1144
Person,7498,4580
Greene,3505,2639
Guilford,88724,50208
Madison,4303,3271
Chatham,18035,12665
Wayne,17624,8360
Ashe,5611,3003
Hoke,5460,3372
Dare,10211,7402
Montgomery,4968,3017
Forsyth,65358,42296
Chowan,4018,2458
Transylvania,6457,4553
Iredell,26782,16651
Clay,2049,1136
Vance,8914,5023
Mecklenburg,148496,88401
Edgecombe,7665,4502
Cherokee,5183,2951
Bertie,4659,2503
Lincoln,13483,7703
Alexander,6393,3638
Nash,17389,8894
Richmond,8602,5485
Mitchell,2512,1346
Cabarrus,27831,16732
Duplin,7970,4505
Buncombe,46089,28436
Avery,3871,2624
Catawba,27994,16965
Jackson,8787,3242
Gates,2392,1222
Burke,17092,10514
Caswell,4779,2643
Northampton,4644,2276
Watauga,11327,7337
