"Cases Per 100,000 Residents",Deaths,"Cases Per 10,000 Residents",ZIP Code,Cases
7766.0,6,777.0,27006,1155
10035.0,5,1003.0,27865,201
9064.0,8,906.0,28119,275
8855.0,43,885.0,27021,1592
10663.0,31,1066.0,28621,1109
8993.0,3,899.0,27846,276
8213.0,20,821.0,27962,611
5510.0,2,551.0,28768,435
4844.0,6,484.0,27539,1287
7917.0,5,792.0,27596,1477
5727.0,28,573.0,27712,1263
5883.0,19,588.0,28739,1294
5912.0,31,591.0,28786,1291
,0,,28561,0
8580.0,1,858.0,27009,252
5149.0,2,515.0,28772,100
10389.0,17,1039.0,28023,1542
8023.0,2,802.0,27875,41
11704.0,91,1170.0,28601,5834
8779.0,40,878.0,28262,3835
8185.0,32,819.0,27292,3394
6259.0,4,626.0,27242,167
10492.0,74,1049.0,28054,4216
5531.0,6,553.0,27850,410
9044.0,10,904.0,28073,507
0.0,0,0.0,28629,0
10280.0,3,1028.0,27840,55
8462.0,14,846.0,28574,1498
9524.0,51,952.0,28472,1905
4549.0,2,455.0,28785,378
,0,,27969,0
8998.0,4,900.0,28318,412
8707.0,3,871.0,28523,198
8188.0,41,819.0,27604,3901
7420.0,29,742.0,28173,4737
7200.0,3,720.0,27883,314
6539.0,32,654.0,27612,2564
7459.0,33,746.0,28501,1455
5075.0,0,507.0,27941,34
8735.0,40,873.0,28562,3320
12325.0,44,1233.0,28658,3187
7442.0,42,744.0,27262,1843
8646.0,2,865.0,27544,371
11227.0,0,1123.0,28347,205
4690.0,17,469.0,28801,787
9218.0,9,922.0,28572,588
5691.0,16,569.0,27403,1211
8054.0,1,805.0,28395,214
7699.0,25,770.0,27332,2583
4275.0,13,428.0,27513,2095
9570.0,21,957.0,27932,1210
6467.0,0,647.0,27343,119
9340.0,70,934.0,27886,2017
6872.0,6,687.0,28391,366
4486.0,0,449.0,27411,38
7211.0,3,721.0,28429,616
6900.0,11,690.0,28420,353
8804.0,11,880.0,28518,775
11100.0,22,1110.0,28630,2261
6499.0,43,650.0,28716,1212
9654.0,48,965.0,28146,2933
6581.0,5,658.0,28751,246
9113.0,9,911.0,28128,738
0.0,0,0.0,28672,0
7076.0,9,708.0,28722,485
4805.0,0,481.0,27842,69
7487.0,7,749.0,28439,115
7834.0,0,783.0,28649,81
8750.0,2,875.0,27042,63
10450.0,54,1045.0,28215,6297
6360.0,5,636.0,27408,1107
6268.0,2,627.0,27806,153
0.0,0,0.0,27821,0
6951.0,13,695.0,27409,1248
0.0,0,0.0,28587,0
7537.0,3,754.0,27808,187
0.0,0,0.0,27881,0
7586.0,16,759.0,28403,3182
8422.0,6,842.0,27013,547
7909.0,31,791.0,27104,2324
6748.0,0,675.0,28611,66
8258.0,48,826.0,28269,6727
6783.0,3,678.0,27050,277
9614.0,0,961.0,28444,219
8171.0,5,817.0,28673,541
7599.0,3,760.0,27810,321
0.0,0,0.0,27157,0
10926.0,8,1093.0,28366,563
22999.0,37,2300.0,27509,1595
7997.0,12,800.0,27239,770
6492.0,7,649.0,28544,364
2603.0,0,260.0,27964,17
6519.0,13,652.0,28409,2280
5684.0,17,568.0,27278,1545
4744.0,0,474.0,27979,86
10060.0,18,1006.0,28217,3106
9906.0,5,991.0,28369,222
0.0,0,0.0,28735,0
9084.0,48,908.0,27330,3591
10730.0,72,1073.0,28043,2304
4599.0,15,460.0,27516,2029
10303.0,7,1030.0,28638,1294
7205.0,1,721.0,27608,836
11799.0,49,1180.0,28328,3180
8053.0,0,805.0,27047,103
9194.0,34,919.0,27537,2328
7962.0,18,796.0,27401,1610
7065.0,7,706.0,27040,929
7931.0,47,793.0,28078,5241
6850.0,1,685.0,27541,277
3055.0,0,305.0,27966,45
