County Population,Gender,People at Least Partially Vaccinated,Percent of Population Fully Vaccinated,Demographic,Ethnicity,Percent of Population at Least Partially Vaccinated,Aggregation Level,People Fully Vaccinated,Race,Age Group,County ,Week of,County Demographic Population
18069.0,Missing or Undisclosed,1.0,,Gender,Missing or Undisclosed,,County,0.0,Missing or Undisclosed,,Yancey,2021-02-01,
18069.0,Missing or Undisclosed,0.0,,Gender,Missing or Undisclosed,,County,2.0,Missing or Undisclosed,,Yancey,2021-02-01,
18069.0,Female,123.0,,Gender,Missing or Undisclosed,,County,105.0,Missing or Undisclosed,,Yancey,2021-02-01,9179.0
18069.0,Male,108.0,,Gender,Missing or Undisclosed,,County,81.0,Missing or Undisclosed,,Yancey,2021-02-01,8890.0
19483.0,Missing or Undisclosed,8.0,,Ethnicity,Missing or Undisclosed,,County,1.0,Missing or Undisclosed,,Northampton,2021-03-08,
19483.0,Missing or Undisclosed,34.0,,Ethnicity,Hispanic,,County,1.0,Missing or Undisclosed,,Northampton,2021-03-08,513.0
19483.0,Missing or Undisclosed,182.0,,Ethnicity,Non-Hispanic,,County,348.0,Missing or Undisclosed,,Northampton,2021-03-08,18970.0
44829.0,Missing or Undisclosed,279.0,,Race,Missing or Undisclosed,,County,363.0,Black or African-American,,Richmond,2021-03-08,14697.0
44829.0,Missing or Undisclosed,9.0,,Race,Missing or Undisclosed,,County,13.0,American Indian or Alaskan Native,,Richmond,2021-03-08,1584.0
44829.0,Missing or Undisclosed,3.0,,Race,Missing or Undisclosed,,County,6.0,Asian or Pacific Islander,,Richmond,2021-03-08,561.0
44829.0,Missing or Undisclosed,416.0,,Race,Missing or Undisclosed,,County,705.0,White,,Richmond,2021-03-08,27987.0
44829.0,Missing or Undisclosed,42.0,,Race,Missing or Undisclosed,,County,0.0,Missing or Undisclosed,,Richmond,2021-03-08,
44829.0,Missing or Undisclosed,82.0,,Race,Missing or Undisclosed,,County,49.0,Other,,Richmond,2021-03-08,
62806.0,Missing or Undisclosed,1818.0,,Race,Missing or Undisclosed,,County,117.0,White,,Stanly,2021-01-18,53519.0
62806.0,Missing or Undisclosed,11.0,,Race,Missing or Undisclosed,,County,0.0,Other,,Stanly,2021-01-18,
62806.0,Missing or Undisclosed,109.0,,Race,Missing or Undisclosed,,County,4.0,Suppressed,,Stanly,2021-01-18,9287.0
22440.0,Male,165.0,,Gender,Missing or Undisclosed,,County,133.0,Missing or Undisclosed,,Martin,2021-02-08,10544.0
22440.0,Missing or Undisclosed,1.0,,Gender,Missing or Undisclosed,,County,0.0,Missing or Undisclosed,,Martin,2021-02-08,
22440.0,Missing or Undisclosed,2.0,,Gender,Missing or Undisclosed,,County,1.0,Missing or Undisclosed,,Martin,2021-02-08,
22440.0,Female,208.0,,Gender,Missing or Undisclosed,,County,223.0,Missing or Undisclosed,,Martin,2021-02-08,11896.0
97947.0,Missing or Undisclosed,,,Age Group,Missing or Undisclosed,,County,,Missing or Undisclosed,0-17,Cleveland,2021-01-18,21443.0
97947.0,Missing or Undisclosed,9.0,,Age Group,Missing or Undisclosed,,County,3.0,Missing or Undisclosed,18-24,Cleveland,2021-01-18,8645.0
97947.0,Missing or Undisclosed,0.0,,Age Group,Missing or Undisclosed,,County,1.0,Missing or Undisclosed,Missing or Undisclosed,Cleveland,2021-01-18,
97947.0,Missing or Undisclosed,97.0,,Age Group,Missing or Undisclosed,,County,93.0,Missing or Undisclosed,25-49,Cleveland,2021-01-18,28635.0
97947.0,Missing or Undisclosed,1125.0,,Age Group,Missing or Undisclosed,,County,3.0,Missing or Undisclosed,75+,Cleveland,2021-01-18,7497.0
97947.0,Missing or Undisclosed,137.0,,Age Group,Missing or Undisclosed,,County,53.0,Missing or Undisclosed,50-64,Cleveland,2021-01-18,20649.0
97947.0,Missing or Undisclosed,1266.0,,Age Group,Missing or Undisclosed,,County,13.0,Missing or Undisclosed,65-74,Cleveland,2021-01-18,11078.0
,Missing or Undisclosed,577.0,,Race,Missing or Undisclosed,,County,0.0,White,,Out of State,2020-12-21,
,Missing or Undisclosed,14.0,,Race,Missing or Undisclosed,,County,0.0,Other,,Out of State,2020-12-21,
,Missing or Undisclosed,36.0,,Race,Missing or Undisclosed,,County,0.0,Asian or Pacific Islander,,Out of State,2020-12-21,
,Missing or Undisclosed,7.0,,Race,Missing or Undisclosed,,County,0.0,American Indian or Alaskan Native,,Out of State,2020-12-21,
,Missing or Undisclosed,44.0,,Race,Missing or Undisclosed,,County,0.0,Black or African-American,,Out of State,2020-12-21,
169509.0,Missing or Undisclosed,,,Age Group,Missing or Undisclosed,,County,,Missing or Undisclosed,0-17,Alamance,2021-01-04,37364.0
169509.0,Missing or Undisclosed,189.0,,Age Group,Missing or Undisclosed,,County,1.0,Missing or Undisclosed,65-74,Alamance,2021-01-04,16352.0
169509.0,Missing or Undisclosed,33.0,,Age Group,Missing or Undisclosed,,County,6.0,Missing or Undisclosed,18-24,Alamance,2021-01-04,17888.0
169509.0,Missing or Undisclosed,282.0,,Age Group,Missing or Undisclosed,,County,30.0,Missing or Undisclosed,50-64,Alamance,2021-01-04,33484.0
169509.0,Missing or Undisclosed,1216.0,,Age Group,Missing or Undisclosed,,County,0.0,Missing or Undisclosed,75+,Alamance,2021-01-04,12683.0
169509.0,Missing or Undisclosed,440.0,,Age Group,Missing or Undisclosed,,County,86.0,Missing or Undisclosed,25-49,Alamance,2021-01-04,51738.0
11137.0,Missing or Undisclosed,312.0,,Race,Missing or Undisclosed,,County,33.0,White,,Alleghany,2021-01-18,10730.0
11137.0,Missing or Undisclosed,254.0,,Race,Missing or Undisclosed,,County,1.0,Other,,Alleghany,2021-01-18,
11137.0,Missing or Undisclosed,4.0,,Race,Missing or Undisclosed,,County,1.0,Suppressed,,Alleghany,2021-01-18,407.0
14271.0,Missing or Undisclosed,1.0,,Race,Missing or Undisclosed,,County,0.0,Missing or Undisclosed,,Swain,2021-02-01,
14271.0,Missing or Undisclosed,389.0,,Race,Missing or Undisclosed,,County,140.0,White,,Swain,2021-02-01,9298.0
14271.0,Missing or Undisclosed,7.0,,Race,Missing or Undisclosed,,County,3.0,Other,,Swain,2021-02-01,
14271.0,Missing or Undisclosed,7.0,,Race,Missing or Undisclosed,,County,6.0,Suppressed,,Swain,2021-02-01,4973.0
91010.0,Missing or Undisclosed,4.0,,Ethnicity,Hispanic,,County,0.0,Missing or Undisclosed,,Rockingham,2020-12-28,5760.0
91010.0,Missing or Undisclosed,346.0,,Ethnicity,Non-Hispanic,,County,0.0,Missing or Undisclosed,,Rockingham,2020-12-28,85250.0
67029.0,Missing or Undisclosed,26.0,,Gender,Missing or Undisclosed,,County,3.0,Missing or Undisclosed,,Rutherford,2021-02-22,
67029.0,Missing or Undisclosed,1.0,,Gender,Missing or Undisclosed,,County,0.0,Missing or Undisclosed,,Rutherford,2021-02-22,
67029.0,Missing or Undisclosed,1.0,,Gender,Missing or Undisclosed,,County,0.0,Missing or Undisclosed,,Rutherford,2021-02-22,
67029.0,Missing or Undisclosed,1.0,,Gender,Missing or Undisclosed,,County,0.0,Missing or Undisclosed,,Rutherford,2021-02-22,
67029.0,Female,979.0,,Gender,Missing or Undisclosed,,County,1076.0,Missing or Undisclosed,,Rutherford,2021-02-22,34676.0
67029.0,Male,719.0,,Gender,Missing or Undisclosed,,County,794.0,Missing or Undisclosed,,Rutherford,2021-02-22,32353.0
