Demographic,Race,Value,calc.ValueComma,Age Group,Gender,Hispanic,Name
Gender,,6206,"6,206",,Male,,Deaths
Gender,,47%,47%,,Male,,Percent of Cases
Gender,,52%,52%,,Male,,Percent of Deaths
Gender,,420146,"420,146",,Male,,Cases
Gender,,5665,"5,665",,Female,,Deaths
Gender,,53%,53%,,Female,,Percent of Cases
Gender,,48%,48%,,Female,,Percent of Deaths
Gender,,476991,"476,991",,Female,,Cases
Gender,,23,23,,Missing,,Deaths
Gender,,,,,Missing,,Percent of Cases
Gender,,,,,Missing,,Percent of Deaths
Gender,,4125,"4,125",,Missing,,Cases
Ethnicity,,79%,79%,,,Non-Hispanic,Percent of Cases
Ethnicity,,92%,92%,,,Non-Hispanic,Percent of Deaths
Ethnicity,,9234,"9,234",,,Non-Hispanic,Deaths
Ethnicity,,461958,"461,958",,,Non-Hispanic,Cases
Ethnicity,,,,,,Missing,Percent of Cases
Ethnicity,,,,,,Missing,Percent of Deaths
Ethnicity,,1831,"1,831",,,Missing,Deaths
Ethnicity,,317367,"317,367",,,Missing,Cases
Ethnicity,,21%,21%,,,Hispanic,Percent of Cases
Ethnicity,,8%,8%,,,Hispanic,Percent of Deaths
Ethnicity,,829,829,,,Hispanic,Deaths
Ethnicity,,121937,"121,937",,,Hispanic,Cases
Age Group,,1599,"1,599",50-64,,,Deaths
Age Group,,20%,20%,50-64,,,Percent of Cases
Age Group,,13%,13%,50-64,,,Percent of Deaths
Age Group,,184050,"184,050",50-64,,,Cases
Age Group,,1,1,Missing,,,Deaths
Age Group,,,,Missing,,,Percent of Cases
Age Group,,,,Missing,,,Percent of Deaths
Age Group,,187,187,Missing,,,Cases
Age Group,,7071,"7,071",75+,,,Deaths
Age Group,,7%,7%,75+,,,Percent of Cases
Age Group,,59%,59%,75+,,,Percent of Deaths
Age Group,,58997,"58,997",75+,,,Cases
Age Group,,403,403,25-49,,,Deaths
Age Group,,39%,39%,25-49,,,Percent of Cases
Age Group,,3%,3%,25-49,,,Percent of Deaths
Age Group,,353677,"353,677",25-49,,,Cases
Age Group,,2804,"2,804",65-74,,,Deaths
Age Group,,8%,8%,65-74,,,Percent of Cases
Age Group,,24%,24%,65-74,,,Percent of Deaths
Age Group,,73105,"73,105",65-74,,,Cases
Age Group,,3,3,0-17,,,Deaths
Age Group,,12%,12%,0-17,,,Percent of Cases
Age Group,,0%,0%,0-17,,,Percent of Deaths
Age Group,,108295,"108,295",0-17,,,Cases
Age Group,,13,13,18-24,,,Deaths
Age Group,,14%,14%,18-24,,,Percent of Cases
Age Group,,0%,0%,18-24,,,Percent of Deaths
Age Group,,122951,"122,951",18-24,,,Cases
Race,White,7408,"7,408",,,,Deaths
Race,White,62%,62%,,,,Percent of Cases
Race,White,66%,66%,,,,Percent of Deaths
Race,White,458470,"458,470",,,,Cases
Race,Other,742,742,,,,Deaths
Race,Other,14%,14%,,,,Percent of Cases
Race,Other,7%,7%,,,,Percent of Deaths
Race,Other,102053,"102,053",,,,Cases
Race,Missing,735,735,,,,Deaths
Race,Missing,,,,,,Percent of Cases
Race,Missing,,,,,,Percent of Deaths
Race,Missing,161992,"161,992",,,,Cases
Race,Black or African American,2753,"2,753",,,,Deaths
Race,Black or African American,21%,21%,,,,Percent of Cases
Race,Black or African American,25%,25%,,,,Percent of Deaths
Race,Black or African American,153014,"153,014",,,,Cases
Race,American Indian Alaskan Native,132,132,,,,Deaths
Race,American Indian Alaskan Native,2%,2%,,,,Percent of Cases
Race,American Indian Alaskan Native,1%,1%,,,,Percent of Deaths
Race,American Indian Alaskan Native,11426,"11,426",,,,Cases
Race,Asian or Pacific Islander,124,124,,,,Deaths
Race,Asian or Pacific Islander,2%,2%,,,,Percent of Cases
Race,Asian or Pacific Islander,1%,1%,,,,Percent of Deaths
Race,Asian or Pacific Islander,14307,"14,307",,,,Cases
