County ,People at Least Partially Vaccinated,People Fully Vaccinated
Sampson,13193,7814
Cumberland,49170,34534
Pitt,38488,30979
Beaufort,13045,9195
Durham,83534,55362
Jones,2223,1298
Pender,12550,7803
Carteret,19209,9878
Swain,2975,1847
Halifax,13440,6810
Lenoir,12152,7898
Perquimans,3692,2649
Henderson,25459,18198
Scotland,8125,4662
Alamance,38590,23028
Haywood,13786,9995
Tyrrell,1086,646
Pasquotank,10991,7364
McDowell,10237,6795
Washington,2666,1812
Polk,5349,2570
Caldwell,16845,12328
Graham,1992,1304
Warren,5108,2641
Cleveland,20183,11552
Wake,250255,152390
Rockingham,18988,9476
Lee,13485,8297
Rowan,20728,14109
Wilkes,14000,7518
Harnett,20195,13417
Wilson,16510,9355
Pamlico,4287,2743
Rutherford,13040,5907
Surry,16954,9576
Alleghany,3093,2096
Orange,45383,30810
Bladen,7464,4698
Granville,13655,8318
Out of State,53371,34536
Davidson,28359,18793
Stokes,8069,5139
Onslow,22652,12799
Stanly,10888,6642
Craven,24850,13249
Franklin,12364,8362
Anson,5061,3104
Gaston,39069,26071
Yadkin,7974,4588
Hyde,1773,1084
Randolph,23962,13714
Hertford,5602,2727
Union,39833,28091
Moore,28800,19622
Martin,5506,3555
Johnston,37955,21919
Columbus,10712,6239
Robeson,20680,12108
Macon,10204,7108
Davie,9116,7466
Yancey,4767,2450
Missing,4699,1826
New Hanover,57994,40447
Brunswick,43373,28985
Currituck,6162,3628
Camden,2527,1297
Person,9127,5282
Greene,4672,2938
Guilford,126133,65783
Madison,5034,3966
Chatham,20547,14215
Wayne,21897,10581
Ashe,6602,3843
Hoke,6419,4030
Dare,12481,9448
Montgomery,5476,3195
Forsyth,81194,56140
Chowan,4568,2732
Transylvania,8179,5481
Iredell,31882,22317
Clay,2413,1223
Vance,10344,5887
Mecklenburg,186534,116251
Edgecombe,9695,5487
Cherokee,6142,3304
Bertie,5312,3085
Lincoln,15758,10472
Alexander,8482,4632
Nash,21486,10994
Richmond,9885,6530
Mitchell,3171,1746
Cabarrus,34041,21900
Duplin,9569,5269
Buncombe,60954,37208
Avery,4780,2948
Catawba,32569,20971
Jackson,10346,4899
Gates,2763,1512
Burke,19451,12652
Caswell,5386,2991
Northampton,5424,2800
Watauga,13538,10063
