"Cases Per 100,000 Residents",Deaths,"Cases Per 10,000 Residents",County,Cases
9794.0,237,979.0,Alamance,16602
10868.0,82,1087.0,Alexander,4075
8422.0,5,842.0,Alleghany,938
9867.0,55,987.0,Anson,2412
7157.0,40,716.0,Ashe,1947
11147.0,20,1115.0,Avery,1957
9431.0,87,943.0,Beaufort,4432
8930.0,42,893.0,Bertie,1692
9428.0,41,943.0,Bladen,3085
5933.0,142,593.0,Brunswick,8473
6223.0,295,622.0,Buncombe,16253
10497.0,145,1050.0,Burke,9498
8983.0,240,898.0,Cabarrus,19444
10836.0,100,1084.0,Caldwell,8905
5705.0,5,571.0,Camden,620
6682.0,45,668.0,Carteret,4642
9056.0,25,906.0,Caswell,2047
11331.0,291,1133.0,Catawba,18079
5793.0,80,579.0,Chatham,4314
7738.0,20,774.0,Cherokee,2214
9984.0,22,998.0,Chowan,1392
6037.0,18,604.0,Clay,678
11004.0,218,1100.0,Cleveland,10778
10982.0,148,1098.0,Columbus,6096
8612.0,118,861.0,Craven,8796
7597.0,290,760.0,Cumberland,25489
5223.0,15,522.0,Currituck,1450
5293.0,8,529.0,Dare,1959
9041.0,178,904.0,Davidson,15154
8729.0,35,873.0,Davie,3740
10082.0,128,1008.0,Duplin,5922
7101.0,212,710.0,Durham,22830
9572.0,101,957.0,Edgecombe,4927
8658.0,359,866.0,Forsyth,33100
8457.0,46,846.0,Franklin,5893
10961.0,399,1096.0,Gaston,24611
6054.0,12,605.0,Gates,700
6741.0,12,674.0,Graham,569
9116.0,77,912.0,Granville,5510
10342.0,42,1034.0,Greene,2179
7854.0,601,785.0,Guilford,42188
10270.0,103,1027.0,Halifax,5136
7574.0,162,757.0,Harnett,10299
6388.0,91,639.0,Haywood,3981
8038.0,153,804.0,Henderson,9438
8426.0,63,843.0,Hertford,1995
7805.0,55,780.0,Hoke,4311
12741.0,8,1274.0,Hyde,629
9486.0,203,949.0,Iredell,17246
7893.0,55,789.0,Jackson,3468
9138.0,203,914.0,Johnston,19130
8175.0,16,817.0,Jones,770
9099.0,73,910.0,Lee,5621
10054.0,109,1005.0,Lenoir,5625
10673.0,78,1067.0,Lincoln,9191
10962.0,63,1096.0,McDowell,5016
7429.0,29,743.0,Macon,2664
6610.0,40,661.0,Madison,1438
9523.0,37,952.0,Martin,2137
9126.0,904,913.0,Mecklenburg,101328
8647.0,16,865.0,Mitchell,1294
11732.0,90,1173.0,Montgomery,3188
8242.0,181,824.0,Moore,8315
10976.0,174,1098.0,Nash,10350
7354.0,161,735.0,New Hanover,17242
9095.0,39,910.0,Northampton,1772
7708.0,139,771.0,Onslow,15258
5379.0,99,538.0,Orange,7987
8078.0,11,808.0,Pamlico,1028
7945.0,78,794.0,Pasquotank,3164
7886.0,68,789.0,Pender,4973
6982.0,9,698.0,Perquimans,940
8040.0,67,804.0,Person,3175
10008.0,85,1001.0,Pitt,18088
6741.0,27,674.0,Polk,1397
9793.0,213,979.0,Randolph,14069
9661.0,92,966.0,Richmond,4331
11963.0,221,1196.0,Robeson,15627
7737.0,73,774.0,Rockingham,7041
10919.0,294,1092.0,Rowan,15514
10316.0,204,1032.0,Rutherford,6915
11503.0,97,1150.0,Sampson,7308
10209.0,80,1021.0,Scotland,3555
11464.0,112,1146.0,Stanly,7200
8225.0,76,823.0,Stokes,3750
10593.0,155,1059.0,Surry,7604
8283.0,16,828.0,Swain,1182
5866.0,27,587.0,Transylvania,2017
7669.0,6,767.0,Tyrrell,308
9198.0,206,920.0,Union,22062
10291.0,85,1029.0,Vance,4583
7132.0,657,713.0,Wake,79294
8509.0,18,851.0,Warren,1679
8748.0,31,875.0,Washington,1013
7475.0,30,747.0,Watauga,4199
8519.0,234,852.0,Wayne,10489
9148.0,104,915.0,Wilkes,6258
10886.0,158,1089.0,Wilson,8905
10043.0,47,1004.0,Yadkin,3783
8324.0,26,832.0,Yancey,1504
