"Cases Per 100,000 Residents",Deaths,"Cases Per 10,000 Residents",ZIP Code,Cases
8029.0,6,803.0,27006,1194
10334.0,5,1033.0,27865,207
9196.0,8,920.0,28119,279
9005.0,44,900.0,27021,1619
10750.0,32,1075.0,28621,1118
9189.0,3,919.0,27846,282
5636.0,2,564.0,28768,445
8321.0,20,832.0,27962,619
5018.0,6,502.0,27539,1333
8293.0,5,829.0,27596,1547
5863.0,28,586.0,27712,1293
6124.0,19,612.0,28739,1347
5994.0,31,599.0,28786,1309
,0,,28561,0
8648.0,1,865.0,27009,254
5149.0,1,515.0,28772,100
10571.0,17,1057.0,28023,1569
8023.0,2,802.0,27875,41
11900.0,94,1190.0,28601,5932
8997.0,41,900.0,28262,3930
8349.0,33,835.0,27292,3462
6559.0,4,656.0,27242,175
10653.0,76,1065.0,28054,4281
5760.0,6,576.0,27850,427
9240.0,10,924.0,28073,518
0.0,0,0.0,28629,0
10280.0,3,1028.0,27840,55
8502.0,14,850.0,28574,1505
9684.0,52,968.0,28472,1937
4646.0,2,465.0,28785,386
,0,,27969,0
9391.0,4,939.0,28318,430
8795.0,3,880.0,28523,200
8442.0,45,844.0,27604,4022
7740.0,30,774.0,28173,4941
7429.0,3,743.0,27883,324
6761.0,37,676.0,27612,2651
7608.0,33,761.0,28501,1484
8964.0,41,896.0,28562,3407
5075.0,0,507.0,27941,34
12515.0,44,1251.0,28658,3236
7749.0,55,775.0,27262,1919
8856.0,3,886.0,27544,380
11172.0,0,1117.0,28347,204
4821.0,17,482.0,28801,809
9280.0,9,928.0,28572,592
5889.0,17,589.0,27403,1253
8280.0,1,828.0,28395,220
7806.0,25,781.0,27332,2619
4408.0,23,441.0,27513,2160
9609.0,21,961.0,27932,1215
6576.0,0,658.0,27343,121
9516.0,70,952.0,27886,2055
7097.0,6,710.0,28391,378
4604.0,0,460.0,27411,39
7481.0,3,748.0,28429,639
6978.0,11,698.0,28420,357
8917.0,11,892.0,28518,785
11238.0,26,1124.0,28630,2289
6563.0,43,656.0,28716,1224
9828.0,49,983.0,28146,2986
6688.0,5,669.0,28751,250
9348.0,9,935.0,28128,757
0.0,0,0.0,28672,0
7193.0,9,719.0,28722,493
8659.0,7,866.0,28439,133
4805.0,0,481.0,27842,69
8221.0,0,822.0,28649,85
8889.0,2,889.0,27042,64
10663.0,56,1066.0,28215,6425
0.0,0,0.0,27821,0
6514.0,2,651.0,27806,159
6561.0,6,656.0,27408,1142
7185.0,14,719.0,27409,1290
0.0,0,0.0,28587,0
7739.0,3,774.0,27808,192
0.0,0,0.0,27881,0
7846.0,16,785.0,28403,3291
8049.0,31,805.0,27104,2365
8807.0,6,881.0,27013,572
6851.0,0,685.0,28611,67
8481.0,48,848.0,28269,6909
6881.0,3,688.0,27050,281
9965.0,0,996.0,28444,227
8352.0,5,835.0,28673,553
7813.0,4,781.0,27810,330
0.0,0,0.0,27157,0
23244.0,37,2324.0,27509,1612
11372.0,10,1137.0,28366,586
8111.0,12,811.0,27239,781
6670.0,7,667.0,28544,374
2603.0,0,260.0,27964,17
