County ,People at Least Partially Vaccinated,People Fully Vaccinated
Sampson,14504,9301
Cumberland,53039,39854
Pitt,42913,36537
Beaufort,14325,10884
Durham,94794,65486
Jones,2510,1755
Pender,14146,9096
Carteret,21227,14531
Swain,3171,2361
Halifax,14306,8487
Lenoir,13443,9820
Perquimans,3910,3075
Henderson,28593,21457
Scotland,8734,5391
Alamance,44993,27955
Haywood,15113,11460
Tyrrell,1125,690
Pasquotank,11538,8569
McDowell,11568,7823
Washington,2876,2050
Polk,5653,3448
Caldwell,18849,14189
Graham,2052,1641
Warren,5474,3431
Cleveland,22266,16845
Wake,295104,185426
Rockingham,21389,12967
Lee,15510,9675
Rowan,22606,16862
Wilkes,14820,10382
Harnett,22309,15679
Wilson,18189,12107
Pamlico,4752,3218
Rutherford,14101,8300
Surry,18428,12358
Alleghany,3313,2326
Orange,51489,35872
Bladen,7870,5706
Granville,14926,10065
Out of State,57289,40933
Davidson,31838,22056
Stokes,8820,6037
Onslow,25108,16521
Stanly,12463,8482
Craven,27425,18413
Franklin,14008,10102
Anson,5523,3668
Gaston,42617,32344
Yadkin,8943,5884
Hyde,1937,1290
Randolph,26854,17092
Hertford,5932,3473
Union,43470,33030
Moore,30788,23657
Martin,5926,4098
Johnston,43133,27221
Columbus,11670,7585
Robeson,22433,14657
Macon,11323,8464
Davie,10006,8441
Yancey,5026,2892
Missing,6056,3097
New Hanover,62854,46256
Brunswick,47545,33984
Currituck,6973,4023
Camden,2637,1553
Person,10513,6318
Greene,5151,3337
Guilford,144619,80101
Madison,5792,4641
Chatham,22284,15489
Wayne,23912,15037
Ashe,7057,4978
Hoke,7009,4755
Dare,13677,10100
Montgomery,6286,4135
Forsyth,91718,66563
Chowan,4855,3345
Transylvania,8800,7127
Iredell,35393,26421
Clay,2587,1710
Vance,11206,7016
Mecklenburg,207887,141594
Edgecombe,11082,6814
Cherokee,6834,4445
Bertie,6020,3985
Lincoln,17179,12596
Alexander,9325,5504
Nash,24044,13959
Richmond,10812,7724
Mitchell,3486,2168
Cabarrus,37314,25984
Duplin,10570,6811
Buncombe,69687,44785
Avery,5145,3392
Catawba,35995,25347
Jackson,11221,7409
Gates,2877,1752
Burke,22185,15253
Caswell,6079,4007
Northampton,5777,3709
Watauga,14814,11716
