"Cases Per 100,000 Residents",Deaths,"Cases Per 10,000 Residents",County,Cases
10191.0,254,1019.0,Alamance,17274
11348.0,83,1135.0,Alexander,4255
8719.0,5,872.0,Alleghany,971
10071.0,55,1007.0,Anson,2462
7411.0,41,741.0,Ashe,2016
11614.0,20,1161.0,Avery,2039
9465.0,94,947.0,Beaufort,4448
9041.0,43,904.0,Bertie,1713
9593.0,41,959.0,Bladen,3139
6146.0,147,615.0,Brunswick,8778
6447.0,311,645.0,Buncombe,16840
10714.0,148,1071.0,Burke,9695
9503.0,247,950.0,Cabarrus,20569
11056.0,102,1106.0,Caldwell,9086
5834.0,5,583.0,Camden,634
7037.0,47,704.0,Carteret,4889
9295.0,27,929.0,Caswell,2101
11605.0,295,1161.0,Catawba,18516
6012.0,85,601.0,Chatham,4477
8178.0,20,818.0,Cherokee,2340
10105.0,22,1011.0,Chowan,1409
6215.0,18,621.0,Clay,698
11281.0,222,1128.0,Cleveland,11049
11161.0,149,1116.0,Columbus,6195
8833.0,122,883.0,Craven,9022
7943.0,293,794.0,Cumberland,26650
5338.0,15,534.0,Currituck,1482
5488.0,8,549.0,Dare,2031
9390.0,182,939.0,Davidson,15739
9100.0,37,910.0,Davie,3899
10344.0,128,1034.0,Duplin,6076
7437.0,216,744.0,Durham,23910
10161.0,106,1016.0,Edgecombe,5230
8946.0,367,895.0,Forsyth,34201
9011.0,48,901.0,Franklin,6279
11335.0,409,1133.0,Gaston,25450
6149.0,12,615.0,Gates,711
6776.0,12,678.0,Graham,572
9417.0,79,942.0,Granville,5692
10580.0,42,1058.0,Greene,2229
8309.0,634,831.0,Guilford,44634
10704.0,107,1070.0,Halifax,5353
7985.0,165,799.0,Harnett,10858
6688.0,92,669.0,Haywood,4168
8312.0,153,831.0,Henderson,9760
8616.0,63,862.0,Hertford,2040
8071.0,55,807.0,Hoke,4458
13186.0,8,1319.0,Hyde,651
9813.0,205,981.0,Iredell,17840
8045.0,56,805.0,Jackson,3535
9528.0,208,953.0,Johnston,19945
8472.0,18,847.0,Jones,798
9340.0,76,934.0,Lee,5770
10234.0,110,1023.0,Lenoir,5726
11078.0,85,1108.0,Lincoln,9539
11120.0,63,1112.0,McDowell,5088
7973.0,32,797.0,Macon,2859
6955.0,40,695.0,Madison,1513
9755.0,38,975.0,Martin,2189
9556.0,921,956.0,Mecklenburg,106108
8955.0,16,895.0,Mitchell,1340
11942.0,93,1194.0,Montgomery,3245
8451.0,182,845.0,Moore,8525
11534.0,174,1153.0,Nash,10876
7762.0,161,776.0,New Hanover,18200
9372.0,39,937.0,Northampton,1826
7969.0,142,797.0,Onslow,15773
5566.0,101,557.0,Orange,8264
8620.0,13,862.0,Pamlico,1097
8096.0,80,810.0,Pasquotank,3224
8145.0,69,814.0,Pender,5136
7071.0,9,707.0,Perquimans,952
8222.0,67,822.0,Person,3247
10294.0,86,1029.0,Pitt,18606
6910.0,27,691.0,Polk,1432
10176.0,221,1018.0,Randolph,14620
9991.0,92,999.0,Richmond,4479
12173.0,227,1217.0,Robeson,15901
7938.0,90,794.0,Rockingham,7224
11317.0,299,1132.0,Rowan,16080
10519.0,205,1052.0,Rutherford,7051
11926.0,104,1193.0,Sampson,7577
10421.0,82,1042.0,Scotland,3629
11894.0,112,1189.0,Stanly,7470
8445.0,79,844.0,Stokes,3850
10998.0,156,1100.0,Surry,7895
8381.0,17,838.0,Swain,1196
6302.0,29,630.0,Transylvania,2167
7719.0,6,772.0,Tyrrell,310
9619.0,211,962.0,Union,23073
10702.0,85,1070.0,Vance,4766
7487.0,702,749.0,Wake,83239
8814.0,19,881.0,Warren,1739
8938.0,31,894.0,Washington,1035
7738.0,30,774.0,Watauga,4347
8706.0,238,871.0,Wayne,10720
9387.0,108,939.0,Wilkes,6422
11320.0,163,1132.0,Wilson,9260
10221.0,47,1022.0,Yadkin,3850
8539.0,27,854.0,Yancey,1543
