Percent of Population Vaccinated with at Least One Dose,County Population,Gender,Percent of Population Fully Vaccinated,Demographic,Ethnicity,Aggregation Level,People Fully Vaccinated,People Vaccinated with at Least One Dose,Race,Age Group,County ,Week of,County Demographic Population
,39824.0,Missing or Undisclosed,,Age Group,Missing or Undisclosed,County,1.0,277.0,Missing or Undisclosed,25-49,Pasquotank,2021-01-11,12534.0
,39824.0,Missing or Undisclosed,,Age Group,Missing or Undisclosed,County,0.0,1.0,Missing or Undisclosed,Missing or Undisclosed,Pasquotank,2021-01-11,
,39824.0,Missing or Undisclosed,,Age Group,Missing or Undisclosed,County,1.0,329.0,Missing or Undisclosed,50-64,Pasquotank,2021-01-11,7838.0
,39824.0,Missing or Undisclosed,,Age Group,Missing or Undisclosed,County,0.0,181.0,Missing or Undisclosed,65-74,Pasquotank,2021-01-11,4092.0
,39824.0,Missing or Undisclosed,,Age Group,Missing or Undisclosed,County,0.0,132.0,Missing or Undisclosed,75+,Pasquotank,2021-01-11,2749.0
,39824.0,Missing or Undisclosed,,Age Group,Missing or Undisclosed,County,,,Missing or Undisclosed,0-17,Pasquotank,2021-01-11,8756.0
,39824.0,Missing or Undisclosed,,Age Group,Missing or Undisclosed,County,0.0,16.0,Missing or Undisclosed,18-24,Pasquotank,2021-01-11,3855.0
,130625.0,Missing or Undisclosed,,Age Group,Missing or Undisclosed,County,19.0,133.0,Missing or Undisclosed,18-24,Robeson,2021-03-08,13200.0
,130625.0,Missing or Undisclosed,,Age Group,Missing or Undisclosed,County,718.0,278.0,Missing or Undisclosed,65-74,Robeson,2021-03-08,12776.0
,130625.0,Missing or Undisclosed,,Age Group,Missing or Undisclosed,County,276.0,95.0,Missing or Undisclosed,75+,Robeson,2021-03-08,7789.0
,130625.0,Missing or Undisclosed,,Age Group,Missing or Undisclosed,County,174.0,703.0,Missing or Undisclosed,25-49,Robeson,2021-03-08,40072.0
,130625.0,Missing or Undisclosed,,Age Group,Missing or Undisclosed,County,0.0,6.0,Missing or Undisclosed,0-17,Robeson,2021-03-08,32200.0
,130625.0,Missing or Undisclosed,,Age Group,Missing or Undisclosed,County,246.0,1177.0,Missing or Undisclosed,50-64,Robeson,2021-03-08,24588.0
,39490.0,Missing or Undisclosed,,Race,Missing or Undisclosed,County,13.0,24.0,Other,,Person,2021-04-12,
,39490.0,Missing or Undisclosed,,Race,Missing or Undisclosed,County,9.0,5.0,Missing or Undisclosed,,Person,2021-04-12,
,39490.0,Missing or Undisclosed,,Race,Missing or Undisclosed,County,286.0,268.0,White,,Person,2021-04-12,27945.0
,39490.0,Missing or Undisclosed,,Race,Missing or Undisclosed,County,128.0,126.0,Suppressed,,Person,2021-04-12,11545.0
,46994.0,Missing or Undisclosed,,Race,Missing or Undisclosed,County,34.0,42.0,Other,,Beaufort,2021-02-22,
,46994.0,Missing or Undisclosed,,Race,Missing or Undisclosed,County,1100.0,854.0,White,,Beaufort,2021-02-22,34185.0
,46994.0,Missing or Undisclosed,,Race,Missing or Undisclosed,County,294.0,206.0,Suppressed,,Beaufort,2021-02-22,12809.0
,46994.0,Missing or Undisclosed,,Race,Missing or Undisclosed,County,0.0,7.0,Missing or Undisclosed,,Beaufort,2021-02-22,
,335509.0,Missing or Undisclosed,,Age Group,Missing or Undisclosed,County,36.0,36.0,Missing or Undisclosed,18-24,Cumberland,2021-02-01,44179.0
,335509.0,Missing or Undisclosed,,Age Group,Missing or Undisclosed,County,1800.0,1943.0,Missing or Undisclosed,65-74,Cumberland,2021-02-01,24275.0
,335509.0,Missing or Undisclosed,,Age Group,Missing or Undisclosed,County,1639.0,824.0,Missing or Undisclosed,75+,Cumberland,2021-02-01,16662.0
,335509.0,Missing or Undisclosed,,Age Group,Missing or Undisclosed,County,4.0,0.0,Missing or Undisclosed,0-17,Cumberland,2021-02-01,82854.0
,335509.0,Missing or Undisclosed,,Age Group,Missing or Undisclosed,County,224.0,404.0,Missing or Undisclosed,50-64,Cumberland,2021-02-01,52889.0
,335509.0,Missing or Undisclosed,,Age Group,Missing or Undisclosed,County,299.0,327.0,Missing or Undisclosed,25-49,Cumberland,2021-02-01,114650.0
,1111761.0,Missing or Undisclosed,,Age Group,Missing or Undisclosed,County,757.0,1617.0,Missing or Undisclosed,50-64,Wake,2021-01-04,202622.0
,1111761.0,Missing or Undisclosed,,Age Group,Missing or Undisclosed,County,1866.0,3205.0,Missing or Undisclosed,25-49,Wake,2021-01-04,411746.0
,1111761.0,Missing or Undisclosed,,Age Group,Missing or Undisclosed,County,0.0,4.0,Missing or Undisclosed,0-17,Wake,2021-01-04,262706.0
,1111761.0,Missing or Undisclosed,,Age Group,Missing or Undisclosed,County,7.0,10.0,Missing or Undisclosed,Missing or Undisclosed,Wake,2021-01-04,
,1111761.0,Missing or Undisclosed,,Age Group,Missing or Undisclosed,County,81.0,308.0,Missing or Undisclosed,18-24,Wake,2021-01-04,100823.0
,1111761.0,Missing or Undisclosed,,Age Group,Missing or Undisclosed,County,79.0,288.0,Missing or Undisclosed,65-74,Wake,2021-01-04,83002.0
,1111761.0,Missing or Undisclosed,,Age Group,Missing or Undisclosed,County,6.0,606.0,Missing or Undisclosed,75+,Wake,2021-01-04,50862.0
,14964.0,Missing or Undisclosed,,Race,Missing or Undisclosed,County,0.0,0.0,Missing or Undisclosed,,Mitchell,2020-12-28,
,14964.0,Missing or Undisclosed,,Race,Missing or Undisclosed,County,,,Suppressed,,Mitchell,2020-12-28,460.0
,14964.0,Missing or Undisclosed,,Race,Missing or Undisclosed,County,0.0,1.0,Other,,Mitchell,2020-12-28,
,14964.0,Missing or Undisclosed,,Race,Missing or Undisclosed,County,0.0,31.0,White,,Mitchell,2020-12-28,14504.0
,34385.0,Missing or Undisclosed,,Age Group,Missing or Undisclosed,County,,,Missing or Undisclosed,0-17,Transylvania,2021-03-01,5286.0
,34385.0,Missing or Undisclosed,,Age Group,Missing or Undisclosed,County,219.0,330.0,Missing or Undisclosed,65-74,Transylvania,2021-03-01,5808.0
,34385.0,Missing or Undisclosed,,Age Group,Missing or Undisclosed,County,15.0,188.0,Missing or Undisclosed,25-49,Transylvania,2021-03-01,8467.0
,34385.0,Missing or Undisclosed,,Age Group,Missing or Undisclosed,County,4.0,22.0,Missing or Undisclosed,18-24,Transylvania,2021-03-01,2557.0
,34385.0,Missing or Undisclosed,,Age Group,Missing or Undisclosed,County,21.0,196.0,Missing or Undisclosed,50-64,Transylvania,2021-03-01,7266.0
,34385.0,Missing or Undisclosed,,Age Group,Missing or Undisclosed,County,131.0,228.0,Missing or Undisclosed,75+,Transylvania,2021-03-01,5001.0
,18069.0,Missing or Undisclosed,,Race,Missing or Undisclosed,County,0.0,17.0,Other,,Yancey,2021-03-15,
,18069.0,Missing or Undisclosed,,Race,Missing or Undisclosed,County,2.0,107.0,Missing or Undisclosed,,Yancey,2021-03-15,
,18069.0,Missing or Undisclosed,,Race,Missing or Undisclosed,County,116.0,527.0,White,,Yancey,2021-03-15,17552.0
,18069.0,Missing or Undisclosed,,Race,Missing or Undisclosed,County,3.0,7.0,Suppressed,,Yancey,2021-03-15,517.0
,180742.0,Missing or Undisclosed,,Race,Missing or Undisclosed,County,197.0,195.0,Other,,Pitt,2021-04-05,
,180742.0,Missing or Undisclosed,,Race,Missing or Undisclosed,County,981.0,733.0,Black or African American,,Pitt,2021-04-05,66742.0
,180742.0,Missing or Undisclosed,,Race,Missing or Undisclosed,County,1574.0,1166.0,White,,Pitt,2021-04-05,108463.0
,180742.0,Missing or Undisclosed,,Race,Missing or Undisclosed,County,92.0,59.0,Missing or Undisclosed,,Pitt,2021-04-05,
,180742.0,Missing or Undisclosed,,Race,Missing or Undisclosed,County,27.0,11.0,American Indian or Alaskan Native,,Pitt,2021-04-05,1041.0
,180742.0,Missing or Undisclosed,,Race,Missing or Undisclosed,County,92.0,63.0,Asian or Pacific Islander,,Pitt,2021-04-05,4496.0
,62806.0,Missing or Undisclosed,,Race,Missing or Undisclosed,County,0.0,0.0,Missing or Undisclosed,,Stanly,2021-01-11,
,62806.0,Missing or Undisclosed,,Race,Missing or Undisclosed,County,35.0,906.0,White,,Stanly,2021-01-11,53519.0
,62806.0,Missing or Undisclosed,,Race,Missing or Undisclosed,County,1.0,7.0,Other,,Stanly,2021-01-11,
,62806.0,Missing or Undisclosed,,Race,Missing or Undisclosed,County,0.0,70.0,Suppressed,,Stanly,2021-01-11,9287.0
,12726.0,Missing or Undisclosed,,Race,Missing or Undisclosed,County,63.0,39.0,Suppressed,,Pamlico,2021-02-22,2727.0
,12726.0,Missing or Undisclosed,,Race,Missing or Undisclosed,County,2.0,3.0,Missing or Undisclosed,,Pamlico,2021-02-22,
,12726.0,Missing or Undisclosed,,Race,Missing or Undisclosed,County,11.0,10.0,Other,,Pamlico,2021-02-22,
,12726.0,Missing or Undisclosed,,Race,Missing or Undisclosed,County,190.0,239.0,White,,Pamlico,2021-02-22,9999.0
