People Fully Vaccinated,County,People Vaccinated with at Least One Dose
21370,Robeson,25687
3539,Perquimans,4140
43574,Johnston,55367
27015,Randolph,31972
1886,Hyde,2366
3323,Alleghany,3779
10360,Duplin,12568
2578,Gates,3139
16227,Haywood,20491
11934,Stanly,15428
8875,Missing County,12121
17212,Wilson,21728
1111,Tyrrell,1239
23053,Wayne,28088
6021,Montgomery,7352
13301,Lenoir,15559
8482,Scotland,9953
46686,Alamance,56242
2328,Camden,2860
5346,Greene,6209
23747,Rowan,29510
5611,Northampton,6434
14857,Wilkes,16776
17220,Lincoln,22016
19964,Caldwell,22637
5527,Polk,6519
18870,Surry,20803
12787,Macon,14134
2517,Clay,2947
9440,Yadkin,10596
26262,Onslow,29429
10490,Richmond,12229
74698,Buncombe,92325
48444,Union,62186
39655,Cabarrus,53321
2702,Washington,3185
22973,Harnett,27381
22166,Burke,25240
58827,Out of State,75951
15126,Granville,18542
46197,Gaston,55639
10318,Edgecombe,13262
18056,Watauga,21369
6643,Hoke,8261
5587,Bertie,6719
10066,Person,12627
14531,Beaufort,16569
11859,Jackson,13918
35949,Catawba,44589
323279,Wake,417462
22253,Cleveland,25814
13394,Sampson,16860
12106,Columbus,13743
5852,Caswell,7158
4894,Yancey,5768
14340,Lee,17863
5588,Hertford,6696
21374,Rockingham,25884
21128,Carteret,23994
234928,Mecklenburg,326357
3167,Swain,3577
5275,Avery,6267
10769,Vance,13077
13905,Halifax,16417
21879,Nash,28616
13166,Rutherford,16110
7438,Ashe,8793
9149,Stokes,10959
1990,Graham,2219
14576,Pender,17727
26690,Craven,30893
147946,Guilford,179780
6821,Madison,8123
21747,Chatham,26104
50109,Pitt,54776
31639,Moore,35488
103964,Forsyth,124496
36867,Iredell,45113
10916,Transylvania,12036
6058,Martin,6993
5138,Warren,6757
2338,Jones,2827
11061,Davie,13136
52599,Cumberland,61274
11884,McDowell,14415
6503,Cherokee,7774
4173,Chowan,5147
58221,Orange,69180
8757,Alexander,10636
104700,Durham,127888
31553,Henderson,38828
10497,Pasquotank,12525
4574,Pamlico,5181
3398,Mitchell,4338
5885,Currituck,7862
50106,Brunswick,56396
34368,Davidson,40321
14839,Franklin,18362
16122,Dare,18228
69209,New hanover,81312
7815,Bladen,8854
5354,Anson,6595
