People Fully Vaccinated,County,People Vaccinated with at Least One Dose
21500,Robeson,25747
3542,Perquimans,4142
43744,Johnston,55518
27638,Randolph,32055
1900,Hyde,2367
3325,Alleghany,3783
10411,Duplin,12595
2590,Gates,3142
16283,Haywood,20511
11968,Stanly,15493
8987,Missing County,12220
17378,Wilson,21778
1113,Tyrrell,1239
23113,Wayne,28224
6038,Montgomery,7367
13406,Lenoir,15601
8508,Scotland,9959
47068,Alamance,56341
2329,Camden,2867
5364,Greene,6218
23793,Rowan,29545
5630,Northampton,6456
14878,Wilkes,16828
17392,Lincoln,22123
20121,Caldwell,22668
5536,Polk,6526
19043,Surry,20809
12817,Macon,14157
2523,Clay,2949
9608,Yadkin,10603
26341,Onslow,29520
10492,Richmond,12245
75038,Buncombe,92638
48573,Union,62436
39851,Cabarrus,53652
2714,Washington,3189
23165,Harnett,27487
22234,Burke,25257
59167,Out of State,76243
15203,Granville,18589
46327,Gaston,56079
10456,Edgecombe,13280
18219,Watauga,21457
6712,Hoke,8291
5619,Bertie,6737
10236,Person,12644
14772,Beaufort,16586
11888,Jackson,13928
36343,Catawba,44778
325625,Wake,418531
22541,Cleveland,25879
13522,Sampson,16903
12237,Columbus,13789
5894,Caswell,7177
4958,Yancey,5776
14400,Lee,17881
5591,Hertford,6719
21589,Rockingham,25927
21476,Carteret,24063
237530,Mecklenburg,328980
3167,Swain,3577
5280,Avery,6270
10789,Vance,13132
14012,Halifax,16454
22427,Nash,28658
13335,Rutherford,16200
7441,Ashe,8798
9285,Stokes,11019
1991,Graham,2219
14644,Pender,17767
26809,Craven,30901
150884,Guilford,180304
6919,Madison,8133
21862,Chatham,26236
50251,Pitt,54851
31696,Moore,35524
105192,Forsyth,124772
37059,Iredell,45345
10925,Transylvania,12085
6106,Martin,7014
5147,Warren,6763
2353,Jones,2835
11191,Davie,13150
52742,Cumberland,61343
11899,McDowell,14422
6614,Cherokee,7802
4190,Chowan,5154
58438,Orange,69290
8777,Alexander,10646
105470,Durham,128069
31622,Henderson,38869
10507,Pasquotank,12549
4614,Pamlico,5202
3444,Mitchell,4350
5912,Currituck,7870
50204,Brunswick,56470
34720,Davidson,40444
14987,Franklin,18425
16132,Dare,18233
69334,New hanover,81634
7854,Bladen,8880
5355,Anson,6603
