Deaths,"Cases Per 10,000 Residents","Cases Per 100,000 Residents",County,Cases
267,1056.0,10559.0,Alamance,17899
84,1166.0,11662.0,Alexander,4373
5,926.0,9257.0,Alleghany,1031
55,1045.0,10448.0,Anson,2554
41,769.0,7694.0,Ashe,2093
20,1204.0,12041.0,Avery,2114
95,971.0,9714.0,Beaufort,4565
43,929.0,9289.0,Bertie,1760
41,993.0,9932.0,Bladen,3250
152,636.0,6357.0,Brunswick,9079
315,673.0,6733.0,Buncombe,17585
153,1096.0,10962.0,Burke,9919
252,1002.0,10022.0,Cabarrus,21693
104,1131.0,11314.0,Caldwell,9298
5,606.0,6064.0,Camden,659
53,734.0,7344.0,Carteret,5102
27,956.0,9556.0,Caswell,2160
301,1210.0,12096.0,Catawba,19299
88,620.0,6200.0,Chatham,4617
20,887.0,8874.0,Cherokee,2539
23,1044.0,10443.0,Chowan,1456
18,657.0,6571.0,Clay,738
224,1163.0,11632.0,Cleveland,11393
151,1136.0,11364.0,Columbus,6308
124,903.0,9034.0,Craven,9227
300,846.0,8460.0,Cumberland,28383
16,553.0,5533.0,Currituck,1536
10,568.0,5677.0,Dare,2101
185,977.0,9770.0,Davidson,16375
37,943.0,9429.0,Davie,4040
133,1062.0,10621.0,Duplin,6239
219,778.0,7776.0,Durham,25000
112,1074.0,10742.0,Edgecombe,5529
374,930.0,9298.0,Forsyth,35546
49,973.0,9728.0,Franklin,6779
423,1175.0,11754.0,Gaston,26392
13,634.0,6340.0,Gates,733
12,692.0,6919.0,Graham,584
81,978.0,9778.0,Granville,5910
44,1095.0,10950.0,Greene,2307
698,873.0,8731.0,Guilford,46902
110,1110.0,11102.0,Halifax,5552
169,843.0,8433.0,Harnett,11467
95,698.0,6977.0,Haywood,4348
159,862.0,8616.0,Henderson,10117
63,882.0,8819.0,Hertford,2088
55,837.0,8373.0,Hoke,4625
9,1353.0,13530.0,Hyde,668
208,1022.0,10225.0,Iredell,18589
56,818.0,8177.0,Jackson,3593
217,1019.0,10188.0,Johnston,21328
26,878.0,8780.0,Jones,827
77,963.0,9633.0,Lee,5951
113,1061.0,10613.0,Lenoir,5938
85,1155.0,11549.0,Lincoln,9945
63,1139.0,11389.0,McDowell,5211
38,872.0,8718.0,Macon,3126
41,717.0,7166.0,Madison,1559
40,998.0,9982.0,Martin,2240
946,1000.0,9995.0,Mecklenburg,110982
16,956.0,9563.0,Mitchell,1431
93,1214.0,12144.0,Montgomery,3300
187,876.0,8760.0,Moore,8837
188,1212.0,12117.0,Nash,11426
164,812.0,8118.0,New Hanover,19035
59,961.0,9608.0,Northampton,1872
142,851.0,8511.0,Onslow,16846
101,573.0,5732.0,Orange,8510
13,876.0,8762.0,Pamlico,1115
80,841.0,8410.0,Pasquotank,3349
69,853.0,8530.0,Pender,5379
11,747.0,7472.0,Perquimans,1006
67,845.0,8453.0,Person,3338
86,1079.0,10788.0,Pitt,19498
29,708.0,7079.0,Polk,1467
225,1040.0,10398.0,Randolph,14939
93,1030.0,10304.0,Richmond,4619
234,1251.0,12511.0,Robeson,16342
107,822.0,8218.0,Rockingham,7479
301,1177.0,11774.0,Rowan,16730
206,1084.0,10845.0,Rutherford,7269
108,1242.0,12421.0,Sampson,7891
84,1082.0,10818.0,Scotland,3767
131,1235.0,12349.0,Stanly,7756
80,881.0,8813.0,Stokes,4018
159,1136.0,11355.0,Surry,8151
18,851.0,8514.0,Swain,1215
31,684.0,6837.0,Transylvania,2351
6,794.0,7943.0,Tyrrell,319
217,1008.0,10078.0,Union,24172
86,1106.0,11059.0,Vance,4925
723,780.0,7795.0,Wake,86664
20,904.0,9042.0,Warren,1784
31,914.0,9136.0,Washington,1058
31,815.0,8153.0,Watauga,4580
245,899.0,8989.0,Wayne,11068
112,966.0,9665.0,Wilkes,6612
173,1178.0,11776.0,Wilson,9633
47,1058.0,10580.0,Yadkin,3985
28,890.0,8905.0,Yancey,1609
