People Vaccinated with at Least One Dose - Federal,People Fully Vaccinated - Federal,People Fully Vaccinated - NC,People Vaccinated with at Least One Dose - NC,County
4378,3391,22921,26346,Robeson
367,313,3616,4178,Perquimans
13666,10181,48245,57244,Johnston
8112,6296,29554,32631,Randolph
106,89,2143,2414,Hyde
766,643,3579,3913,Alleghany
2945,2401,11265,12925,Duplin
232,190,2671,3188,Gates
4663,3675,17968,20941,Haywood
2709,2038,13637,15778,Stanly
36771,28034,10602,12828,Missing County
4864,3938,19441,22402,Wilson
78,65,1148,1259,Tyrrell
6058,4755,25038,28738,Wayne
1168,938,6589,7491,Montgomery
4027,3352,14355,16000,Lenoir
1816,1439,8946,10207,Scotland
10968,8873,51512,57542,Alamance
265,178,2425,2898,Camden
1007,864,5718,6355,Greene
8360,6209,26306,30256,Rowan
545,421,5892,6596,Northampton
3762,2746,15437,17083,Wilkes
6789,5003,19417,22700,Lincoln
3884,2880,21200,23234,Caldwell
1099,977,6105,6654,Polk
5449,4301,19668,21157,Surry
1392,1220,13369,14392,Macon
741,653,2734,3025,Clay
1764,1452,9998,10825,Yadkin
7883,5566,27566,30113,Onslow
1810,1392,11334,12518,Richmond
27542,24117,83770,95253,Buncombe
20345,15439,54794,64441,Union
19484,14784,45243,55742,Cabarrus
881,674,2823,3234,Washington
6118,4305,24994,28052,Harnett
4192,3192,22980,25594,Burke
0,0,64096,77376,Out of State
4389,3477,16842,19306,Granville
14638,10966,49696,57516,Gaston
2475,1967,11326,13515,Edgecombe
2596,2243,19338,21691,Watauga
1782,1341,7298,8538,Hoke
636,545,5820,6838,Bertie
2112,1668,10984,12954,Person
2010,1616,15383,16792,Beaufort
12123,8967,40566,45671,Catawba
1495,1192,13003,14171,Jackson
133596,105945,366954,428560,Wake
5327,3961,23925,26472,Cleveland
2944,2238,14969,17296,Sampson
2245,1838,13135,14089,Columbus
719,441,6531,7378,Caswell
378,304,5260,6062,Yancey
3814,2956,16461,18295,Lee
993,874,5852,6799,Hertford
4951,3681,23517,26458,Rockingham
113469,85339,274997,342556,Mecklenburg
5391,4404,22324,24272,Carteret
568,442,3407,3617,Swain
671,556,5741,6331,Avery
2976,2300,11620,13618,Vance
1729,1357,14912,16745,Halifax
2249,1909,14283,16571,Rutherford
6997,5437,24243,29274,Nash
1560,1393,8042,8993,Ashe
3115,2475,10022,11255,Stokes
258,204,2072,2252,Graham
3940,3222,15935,18118,Pender
6034,5093,28921,31400,Craven
43756,35179,164599,184081,Guilford
652,586,7585,8459,Madison
7771,6441,23406,26579,Chatham
10954,9189,51827,55918,Pitt
7472,6359,33483,36212,Moore
33090,27708,112913,127917,Forsyth
15956,11740,41429,45243,Iredell
1954,1693,11663,12416,Transylvania
947,785,6359,7197,Martin
1075,904,5707,6930,Warren
417,342,2576,2877,Jones
3413,2843,12056,13443,Davie
16866,11933,56237,62502,Cumberland
1392,1082,13162,14952,McDowell
1290,1061,7217,8019,Cherokee
709,625,4255,5206,Chowan
15728,13781,63930,70353,Orange
975,782,9496,10848,Alexander
29720,24218,115913,130931,Durham
8135,6978,35748,39962,Henderson
1806,1296,10817,12724,Pasquotank
414,349,4814,5244,Pamlico
419,333,3751,4599,Mitchell
897,679,6576,7978,Currituck
12177,10758,52844,57350,Brunswick
10118,7820,37218,41497,Davidson
5419,4062,16532,18864,Franklin
2649,2226,16736,18336,Dare
1409,1104,8255,9096,Bladen
24350,19846,75470,83153,New Hanover
790,620,5738,6744,Anson
