Dose 2 Administered - NC Providers,Total Doses Administered,Dose 1 Administered - NC Providers,Dose 1 Administered - Federal,Dose 2 Administered - Federal,County
22523,56003,26346,4378,2756,Robeson
3575,8406,4178,367,286,Perquimans
45285,125420,57244,13666,9225,Johnston
28715,75023,32631,8112,5565,Randolph
2121,4721,2414,106,80,Hyde
3305,8551,3913,766,567,Alleghany
10767,28716,12925,2945,2079,Duplin
2621,6207,3188,232,166,Gates
16307,45301,20941,4663,3390,Haywood
13129,33423,15778,2709,1807,Stanly
67348,218656,90204,36771,24333,Missing / Out of State
18751,49014,22402,4864,2997,Wilson
1104,2498,1259,78,57,Tyrrell
24490,63344,28738,6058,4058,Wayne
6430,15828,7491,1168,739,Montgomery
13697,36720,16000,4027,2996,Lenoir
8856,21999,10207,1816,1120,Scotland
48748,125648,57542,10968,8390,Alamance
2385,5700,2898,265,152,Camden
5304,13410,6355,1007,744,Greene
25487,69891,30256,8360,5788,Rowan
5745,13253,6596,545,367,Northampton
15005,38229,17083,3762,2379,Wilkes
18624,52609,22700,6789,4496,Lincoln
19471,48958,23234,3884,2369,Caldwell
6030,14711,6654,1099,928,Polk
19230,49793,21157,5449,3957,Surry
11214,28003,14392,1392,1005,Macon
2685,7076,3025,741,625,Clay
9431,23367,10825,1764,1347,Yadkin
26398,69191,30113,7883,4797,Onslow
10971,26349,12518,1810,1050,Richmond
76837,222198,95253,27542,22566,Buncombe
51014,150146,64441,20345,14346,Union
42473,131376,55742,19484,13677,Cabarrus
2714,7468,3234,881,639,Washington
23416,61229,28052,6118,3643,Harnett
22446,55041,25594,4192,2809,Burke
16423,43181,19306,4389,3063,Granville
46381,128398,57516,14638,9863,Gaston
10686,28314,13515,2475,1638,Edgecombe
14922,41284,21691,2596,2075,Watauga
6956,18258,8538,1782,982,Hoke
5626,13574,6838,636,474,Bertie
10650,27163,12954,2112,1447,Person
14241,34477,16792,2010,1434,Beaufort
39136,105076,45671,12123,8146,Catawba
11487,28232,14171,1495,1079,Jackson
335900,997723,428560,133596,99667,Wake
23281,58541,26472,5327,3461,Cleveland
14375,36544,17296,2944,1929,Sampson
12317,30145,14089,2245,1494,Columbus
6382,14895,7378,719,416,Caswell
5078,11755,6062,378,237,Yancey
16140,40789,18295,3814,2540,Lee
5624,14174,6799,993,758,Hertford
22804,57367,26458,4951,3154,Rockingham
250504,785022,342556,113469,78493,Mecklenburg
21807,55356,24272,5391,3886,Carteret
3280,7869,3617,568,404,Swain
5335,12836,6331,671,499,Avery
11514,30016,13618,2976,1908,Vance
14460,34057,16745,1729,1123,Halifax
14113,34648,16571,2249,1715,Rutherford
22989,64128,29274,6997,4868,Nash
7014,18758,8993,1560,1191,Ashe
9267,25899,11255,3115,2262,Stokes
2022,4699,2252,258,167,Graham
14906,39749,18118,3940,2785,Pender
28262,70255,31400,6034,4559,Craven
156408,416549,184081,43756,32304,Guilford
6358,16024,8459,652,555,Madison
22690,62905,26579,7771,5865,Chatham
44903,120369,55918,10954,8594,Pitt
32603,82238,36212,7472,5951,Moore
97126,284048,127917,33090,25915,Forsyth
38833,111023,45243,15956,10991,Iredell
9143,25065,12416,1954,1552,Transylvania
5901,14696,7197,947,651,Martin
5665,14469,6930,1075,799,Warren
2534,6130,2877,417,302,Jones
10650,30110,13443,3413,2604,Davie
54522,143712,62502,16866,9822,Cumberland
12560,29826,14952,1392,922,Mcdowell
7059,17217,8019,1290,849,Cherokee
4103,10603,5206,709,585,Chowan
56942,156284,70353,15728,13261,Orange
9293,21776,10848,975,660,Alexander
104804,288121,130931,29720,22666,Durham
31762,86202,39962,8135,6343,Henderson
10504,26203,12724,1806,1169,Pasquotank
4741,10675,5244,414,276,Pamlico
3476,8712,4599,419,218,Mitchell
6471,15921,7978,897,575,Currituck
49396,128904,57350,12177,9981,Brunswick
34912,93646,41497,10118,7119,Davidson
15898,43844,18864,5419,3663,Franklin
14727,37797,18336,2649,2085,Dare
8076,19377,9096,1409,796,Bladen
67877,193983,83153,24350,18603,New Hanover
5662,13755,6744,790,559,Anson
