Demographic,Race,Value,calc.ValueComma,Age Group,Gender,Hispanic,Name
Gender,,6619,"6,619",,Male,,Deaths
Gender,,47%,47%,,Male,,Percent of Cases
Gender,,52%,52%,,Male,,Percent of Deaths
Gender,,456579,"456,579",,Male,,Cases
Gender,,6098,"6,098",,Female,,Deaths
Gender,,53%,53%,,Female,,Percent of Cases
Gender,,48%,48%,,Female,,Percent of Deaths
Gender,,518007,"518,007",,Female,,Cases
Gender,,21,21,,Missing,,Deaths
Gender,,,,,Missing,,Percent of Cases
Gender,,,,,Missing,,Percent of Deaths
Gender,,3980,"3,980",,Missing,,Cases
Ethnicity,,80%,80%,,,Non-Hispanic,Percent of Cases
Ethnicity,,92%,92%,,,Non-Hispanic,Percent of Deaths
Ethnicity,,9884,"9,884",,,Non-Hispanic,Deaths
Ethnicity,,520137,"520,137",,,Non-Hispanic,Cases
Ethnicity,,,,,,Missing,Percent of Cases
Ethnicity,,,,,,Missing,Percent of Deaths
Ethnicity,,1960,"1,960",,,Missing,Deaths
Ethnicity,,328040,"328,040",,,Missing,Cases
Ethnicity,,20%,20%,,,Hispanic,Percent of Cases
Ethnicity,,8%,8%,,,Hispanic,Percent of Deaths
Ethnicity,,894,894,,,Hispanic,Deaths
Ethnicity,,130389,"130,389",,,Hispanic,Cases
Age Group,,3000,"3,000",65-74,,,Deaths
Age Group,,8%,8%,65-74,,,Percent of Cases
Age Group,,24%,24%,65-74,,,Percent of Deaths
Age Group,,76743,"76,743",65-74,,,Cases
Age Group,,3,3,0-17,,,Deaths
Age Group,,12%,12%,0-17,,,Percent of Cases
Age Group,,0%,0%,0-17,,,Percent of Deaths
Age Group,,121736,"121,736",0-17,,,Cases
Age Group,,17,17,18-24,,,Deaths
Age Group,,14%,14%,18-24,,,Percent of Cases
Age Group,,0%,0%,18-24,,,Percent of Deaths
Age Group,,136533,"136,533",18-24,,,Cases
Age Group,,1753,"1,753",50-64,,,Deaths
Age Group,,20%,20%,50-64,,,Percent of Cases
Age Group,,14%,14%,50-64,,,Percent of Deaths
Age Group,,197100,"197,100",50-64,,,Cases
Age Group,,1,1,Missing,,,Deaths
Age Group,,,,Missing,,,Percent of Cases
Age Group,,,,Missing,,,Percent of Deaths
Age Group,,175,175,Missing,,,Cases
Age Group,,458,458,25-49,,,Deaths
Age Group,,39%,39%,25-49,,,Percent of Cases
Age Group,,4%,4%,25-49,,,Percent of Deaths
Age Group,,385154,"385,154",25-49,,,Cases
Age Group,,7506,"7,506",75+,,,Deaths
Age Group,,6%,6%,75+,,,Percent of Cases
Age Group,,59%,59%,75+,,,Percent of Deaths
Age Group,,61125,"61,125",75+,,,Cases
Race,White,7921,"7,921",,,,Deaths
Race,White,61%,61%,,,,Percent of Cases
Race,White,66%,66%,,,,Percent of Deaths
Race,White,497914,"497,914",,,,Cases
Race,Other,794,794,,,,Deaths
Race,Other,14%,14%,,,,Percent of Cases
Race,Other,7%,7%,,,,Percent of Deaths
Race,Other,112723,"112,723",,,,Cases
Race,Missing,782,782,,,,Deaths
Race,Missing,,,,,,Percent of Cases
Race,Missing,,,,,,Percent of Deaths
Race,Missing,166766,"166,766",,,,Cases
Race,Black or African American,2965,"2,965",,,,Deaths
Race,Black or African American,21%,21%,,,,Percent of Cases
Race,Black or African American,25%,25%,,,,Percent of Deaths
Race,Black or African American,173234,"173,234",,,,Cases
Race,Asian or Pacific Islander,132,132,,,,Deaths
Race,Asian or Pacific Islander,2%,2%,,,,Percent of Cases
Race,Asian or Pacific Islander,1%,1%,,,,Percent of Deaths
Race,Asian or Pacific Islander,15783,"15,783",,,,Cases
Race,American Indian Alaskan Native,144,144,,,,Deaths
Race,American Indian Alaskan Native,1%,1%,,,,Percent of Cases
Race,American Indian Alaskan Native,1%,1%,,,,Percent of Deaths
Race,American Indian Alaskan Native,12146,"12,146",,,,Cases
