Deaths,"Cases Per 10,000 Residents","Cases Per 100,000 Residents",County,Cases
950,1005.0,10054.0,Mecklenburg,111634
88,624.0,6236.0,Chatham,4644
29,711.0,7108.0,Polk,1473
256,1009.0,10089.0,Cabarrus,21839
82,982.0,9816.0,Granville,5933
104,1134.0,11345.0,Caldwell,9323
159,865.0,8651.0,Henderson,10158
302,1185.0,11848.0,Rowan,16835
245,906.0,9061.0,Wayne,11157
132,1242.0,12422.0,Stanly,7802
301,1214.0,12142.0,Catawba,19373
13,636.0,6357.0,Gates,735
220,1026.0,10264.0,Johnston,21487
85,1165.0,11649.0,Lincoln,10031
152,639.0,6387.0,Brunswick,9122
423,1180.0,11798.0,Gaston,26491
80,845.0,8447.0,Pasquotank,3364
151,1139.0,11386.0,Columbus,6320
153,1101.0,11011.0,Burke,9963
112,971.0,9712.0,Wilkes,6644
31,820.0,8203.0,Watauga,4608
55,1055.0,10546.0,Anson,2578
114,1068.0,10685.0,Lenoir,5978
10,571.0,5712.0,Dare,2114
20,908.0,9077.0,Warren,1791
234,1257.0,12566.0,Robeson,16414
86,1107.0,11072.0,Vance,4931
11,753.0,7532.0,Perquimans,1014
16,556.0,5565.0,Currituck,1545
12,693.0,6930.0,Graham,585
6,794.0,7943.0,Tyrrell,319
32,690.0,6895.0,Transylvania,2371
0,,,Missing,1
315,677.0,6766.0,Buncombe,17671
720,785.0,7845.0,Wake,87219
700,878.0,8782.0,Guilford,47176
220,783.0,7827.0,Durham,25164
101,575.0,5748.0,Orange,8534
184,984.0,9841.0,Davidson,16494
49,982.0,9824.0,Franklin,6846
227,1044.0,10436.0,Randolph,14993
142,857.0,8572.0,Onslow,16968
43,929.0,9294.0,Bertie,1761
110,1245.0,12454.0,Sampson,7912
63,1140.0,11395.0,McDowell,5214
37,949.0,9492.0,Davie,4067
206,1090.0,10897.0,Rutherford,7304
124,909.0,9087.0,Craven,9281
67,852.0,8524.0,Person,3366
93,1220.0,12203.0,Montgomery,3316
133,1066.0,10659.0,Duplin,6261
16,968.0,9683.0,Mitchell,1449
93,1036.0,10359.0,Richmond,4644
85,1086.0,10864.0,Scotland,3783
38,876.0,8762.0,Macon,3142
40,999.0,9991.0,Martin,2242
63,885.0,8852.0,Hertford,2096
84,1169.0,11694.0,Alexander,4385
13,877.0,8769.0,Pamlico,1116
23,1046.0,10464.0,Chowan,1459
41,720.0,7203.0,Madison,1567
26,887.0,8865.0,Jones,835
164,816.0,8160.0,New Hanover,19134
300,854.0,8538.0,Cumberland,28646
111,1115.0,11148.0,Halifax,5575
55,844.0,8440.0,Hoke,4662
108,829.0,8294.0,Rockingham,7548
59,962.0,9619.0,Northampton,1874
160,1140.0,11404.0,Surry,8186
173,1182.0,11824.0,Wilson,9672
111,1081.0,10814.0,Edgecombe,5566
77,970.0,9696.0,Lee,5990
44,1104.0,11040.0,Greene,2326
28,896.0,8960.0,Yancey,1619
96,700.0,7001.0,Haywood,4363
79,891.0,8907.0,Stokes,4061
41,780.0,7797.0,Ashe,2121
27,961.0,9609.0,Caswell,2172
18,852.0,8521.0,Swain,1216
5,940.0,9401.0,Alleghany,1047
18,683.0,6829.0,Clay,767
20,1209.0,12092.0,Avery,2123
208,1029.0,10293.0,Iredell,18713
217,1014.0,10145.0,Union,24333
224,1168.0,11684.0,Cleveland,11444
276,1064.0,10635.0,Alamance,18028
87,1087.0,10874.0,Pitt,19653
170,850.0,8500.0,Harnett,11558
54,738.0,7376.0,Carteret,5124
42,996.0,9963.0,Bladen,3260
375,934.0,9338.0,Forsyth,35700
187,879.0,8795.0,Moore,8872
189,1218.0,12178.0,Nash,11484
95,977.0,9771.0,Beaufort,4592
48,1065.0,10651.0,Yadkin,4012
34,896.0,8958.0,Cherokee,2563
31,926.0,9257.0,Washington,1072
69,857.0,8570.0,Pender,5404
56,819.0,8187.0,Jackson,3597
5,610.0,6101.0,Camden,663
9,1355.0,13551.0,Hyde,669
