Dose 2 Administered - NC Providers,Total Doses Administered,Dose 1 Administered - NC Providers,Dose 1 Administered - Federal,Dose 2 Administered - Federal,County
22988,57100,26561,4544,3007,Robeson
3597,8498,4209,386,306,Perquimans
47512,129826,57940,14207,10167,Johnston
29562,76872,32903,8455,5952,Randolph
2163,4777,2424,107,83,Hyde
3349,8659,3934,789,587,Alleghany
11174,29564,13090,3049,2251,Duplin
2697,6377,3259,244,177,Gates
16844,46444,21212,4754,3634,Haywood
13650,34371,15945,2846,1930,Stanly
71068,227067,91616,38442,25941,Missing / Out of State
19417,50454,22829,5014,3194,Wilson
1133,2593,1320,79,61,Tyrrell
25505,65128,28983,6290,4350,Wayne
6566,16054,7524,1198,766,Montgomery
14150,37659,16189,4159,3161,Lenoir
9153,22501,10278,1855,1215,Scotland
50547,128936,58278,11320,8791,Alamance
2423,5804,2914,277,190,Camden
5439,13715,6466,1036,774,Greene
26785,72381,30664,8663,6269,Rowan
5862,13459,6658,556,383,Northampton
15362,39087,17175,3957,2593,Wilkes
19754,54507,22902,6999,4852,Lincoln
20129,50154,23441,4020,2564,Caldwell
6207,15002,6735,1123,937,Polk
19482,50567,21244,5589,4252,Surry
11362,28265,14467,1423,1013,Macon
2765,7205,3049,747,644,Clay
9609,23805,10921,1841,1434,Yadkin
26700,70944,30492,8300,5452,Onslow
11227,26943,12703,1865,1148,Richmond
80023,228218,96710,28079,23406,Buncombe
54168,155961,65138,21053,15602,Union
45956,137738,56583,20126,15073,Cabarrus
2758,7580,3260,902,660,Washington
23953,62863,28463,6410,4037,Harnett
23455,56552,25806,4343,2948,Burke
17272,44568,19510,4539,3247,Granville
48889,132973,58020,15381,10683,Gaston
11002,28975,13674,2573,1726,Edgecombe
15622,42194,21775,2638,2159,Watauga
7145,18749,8633,1873,1098,Hoke
5737,13813,6916,663,497,Bertie
11238,27996,13045,2203,1510,Person
14491,34993,16897,2089,1516,Beaufort
40901,108338,45933,12616,8888,Catawba
11808,28797,14300,1529,1160,Jackson
356521,1035794,433031,137919,108323,Wake
23999,60050,26692,5553,3806,Cleveland
14808,37512,17550,3076,2078,Sampson
12524,30724,14304,2314,1582,Columbus
6490,15100,7438,735,437,Caswell
5330,12175,6208,396,241,Yancey
16641,41983,18502,4008,2832,Lee
5708,14446,6920,1031,787,Hertford
23592,58837,26727,5165,3353,Rockingham
273133,823834,347290,117775,85636,Mecklenburg
22204,56282,24394,5562,4122,Carteret
3324,7971,3635,586,426,Swain
5411,13029,6390,702,526,Avery
11891,30785,13755,3098,2041,Vance
14733,34649,16898,1798,1220,Halifax
14581,35473,16774,2320,1798,Rutherford
24028,66201,29630,7285,5258,Nash
7229,19150,9074,1597,1250,Ashe
9582,26776,11512,3260,2422,Stokes
2035,4754,2270,267,182,Graham
15538,40784,18276,4026,2944,Pender
29067,71606,31543,6231,4765,Craven
161869,427518,186214,45193,34242,Guilford
6739,16590,8595,664,592,Madison
23249,64091,26741,7929,6172,Chatham
45511,122108,56247,11262,9088,Pitt
32994,83317,36384,7643,6296,Moore
100655,291119,129082,34077,27305,Forsyth
39693,113982,45481,16719,12089,Iredell
9219,25447,12613,2005,1610,Transylvania
6012,14893,7250,968,663,Martin
6101,15043,6980,1108,854,Warren
2562,6215,2915,430,308,Jones
10980,30883,13640,3513,2750,Davie
56127,147785,62988,17833,10837,Cumberland
13298,30831,15142,1431,960,Mcdowell
7310,17663,8131,1311,911,Cherokee
4141,10746,5242,728,635,Chowan
58811,159602,70756,16015,14020,Orange
9858,22518,10949,996,715,Alexander
109329,296079,132220,30525,24005,Durham
33572,89251,40764,8324,6591,Henderson
10648,26666,12839,1875,1304,Pasquotank
4803,10780,5259,436,282,Pamlico
3824,9197,4705,444,224,Mitchell
6767,16401,8067,928,639,Currituck
50385,130890,57665,12408,10432,Brunswick
36053,96236,42066,10452,7665,Davidson
16662,45385,19033,5659,4031,Franklin
15314,38627,18447,2699,2167,Dare
8165,19715,9227,1469,854,Bladen
70369,198846,83752,24892,19833,New Hanover
5903,14154,6832,833,586,Anson
