People Vaccinated with at Least One Dose - Federal,People Fully Vaccinated - Federal,People Fully Vaccinated - NC,People Vaccinated with at Least One Dose - NC,County
4658,3749,23746,26694,Robeson
396,344,3721,4267,Perquimans
14558,11650,51517,58258,Johnston
8661,6961,30760,33083,Randolph
108,92,2206,2445,Hyde
796,678,3639,3942,Alleghany
3110,2671,11789,13118,Duplin
248,209,2830,3302,Gates
4787,4013,18795,21279,Haywood
2917,2252,14541,16095,Stanly
39269,31007,11844,13385,Missing County
5107,4258,20584,22970,Wilson
80,73,1181,1323,Tyrrell
6518,5257,26388,29099,Wayne
1231,1002,6854,7562,Montgomery
4244,3582,14967,16237,Lenoir
1889,1562,9440,10315,Scotland
11532,9510,54100,58566,Alamance
279,231,2516,2934,Camden
1049,921,6010,6563,Greene
8846,6938,28277,30878,Rowan
579,452,6062,6674,Northampton
4036,3065,15830,17228,Wilkes
7192,5666,20980,22957,Lincoln
4133,3202,22116,23506,Caldwell
1129,1008,6312,6741,Polk
5657,4725,20080,21276,Surry
1428,1281,13708,14512,Macon
752,681,2861,3066,Clay
1870,1587,10229,10933,Yadkin
8591,6604,28069,30638,Onslow
1916,1539,11841,12742,Richmond
28315,25364,88766,97211,Buncombe
21479,17226,59432,65438,Union
20560,16885,50051,56826,Cabarrus
913,716,2890,3277,Washington
6663,4905,25802,28538,Harnett
4448,3450,24496,25918,Burke
0,0,68046,78578,Out of State
4649,3779,18069,19584,Granville
15841,12379,52775,58177,Gaston
2650,2115,11890,13748,Edgecombe
2672,2356,20180,21812,Watauga
1936,1521,7566,8692,Hoke
670,576,5994,6938,Bertie
2254,1793,11846,13117,Person
2126,1738,15747,16989,Beaufort
12874,10087,43308,46210,Catawba
1555,1300,13479,14403,Jackson
140047,118469,395222,434805,Wake
5674,4441,24846,26769,Cleveland
3138,2481,15746,17641,Sampson
2350,1966,13495,14365,Columbus
749,466,6833,7486,Caswell
406,317,5633,6238,Yancey
4116,3363,17011,18545,Lee
1064,921,6074,6952,Hertford
5316,4097,24543,26842,Rockingham
119835,95676,306685,349149,Mecklenburg
5669,4830,22798,24425,Carteret
591,470,3454,3641,Swain
710,614,5887,6406,Avery
3184,2523,12302,13838,Vance
1843,1495,15337,16967,Halifax
2375,2073,15059,16867,Rutherford
7485,6035,25707,29738,Nash
1620,1483,8307,9103,Ashe
3321,2721,10600,11591,Stokes
272,222,2112,2277,Graham
4102,3471,16777,18324,Pender
6409,5459,29944,31716,Craven
45933,38058,171781,186831,Guilford
669,583,8098,8686,Madison
8025,6850,24132,26820,Chatham
11464,9871,52919,56466,Pitt
7781,6846,34348,36538,Moore
34591,29700,117754,129744,Forsyth
17094,13430,43044,45560,Iredell
2026,1798,11892,12649,Transylvania
999,842,6582,7273,Martin
1136,1002,6245,7021,Warren
445,361,2698,2934,Jones
3570,3058,12573,13691,Davie
18322,13627,58323,63289,Cumberland
1453,1130,14007,15167,McDowell
1332,1161,7552,8151,Cherokee
746,693,4339,5258,Chowan
16161,14779,66844,71027,Orange
1017,848,10242,10982,Alexander
30915,26091,122272,132814,Durham
8420,7398,38052,40936,Henderson
1931,1525,11036,12886,Pasquotank
453,383,4903,5263,Pamlico
466,368,4167,4735,Mitchell
947,786,7002,8122,Currituck
12589,11397,54299,57797,Brunswick
10663,8669,38817,42265,Davidson
5785,4671,17479,19075,Franklin
2732,2354,17373,18485,Dare
1511,1202,8448,9244,Bladen
25231,21589,78949,84154,New Hanover
846,681,6247,6858,Anson
