Deaths,"Cases Per 10,000 Residents","Cases Per 100,000 Residents",County,Cases
153,647.0,6467.0,Brunswick,9236
435,1196.0,11961.0,Gaston,26856
969,1018.0,10184.0,Mecklenburg,113083
305,1230.0,12296.0,Catawba,19619
224,1048.0,10476.0,Johnston,21930
83,992.0,9917.0,Granville,5994
89,632.0,6321.0,Chatham,4707
110,1146.0,11457.0,Caldwell,9415
260,1021.0,10206.0,Cabarrus,22092
160,874.0,8741.0,Henderson,10263
306,1197.0,11971.0,Rowan,17009
245,919.0,9187.0,Wayne,11312
134,1256.0,12564.0,Stanly,7891
13,644.0,6444.0,Gates,745
33,700.0,7003.0,Transylvania,2408
155,1111.0,11110.0,Burke,10053
87,1118.0,11178.0,Vance,4978
117,1099.0,10987.0,Lenoir,6147
31,843.0,8429.0,Watauga,4735
240,1272.0,12718.0,Robeson,16613
151,1147.0,11470.0,Columbus,6367
29,721.0,7209.0,Polk,1494
86,1185.0,11845.0,Lincoln,10200
83,855.0,8553.0,Pasquotank,3406
16,567.0,5669.0,Currituck,1574
113,989.0,9887.0,Wilkes,6764
55,1066.0,10656.0,Anson,2605
10,577.0,5772.0,Dare,2136
20,913.0,9133.0,Warren,1802
12,759.0,7591.0,Perquimans,1022
6,802.0,8018.0,Tyrrell,322
12,719.0,7191.0,Graham,607
0,,,Missing,67
224,793.0,7929.0,Durham,25490
709,895.0,8955.0,Guilford,48103
724,797.0,7967.0,Wake,88575
101,577.0,5767.0,Orange,8562
146,880.0,8795.0,Onslow,17409
51,1006.0,10057.0,Franklin,7008
63,1155.0,11550.0,McDowell,5285
321,686.0,6858.0,Buncombe,17913
192,1003.0,10028.0,Davidson,16808
86,1100.0,11001.0,Scotland,3831
230,1055.0,10546.0,Randolph,15151
126,920.0,9202.0,Craven,9399
113,1257.0,12570.0,Sampson,7986
43,941.0,9405.0,Bertie,1782
213,1104.0,11044.0,Rutherford,7403
16,979.0,9790.0,Mitchell,1465
137,1076.0,10759.0,Duplin,6320
70,870.0,8701.0,Person,3436
97,1051.0,10513.0,Richmond,4713
63,891.0,8907.0,Hertford,2109
94,1228.0,12284.0,Montgomery,3338
38,965.0,9651.0,Davie,4135
23,1057.0,10572.0,Chowan,1474
84,1176.0,11758.0,Alexander,4409
40,879.0,8790.0,Macon,3152
44,1010.0,10098.0,Martin,2266
13,879.0,8793.0,Pamlico,1119
42,738.0,7378.0,Madison,1605
59,971.0,9706.0,Northampton,1891
178,1191.0,11914.0,Wilson,9746
56,868.0,8676.0,Hoke,4792
167,826.0,8259.0,New Hanover,19366
165,1160.0,11604.0,Surry,8330
112,1128.0,11276.0,Halifax,5639
308,879.0,8788.0,Cumberland,29483
96,712.0,7125.0,Haywood,4440
79,981.0,9811.0,Lee,6061
44,1124.0,11239.0,Greene,2368
80,911.0,9111.0,Stokes,4154
5,961.0,9608.0,Alleghany,1070
113,851.0,8509.0,Rockingham,7744
28,918.0,9184.0,Jones,865
113,1095.0,10952.0,Edgecombe,5637
29,967.0,9666.0,Caswell,2185
28,905.0,9054.0,Yancey,1636
41,794.0,7940.0,Ashe,2160
18,853.0,8528.0,Swain,1217
20,1225.0,12252.0,Avery,2151
18,706.0,7061.0,Clay,793
34,911.0,9112.0,Cherokee,2607
222,1027.0,10271.0,Union,24637
380,951.0,9514.0,Forsyth,36372
93,1111.0,11114.0,Pitt,20088
54,748.0,7476.0,Carteret,5194
190,888.0,8877.0,Moore,8955
193,1230.0,12304.0,Nash,11602
174,868.0,8681.0,Harnett,11804
217,1046.0,10462.0,Iredell,19020
287,1099.0,10989.0,Alamance,18627
227,1181.0,11808.0,Cleveland,11566
31,953.0,9534.0,Washington,1104
42,1016.0,10161.0,Bladen,3325
5,624.0,6239.0,Camden,678
95,996.0,9963.0,Beaufort,4682
51,1086.0,10856.0,Yadkin,4089
56,824.0,8239.0,Jackson,3620
69,873.0,8725.0,Pender,5502
9,1355.0,13551.0,Hyde,669
