Facility_Type,Category,County,Outbreak Count
Residential Care Facility,Ongoing Outbreaks,Cumberland,3
Nursing Home,Ongoing Outbreaks,Cumberland,5
Child Care,,Cumberland,1
Correctional Facility,Ongoing Outbreaks,Cumberland,1
,,Halifax,0
Residential Care Facility,Ongoing Outbreaks,Pitt,1
Nursing Home,Ongoing Outbreaks,Pitt,2
K-12 School,,Pitt,1
K-12 School,,Union,1
Correctional Facility,Ongoing Outbreaks,Union,1
Nursing Home,Ongoing Outbreaks,Union,1
,,Jones,0
Residential Care Facility,Ongoing Outbreaks,Yancey,1
Nursing Home,Ongoing Outbreaks,Richmond,1
Residential Care Facility,Ongoing Outbreaks,Richmond,1
,,Warren,0
Residential Care Facility,Ongoing Outbreaks,Buncombe,1
Correctional Facility,Ongoing Outbreaks,Buncombe,1
Child Care,,Buncombe,1
K-12 School,,Buncombe,1
Nursing Home,Ongoing Outbreaks,Buncombe,5
Nursing Home,Ongoing Outbreaks,Currituck,1
,,Vance,0
Nursing Home,Ongoing Outbreaks,Forsyth,2
Child Care,,Forsyth,1
Residential Care Facility,Ongoing Outbreaks,Forsyth,1
K-12 School,,Forsyth,1
,,Duplin,0
Residential Care Facility,Ongoing Outbreaks,Rockingham,1
K-12 School,,Rockingham,1
Nursing Home,Ongoing Outbreaks,Rockingham,4
Nursing Home,Ongoing Outbreaks,Wake,4
Residential Care Facility,Ongoing Outbreaks,Wake,4
Child Care,,Wake,3
Correctional Facility,Ongoing Outbreaks,Wake,2
K-12 School,,Wake,2
Residential Care Facility,Ongoing Outbreaks,Chowan,2
K-12 School,,Scotland,2
Correctional Facility,Ongoing Outbreaks,Scotland,1
Nursing Home,Ongoing Outbreaks,Scotland,1
,,Hyde,0
,,Nash,0
Nursing Home,Ongoing Outbreaks,Wayne,2
Nursing Home,Ongoing Outbreaks,Madison,1
,,Tyrrell,0
,,Martin,0
,,Orange,0
,,Beaufort,0
,,Cleveland,0
,,Mitchell,0
K-12 School,,Caldwell,1
Nursing Home,Ongoing Outbreaks,Caldwell,1
Nursing Home,Ongoing Outbreaks,Davie,2
Residential Care Facility,Ongoing Outbreaks,Davie,1
Correctional Facility,Ongoing Outbreaks,Montgomery,1
Residential Care Facility,Ongoing Outbreaks,Montgomery,2
Correctional Facility,Ongoing Outbreaks,Robeson,1
Residential Care Facility,Ongoing Outbreaks,Robeson,2
K-12 School,,Washington,1
K-12 School,,Greene,2
Residential Care Facility,Ongoing Outbreaks,Greene,1
Correctional Facility,Ongoing Outbreaks,Greene,3
,,Perquimans,0
K-12 School,,Transylvania,1
Nursing Home,Ongoing Outbreaks,Harnett,1
,,McDowell,0
Nursing Home,Ongoing Outbreaks,Polk,1
Residential Care Facility,Ongoing Outbreaks,Alamance,1
Correctional Facility,Ongoing Outbreaks,Caswell,1
Correctional Facility,Ongoing Outbreaks,Edgecombe,2
Correctional Facility,Ongoing Outbreaks,Alexander,1
Residential Care Facility,Ongoing Outbreaks,Catawba,1
K-12 School,,Catawba,1
Nursing Home,Ongoing Outbreaks,Wilson,3
Residential Care Facility,Ongoing Outbreaks,Wilson,1
Residential Care Facility,Ongoing Outbreaks,Hoke,4
Correctional Facility,Ongoing Outbreaks,Haywood,1
Nursing Home,Ongoing Outbreaks,Haywood,2
Nursing Home,Ongoing Outbreaks,Ashe,1
Residential Care Facility,Ongoing Outbreaks,Ashe,1
Nursing Home,Ongoing Outbreaks,Gates,1
Nursing Home,Ongoing Outbreaks,Lee,2
Child Care,,Lee,1
Correctional Facility,Ongoing Outbreaks,Pamlico,1
,,Avery,0
,,Graham,0
Residential Care Facility,Ongoing Outbreaks,Surry,2
Nursing Home,Ongoing Outbreaks,Surry,2
Nursing Home,Ongoing Outbreaks,Alleghany,1
K-12 School,,Alleghany,1
Nursing Home,Ongoing Outbreaks,Durham,2
Child Care,,Person,2
K-12 School,,Person,1
Nursing Home,Ongoing Outbreaks,Person,2
Residential Care Facility,Ongoing Outbreaks,Brunswick,1
Nursing Home,Ongoing Outbreaks,Brunswick,1
K-12 School,,Brunswick,1
Correctional Facility,Ongoing Outbreaks,Granville,2
Residential Care Facility,Ongoing Outbreaks,Granville,1
Nursing Home,Ongoing Outbreaks,Granville,1
Nursing Home,Ongoing Outbreaks,Northampton,1
Other,Ongoing Outbreaks,Sampson,1
K-12 School,,Moore,2
K-12 School,,Dare,1
K-12 School,,Mecklenburg,2
Child Care,,Mecklenburg,2
Other,Ongoing Outbreaks,Mecklenburg,1
Residential Care Facility,Ongoing Outbreaks,Mecklenburg,5
Correctional Facility,Ongoing Outbreaks,Mecklenburg,1
Nursing Home,Ongoing Outbreaks,Mecklenburg,9
Nursing Home,Ongoing Outbreaks,Randolph,3
,,Bertie,0
Nursing Home,Ongoing Outbreaks,Iredell,1
Residential Care Facility,Ongoing Outbreaks,Iredell,2
K-12 School,,Iredell,4
K-12 School,,New Hanover,1
Residential Care Facility,Ongoing Outbreaks,New Hanover,1
Child Care,,New Hanover,1
Correctional Facility,Ongoing Outbreaks,New Hanover,1
Nursing Home,Ongoing Outbreaks,New Hanover,2
Nursing Home,Ongoing Outbreaks,Clay,1
Residential Care Facility,Ongoing Outbreaks,Lenoir,2
Nursing Home,Ongoing Outbreaks,Lenoir,1
Residential Care Facility,Ongoing Outbreaks,Onslow,2
Child Care,,Onslow,2
K-12 School,,Onslow,3
K-12 School,,Yadkin,1
Nursing Home,Ongoing Outbreaks,Yadkin,1
Nursing Home,Ongoing Outbreaks,Carteret,1
Correctional Facility,Ongoing Outbreaks,Carteret,1
Residential Care Facility,Ongoing Outbreaks,Craven,1
Nursing Home,Ongoing Outbreaks,Craven,1
Nursing Home,Ongoing Outbreaks,Anson,1
Correctional Facility,Ongoing Outbreaks,Anson,1
Child Care,,Anson,1
Correctional Facility,Ongoing Outbreaks,Cherokee,1
Nursing Home,Ongoing Outbreaks,Cherokee,1
Correctional Facility,Ongoing Outbreaks,Gaston,1
K-12 School,,Gaston,1
Nursing Home,Ongoing Outbreaks,Stanly,1
Correctional Facility,Ongoing Outbreaks,Stanly,1
,,Lincoln,0
Residential Care Facility,Ongoing Outbreaks,Pender,1
Correctional Facility,Ongoing Outbreaks,Pender,2
K-12 School,,Pender,2
Nursing Home,Ongoing Outbreaks,Pender,1
,,Swain,0
Nursing Home,Ongoing Outbreaks,Cabarrus,2
K-12 School,,Cabarrus,1
K-12 School,,Davidson,1
Residential Care Facility,Ongoing Outbreaks,Davidson,1
Nursing Home,Ongoing Outbreaks,Davidson,2
Nursing Home,Ongoing Outbreaks,Henderson,1
Residential Care Facility,Ongoing Outbreaks,Henderson,1
,,Jackson,0
,,Camden,0
Child Care,,Watauga,1
Other,Ongoing Outbreaks,Watauga,1
Correctional Facility,Ongoing Outbreaks,Watauga,1
Residential Care Facility,Ongoing Outbreaks,Watauga,1
Nursing Home,Ongoing Outbreaks,Watauga,1
Nursing Home,Ongoing Outbreaks,Burke,1
Residential Care Facility,Ongoing Outbreaks,Burke,2
K-12 School,,Stokes,1
Residential Care Facility,Ongoing Outbreaks,Stokes,1
Nursing Home,Ongoing Outbreaks,Hertford,1
Residential Care Facility,Ongoing Outbreaks,Hertford,1
,,Columbus,0
Residential Care Facility,Ongoing Outbreaks,Macon,2
Nursing Home,Ongoing Outbreaks,Macon,1
Nursing Home,Ongoing Outbreaks,Rutherford,2
Child Care,,Wilkes,1
Nursing Home,Ongoing Outbreaks,Wilkes,1
,,Pasquotank,0
Nursing Home,Ongoing Outbreaks,Chatham,1
Correctional Facility,Ongoing Outbreaks,Chatham,1
K-12 School,,Franklin,1
Correctional Facility,Ongoing Outbreaks,Franklin,1
Nursing Home,Ongoing Outbreaks,Franklin,1
Residential Care Facility,Ongoing Outbreaks,Johnston,1
Nursing Home,Ongoing Outbreaks,Johnston,3
Correctional Facility,Ongoing Outbreaks,Johnston,1
Child Care,,Johnston,1
K-12 School,,Rowan,1
Residential Care Facility,Ongoing Outbreaks,Rowan,1
Nursing Home,Ongoing Outbreaks,Rowan,1
Correctional Facility,Ongoing Outbreaks,Rowan,1
K-12 School,,Bladen,1
Child Care,,Guilford,2
Other,Ongoing Outbreaks,Guilford,1
K-12 School,,Guilford,2
Nursing Home,Ongoing Outbreaks,Guilford,6
Residential Care Facility,Ongoing Outbreaks,Guilford,3
