Dose 2 Administered - NC Providers,Total Doses Administered,Dose 1 Administered - NC Providers,Dose 1 Administered - Federal,Dose 2 Administered - Federal,County
24057,60387,27544,5365,3421,Robeson
3754,8863,4312,468,329,Perquimans
50830,139733,60024,16728,12151,Johnston
30925,81432,33832,9799,6876,Randolph
2271,5026,2557,113,85,Hyde
3415,8974,4053,858,648,Alleghany
11708,31065,13370,3466,2521,Duplin
2860,6695,3369,272,194,Gates
18585,49759,22110,5109,3955,Haywood
14626,36480,16325,3310,2219,Stanly
76386,245069,94389,43902,30392,Missing / Out of State
20731,53986,23858,5706,3691,Wilson
1155,2658,1352,85,66,Tyrrell
26766,69381,29948,7628,5039,Wayne
6895,16914,7721,1400,898,Montgomery
14691,39557,16694,4714,3458,Lenoir
9585,23568,10538,2096,1349,Scotland
52975,135829,60406,12852,9596,Alamance
2527,6068,2981,338,222,Camden
5651,14333,6700,1143,839,Greene
28543,77331,31738,9923,7127,Rowan
6037,13857,6761,643,416,Northampton
15760,40843,17552,4563,2968,Wilkes
21296,58727,23372,8253,5806,Lincoln
20886,52673,24055,4724,3008,Caldwell
6340,15392,6914,1182,956,Polk
19849,52251,21576,6139,4687,Surry
11693,29125,14739,1563,1130,Macon
2867,7458,3126,787,678,Clay
9954,24746,11153,2078,1561,Yadkin
27471,75621,31244,10366,6540,Onslow
11661,28133,12976,2157,1339,Richmond
84983,241250,101094,30190,24983,Buncombe
59022,168633,67388,24258,17965,Union
51089,150671,58721,23492,17369,Cabarrus
2837,7880,3335,979,729,Washington
25246,67184,29294,7780,4864,Harnett
24314,59226,26442,5118,3352,Burke
18066,47038,20090,5163,3719,Granville
52250,142738,59094,18737,12657,Gaston
11660,30772,14126,3033,1953,Edgecombe
16313,43977,22479,2893,2292,Watauga
7489,20087,9005,2319,1274,Hoke
6012,14346,7039,755,540,Bertie
12091,29744,13367,2578,1708,Person
14930,36206,17214,2396,1666,Beaufort
42916,115103,47320,14684,10183,Catawba
12169,29917,14777,1716,1255,Jackson
381026,1113925,453773,154943,124183,Wake
24995,63287,27415,6511,4366,Cleveland
15545,39658,18119,3562,2432,Sampson
12949,31867,14601,2589,1728,Columbus
6811,15701,7589,825,476,Caswell
5624,12849,6462,492,271,Yancey
17125,44242,19050,4790,3277,Lee
5996,15094,7053,1193,852,Hertford
24549,62206,27558,6055,4044,Rockingham
304621,901917,363628,134618,99050,Mecklenburg
22685,58378,24653,6390,4650,Carteret
3403,8215,3699,650,463,Swain
5618,13558,6547,806,587,Avery
12643,32888,14205,3612,2428,Vance
15394,36145,17310,2093,1348,Halifax
15278,37312,17392,2681,1961,Rutherford
25365,70400,30362,8558,6115,Nash
7447,19870,9273,1803,1347,Ashe
10078,28254,11785,3720,2671,Stokes
2098,4894,2312,289,195,Graham
16299,42951,18729,4624,3299,Pender
29670,74487,32215,7293,5309,Craven
170556,453604,193686,51294,38068,Guilford
7120,17345,8909,740,576,Madison
24249,66990,27574,8568,6599,Chatham
47037,127535,57563,12992,9943,Pitt
34027,86687,37220,8626,6814,Moore
106676,308441,133853,38303,29609,Forsyth
42362,121855,46173,19267,14053,Iredell
9584,26450,12954,2168,1744,Transylvania
6316,15609,7438,1112,743,Martin
6480,15824,7148,1260,936,Warren
2722,6568,2996,503,347,Jones
11701,32701,13980,4005,3015,Davie
58406,157682,64706,21407,13163,Cumberland
13704,31986,15633,1606,1043,Mcdowell
7612,18332,8315,1410,995,Cherokee
4270,11119,5339,817,693,Chowan
61547,168817,75087,17173,15010,Orange
10298,23408,11138,1181,791,Alexander
115517,313919,138475,33288,26639,Durham
34949,93453,42326,9081,7097,Henderson
11028,27965,13150,2265,1522,Pasquotank
4897,11067,5315,532,323,Pamlico
4064,9732,4884,527,257,Mitchell
7136,17284,8309,1109,730,Currituck
51581,134858,58410,13671,11196,Brunswick
38223,102390,43493,12007,8667,Davidson
17612,48700,19646,6652,4790,Franklin
15769,40004,18930,2972,2333,Dare
8433,20555,9429,1722,971,Bladen
73047,208594,86199,27519,21829,New Hanover
6379,15000,6997,965,659,Anson
