Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs,Fully Vaccinated - All Programs 18Plus,Fully Vaccinated - Tiberius 18Plus,At Least One Dose - NC,Fully Vaccinated - All Programs 65Plus,County,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - Tiberius 12Plus,At Least One Dose - Federal 18Plus,Fully Vaccinated - Federal 65Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - NC 65Plus,Fully Vaccinated - Federal 18Plus,Population,Fully Vaccinated - Tiberius 12Plus,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Population 18 Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Population 12 Plus,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus
29455,37407,36068,148,35322,13746,Robeson,67,195,8901,1399,35309,12280,7160,130625,148,45343,37370,1552,230,9791,20565,9781,12887,34033,43129,98425,14518,176,109195,7767,29464,28760,195,7767,45285,79
4296,4909,4837,,4804,2631,Perquimans,,,718,151,4803,2480,583,13463,,5553,4907,181,,749,3671,749,2689,4715,5433,10957,2870,,11854,611,4298,4254,,611,5552,
62394,85273,80295,,68116,22491,Johnston,,,23522,2796,68087,19695,20260,209339,,94791,85245,3039,,26675,28558,26610,20330,64757,88279,156585,23369,,175612,22851,62421,60035,,22852,94697,
35547,48907,47141,,38050,17885,Randolph,,,14452,2883,38020,15002,12502,143667,,53637,48888,2940,,15587,26060,15572,15400,36811,51263,111702,18340,,123257,13341,35566,34639,,13341,53592,
2699,2817,2727,,2916,969,Hyde,,,136,36,2916,933,114,4937,,3058,2817,43,,142,1114,142,957,2813,2949,4098,1000,,4410,118,2699,2613,,118,3058,
4376,5366,5279,,4692,2423,Alleghany,,,1063,270,4688,2153,956,11137,,5796,5363,284,,1104,3116,1103,2253,4614,5677,9249,2537,,9915,987,4379,4323,,987,5791,
13984,18812,18182,,15504,6720,Duplin,,,5314,1103,15495,5617,4443,58741,,21381,18809,1170,,5877,11405,5873,5830,15067,20381,44760,7000,,49644,4825,13987,13739,,4825,21368,
3397,3740,3670,,3776,1607,Gates,,,355,99,3772,1508,314,11562,,4166,3739,105,,390,2418,390,1647,3704,4059,9230,1752,,10120,342,3398,3356,,342,4162,
23186,29100,28171,,24616,12241,Haywood,,,6294,1472,24609,10769,5580,62317,,31301,29095,1618,,6685,15572,6682,10998,23827,30121,50968,12616,,54941,5909,23191,22591,,5909,31291,
17121,21295,20681,,18560,8529,Stanly,,,4783,996,18557,7533,4016,62806,,23559,21293,1084,,4999,12123,4995,7869,17954,22737,49282,8953,,54008,4172,17123,16665,,4172,23552,
21211,84793,77539,79,25237,8689,Missing,0,30,63988,5676,25175,3013,58116,,79,95040,84410,5483,425,69378,,69224,3245,22610,86628,,8728,252,,63120,21419,19344,30,63122,94429,0
25065,32871,31560,,26835,11599,Wilson,,,8191,1394,26830,10205,7074,81801,,35975,32861,1449,,9140,15337,9119,10499,26080,34271,63224,11948,,69710,7796,25073,24486,,7798,35949,
1449,1550,1517,,1613,606,Tyrrell,,,130,33,1612,573,98,4016,,1747,1549,32,,134,810,134,592,1558,1688,3288,624,,3533,100,1450,1419,,100,1746,
30850,47358,45683,5868,33816,14709,Wayne,781,7501,11161,2273,33790,11655,9601,123131,5998,53678,47308,2422,7563,12299,20802,12278,12048,32941,51382,94031,15615,6033,103693,10460,30865,30214,7280,10460,53569,1145
7732,9434,9258,,8368,3992,Montgomery,,,1906,358,8368,3634,1640,27173,,10345,9434,398,,1977,5743,1975,3741,8184,10090,21266,4139,,23512,1702,7732,7618,,1702,10343,
17473,23474,22826,,19016,9213,Lenoir,,,6403,1281,19012,7932,5540,55949,,26064,23470,1345,,7048,11303,7038,8175,18739,25142,43423,9520,,47933,5997,17477,17286,,5997,26050,
10688,13713,13361,294,11460,5406,Scotland,109,307,3143,593,11459,4704,2463,34823,294,15299,13680,706,350,3489,6531,3477,4835,11304,14754,26793,5661,327,29381,2698,10688,10604,307,2698,15243,120
63490,80024,76236,,67098,23895,Alamance,,0,18353,3246,67078,20649,15545,169509,,86684,80009,3735,14,19572,29035,19543,21030,63608,81961,132145,24765,,145046,16519,63505,60691,0,16519,86621,0
2920,4100,3960,682,3290,1257,Camden,0,423,543,78,3285,1179,457,10867,682,4313,4072,92,457,566,1833,566,1301,3147,4113,8407,1393,710,9354,470,2920,2821,423,470,4274,0
7150,8701,8482,,7717,2650,Greene,,,1614,263,7714,2387,1381,21069,,9570,8700,288,,1853,3592,1850,2446,7652,9266,16884,2734,,18372,1550,7151,7101,,1550,9564,
34067,60976,59267,13936,36559,23785,Rowan,6810,14610,14927,2493,36553,14482,12280,142088,13936,67017,60951,2769,14635,15823,25371,15811,14837,35219,64756,110729,24637,13955,122048,12948,34072,33051,14610,12949,66974,7031
6781,7646,7493,,7403,3762,Northampton,,,939,239,7401,3523,795,19483,,8440,7645,271,,1037,5256,1037,3651,7259,8198,16132,3922,,17363,864,6782,6698,,864,8438,
18011,24000,23300,,20350,9933,Wilkes,,,6994,1443,20343,8490,5729,68412,,27669,23993,1645,,7319,15162,7313,8815,19693,26687,54628,10460,,59783,5982,18018,17571,,5982,27656,
23928,34302,33040,,25044,12124,Lincoln,,,10838,1628,25037,10496,9439,86111,,37071,34294,1672,,12027,15456,12014,10704,24608,35446,67981,12376,,74647,10366,23934,23601,,10368,37051,
24965,30966,30073,,26353,12397,Caldwell,,,6950,911,26344,11486,5662,82178,,33768,30960,1039,,7415,16769,7410,11725,25644,32594,65842,12764,,71809,5995,24971,24411,,5995,33754,
6920,8270,8035,,7331,4172,Polk,,,1433,674,7329,3498,1284,20724,,8848,8267,706,,1517,6644,1514,3621,7125,8558,17478,4327,,18752,1347,6923,6751,,1347,8843,
22298,29682,28818,,23509,11612,Surry,,,8429,1699,23496,9913,7110,71783,,32295,29672,1865,,8786,14964,8780,10139,22768,31197,56811,12004,,62223,7374,22308,21708,,7374,32276,
15234,17678,17281,522,16519,8476,Macon,353,528,2183,646,16512,7477,1817,35858,522,19344,17658,708,546,2279,10350,2279,7731,15996,18707,29260,8799,539,31614,1902,15237,14942,528,1902,19319,360
3228,4036,4014,,3541,2283,Clay,,,883,278,3541,2005,805,11231,,4427,4036,283,,886,3581,886,2094,3492,4375,9352,2377,,10050,808,3228,3209,,808,4427,
11606,14558,14139,,12274,5779,Yadkin,,,3439,656,12269,5123,2773,37667,,15974,14553,695,,3700,7711,3697,5252,11937,15376,29851,5947,,32660,2947,11611,11366,,2947,15966,
31826,79577,76663,31973,34999,17438,Onslow,2393,37462,16349,1942,34988,13103,13591,197938,32749,90790,79544,2156,37511,18280,19026,18253,13423,33878,86673,149343,18159,32776,162055,14969,31832,31099,36446,14969,90703,2580
13518,16441,15958,,14930,6232,Richmond,,,3327,461,14920,5771,2680,44829,,18612,16437,521,,3682,8183,3679,5957,14541,17868,34516,6478,,38043,2919,13522,13278,,2919,18599,
105946,154397,147731,12658,112455,49868,Buncombe,7004,13282,35041,7237,112411,35627,33170,261191,12658,163723,154350,7203,13297,37971,53494,37856,36456,107387,155710,213777,50949,12669,230148,35746,105981,101903,13282,35747,163549,7290
71182,104727,96082,,74963,24719,Union,,,31786,3326,74923,21393,28313,239859,,112997,104699,3526,,38034,31234,37928,21811,70787,102573,176616,25337,,202043,33517,71210,67769,,33517,112851,
61697,92575,86236,,66371,22981,Cabarrus,,,30115,3452,66344,19529,27083,216453,,100928,92559,3602,,34557,29064,34455,20047,62930,93045,161462,23649,,181104,30862,61711,59153,,30864,100799,
3331,4453,4356,,3790,2174,Washington,,,1383,327,3780,1847,1088,11580,,5216,4445,413,,1426,2932,1426,2010,3665,5048,9274,2423,,10083,1114,3339,3268,,1114,5206,
30650,41911,39886,11,33020,12731,Harnett,0,11,12011,1439,32996,11292,10128,135976,11,46489,41853,1553,59,13410,17458,13381,11644,31720,43742,100990,13197,54,112079,11192,30665,29747,11,11192,46388,0
27539,33912,32704,,29183,12695,Burke,,,7145,1188,29170,11507,5849,90485,,36958,33902,1352,,7775,18720,7750,11764,28276,35421,73860,13116,,79893,6363,27549,26855,,6363,36920,
76477,76502,75008,,84548,30136,Out of State,,,,,84515,30136,,,,84548,76477,,,,,,31916,82566,82566,,31916,,,,76502,75008,,,84515,
20701,30920,29701,3409,22087,8378,Granville,286,3618,7264,989,22076,7103,6316,60443,3409,33669,30904,993,3651,7931,10674,7912,7318,21153,32035,48058,8608,3418,52711,6794,20706,19976,3618,6796,33606,297
61178,86427,82996,,65449,27752,Gaston,,,26710,3997,65413,23755,22888,224529,,95190,86400,4289,,29741,36651,29672,24447,63889,90599,174276,28736,,191721,25222,61205,60108,,25222,95085,
15034,19175,18662,,16380,7556,Edgecombe,,,4479,850,16377,6706,3776,51472,,21370,19173,937,,4990,10509,4975,6927,16110,20589,39904,7864,,43948,4139,15036,14886,,4139,21352,
24439,27699,26706,,26339,7248,Watauga,,,3541,484,26316,6764,3121,56177,,30031,27675,511,,3692,9229,3689,7112,25496,29037,49022,7623,,51530,3236,24463,23585,,3236,30005,
9400,23343,22646,10291,10901,7218,Hoke,3657,11347,3773,398,10883,3163,3241,55234,10291,26520,23323,428,11348,4271,5854,4266,3327,10400,25520,40282,7705,10297,44624,3632,9414,9114,11347,3632,26496,3950
7058,8071,7892,,7941,3315,Bertie,,,1139,254,7939,3061,957,18947,,9163,8071,276,,1222,4479,1222,3314,7745,8884,15647,3590,,16854,1013,7058,6935,,1013,9161,
14117,17588,16955,,14988,6400,Person,,,3822,802,14979,5598,3277,39490,,19048,17582,844,,4060,7938,4055,5693,14394,18216,31361,6537,,34239,3465,14123,13678,,3465,19034,
17702,20804,20338,,19003,9405,Beaufort,,,3313,652,18994,8753,2817,46994,,22737,20798,716,,3734,11538,3728,9095,18696,22009,37669,9811,,41131,3096,17708,17521,,3096,22722,
49078,68691,65588,609,51271,24684,Catawba,383,620,20399,2768,51256,21533,17573,159551,609,74149,68646,3074,649,22229,29156,22195,21926,49213,70232,124631,25387,639,137151,18959,49092,47406,620,18960,74071,387
15161,22203,21220,4372,16001,6912,Jackson,922,6486,2394,367,15991,5623,2002,43938,4825,25180,22184,419,6518,2661,8759,2659,5776,15600,23798,36721,7295,4836,39175,2198,15169,14846,5804,2198,25136,1100
469239,671853,620761,3193,493702,128547,Wake,1099,3649,190759,17786,493411,109662,178025,1111761,3193,712947,671705,18063,3662,215583,133864,214880,111917,461252,655660,849055,131109,3193,941934,199273,469381,439543,3649,199279,711940,1129
28378,36904,35591,,30434,14210,Cleveland,,,9713,1828,30425,12382,7864,97947,,41050,36897,2001,,10616,18575,10585,12714,29506,39219,76504,14715,,84044,8519,28385,27727,,8519,41010,
19649,24677,23836,,21877,8271,Sampson,,,5699,897,21872,7374,4669,63531,,28048,24672,1004,,6171,11637,6170,7627,21065,26764,48081,8631,,53473,5023,19654,19167,,5023,28042,
15292,18821,18316,,16606,7118,Columbus,,,4050,795,16599,6323,3144,55508,,21254,18813,920,,4648,11419,4643,6553,16397,20447,44013,7473,,48224,3521,15300,15172,,3521,21242,
8039,8911,8736,,8542,3749,Caswell,,,1173,218,8536,3531,829,22604,,9774,8906,322,,1232,5005,1232,3628,8359,9532,18383,3950,,19944,867,8044,7907,,867,9768,
6683,7374,7200,,7249,3393,Yancey,,,655,117,7249,3276,558,18069,,8061,7374,126,,812,4744,809,3421,7155,7810,14782,3547,,15969,691,6683,6642,,691,8058,
19474,27442,26194,910,20923,8916,Lee,259,978,7426,1005,20918,7652,6303,61779,910,30348,27404,1064,1017,8408,10404,8389,7912,20273,28677,47136,9247,946,52144,7020,19476,18981,978,7020,30285,271
6939,8648,8456,,7655,3502,Hertford,,,1885,478,7651,3024,1568,23677,,9785,8645,488,,2130,4836,2128,3239,7583,9468,19299,3727,,20898,1706,6942,6888,,1706,9779,
28251,36370,35322,,30086,14433,Rockingham,,,9264,2019,30072,12414,7792,91010,,39782,36364,2085,,9696,18996,9690,12788,29175,38439,72695,14873,,79246,8113,28257,27530,,8113,39762,
383819,570134,534117,9747,413073,115509,Mecklenburg,4190,10672,174984,17672,412759,93647,157757,1110356,9747,620999,569936,18305,10711,197215,127686,196609,96100,391906,577562,852079,118792,9761,937616,176370,383997,366613,10672,176376,620040,4387
24752,33461,32510,672,26214,14668,Carteret,299,677,8553,1838,26207,12531,7399,69473,672,36252,33440,1865,712,9326,17867,9310,12831,25721,34951,57537,14993,689,62070,8016,24756,24439,677,8016,36194,297
3713,4842,4739,325,3941,2091,Swain,108,486,923,155,3940,1828,725,14271,325,5439,4833,180,499,999,2803,999,1870,3856,5265,11137,2261,333,12138,795,3714,3689,486,795,5425,211
6868,7875,7716,,7438,3168,Avery,,,1051,221,7433,2947,923,17557,,8594,7872,228,,1156,4020,1151,3094,7348,8399,14969,3322,,15935,1004,6871,6793,,1004,8584,
14887,19688,18830,,16362,6873,Vance,,,5061,899,16346,5974,4450,44535,,21855,19675,930,,5493,8487,5484,6204,15636,20697,34092,7134,,37671,4788,14899,14380,,4789,21830,
