Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs,Fully Vaccinated - All Programs 18Plus,Fully Vaccinated - Tiberius 18Plus,At Least One Dose - NC,Fully Vaccinated - All Programs 65Plus,County,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - Tiberius 12Plus,At Least One Dose - Federal 18Plus,Fully Vaccinated - Federal 65Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - NC 65Plus,Fully Vaccinated - Federal 18Plus,Population,Fully Vaccinated - Tiberius 12Plus,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Population 18 Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Population 12 Plus,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus
31975,41780,39869,160,38275,14117,Robeson,68,202,10972,1531,38263,12518,8741,130625,160,50635,41742,1759,237,12123,20565,12113,13164,36686,47860,98425,15004,189,109195,9607,31984,30968,202,9607,50578,81
4434,5153,5047,,4976,2689,Perquimans,,,875,171,4975,2518,682,13463,,5893,5151,197,,917,3671,917,2712,4868,5743,10957,2909,,11854,717,4436,4365,,717,5892,
64786,91173,85050,,70479,22925,Johnston,,,26910,3015,70451,19910,23110,209339,,101166,91146,3251,,30687,28558,30622,20561,66867,93777,156585,23812,,175612,26360,64812,61940,,26361,101073,
36763,52218,49980,,39510,18314,Randolph,,,16615,3122,39481,15192,14336,143667,,57506,52199,3220,,17996,26060,17981,15596,38132,54747,111702,18816,,123257,15436,36781,35644,,15437,57462,
2782,2913,2814,,2980,976,Hyde,,,147,37,2980,939,125,4937,,3136,2913,44,,156,1114,156,965,2871,3018,4098,1009,,4410,131,2782,2689,,131,3136,
4490,5546,5437,,4881,2455,Alleghany,,,1171,278,4876,2177,1017,11137,,6099,5542,299,,1218,3116,1217,2276,4785,5956,9249,2575,,9915,1052,4494,4420,,1052,6093,
14678,20491,19598,,16735,6896,Duplin,,,6149,1203,16727,5693,5262,58741,,23572,20487,1267,,6837,11405,6833,5927,16182,22331,44760,7194,,49644,5809,14682,14336,,5809,23560,
3490,3884,3798,,3908,1640,Gates,,,416,108,3903,1532,360,11562,,4362,3883,112,,454,2418,454,1664,3816,4232,9230,1776,,10120,393,3491,3438,,393,4357,
23967,30393,29264,,25197,12421,Haywood,,,6742,1545,25190,10876,6031,62317,,32365,30387,1674,,7168,15572,7165,11113,24353,31095,50968,12787,,54941,6420,23973,23233,,6420,32355,
17804,22744,21939,,19333,8736,Stanly,,,5520,1092,19330,7644,4702,62806,,25138,22742,1149,,5805,12123,5801,7967,18647,24167,49282,9116,,54008,4938,17806,17237,,4938,25131,
