Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs,Fully Vaccinated - All Programs 18Plus,Fully Vaccinated - Tiberius 18Plus,At Least One Dose - NC,Fully Vaccinated - All Programs 65Plus,Population 5 Plus,County,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - Tiberius 12Plus,At Least One Dose - Federal 18Plus,Fully Vaccinated - Federal 65Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - NC 65Plus,Fully Vaccinated - Federal 18Plus,Population,Fully Vaccinated - Tiberius 12Plus,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Population 18 Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Population 12 Plus,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus
37197,50599,47830,647,41633,15295,122048,Robeson,360,884,12694,1895,41615,13040,11540,130625,647,56570,50570,2030,894,14043,20565,14042,13508,39494,53072,98425,15953,664,109195,12726,37208,35643,884,12727,56541,415
4847,5829,5664,0,5285,2806,12861,Perquimans,0,0,1023,205,5282,2601,919,13463,0,6371,5816,219,15,1071,3671,1071,2777,5133,6156,10957,2996,11,11854,969,4849,4745,0,969,6353,0
69162,102724,95702,1109,74503,24394,196283,Johnston,502,1371,30974,3536,74467,20356,28780,209339,1109,111242,102680,3665,1383,35356,28558,35355,20965,69529,101874,156585,25180,1120,175612,32409,69191,65813,1371,32413,111193,550
38988,58723,56009,550,41327,19536,135556,Randolph,425,744,18899,3699,41291,15412,17792,143667,550,62606,58686,3640,744,20535,26060,20534,15727,39486,59129,111702,19861,565,123257,19148,39008,37667,744,19150,62569,494
2929,3078,2954,,3124,1017,4753,Hyde,,,156,44,3121,973,141,4937,,3290,3078,52,,166,1114,166,988,2948,3104,4098,1040,,4410,149,2929,2813,,149,3287,
4856,6075,5904,0,5211,2540,10626,Alleghany,0,0,1230,315,5202,2225,1150,11137,0,6524,6042,332,34,1279,3116,1279,2310,5072,6302,9249,2642,26,9915,1186,4863,4754,0,1186,6481,0
16121,23578,22334,216,17797,7463,55126,Duplin,161,267,6938,1436,17782,5866,6540,58741,216,25812,23557,1422,284,7731,11405,7731,6043,16970,24175,44760,7646,228,49644,7220,16130,15578,267,7220,25780,181
3811,4290,4169,,4080,1717,11027,Gates,,0,469,120,4075,1597,440,11562,,4602,4289,119,12,510,2418,510,1701,3970,4439,9230,1820,,10120,478,3812,3729,0,478,4585,0
25527,33916,32610,867,26592,13558,59266,Haywood,508,1294,7696,1777,26583,11273,7048,62317,867,36066,33862,1910,1327,8147,15572,8147,11370,25331,34321,50968,13889,914,54941,7468,25534,24695,1294,7468,36024,609
19253,25850,24825,358,20489,9360,59178,Stanly,284,465,6363,1241,20484,7835,5909,62806,358,27675,25816,1274,477,6709,12123,6709,8124,19591,26419,49282,9726,390,54008,6205,19255,18558,465,6205,27658,328
52615,177821,167050,38137,63783,33229,,Missing,9162,25278,81013,7660,63715,16407,79261,,38160,179305,176728,7029,26504,89018,,89003,19920,58449,164688,,34846,39046,,85953,52820,49652,25226,85955,177996,7897
27976,39475,37472,330,29564,12528,76972,Wilson,221,496,10917,1709,29555,10598,10037,81801,330,42317,39438,1738,500,12253,15337,12250,10860,28351,39764,63224,12859,354,69710,11132,27987,27105,496,11134,42301,261
1723,1863,1775,,1808,655,3827,Tyrrell,,,159,36,1806,619,135,4016,,1974,1862,36,,166,810,166,632,1715,1874,3288,668,,3533,139,1724,1640,,139,1972,
34288,58908,56227,7955,36897,15960,115046,Wayne,1077,10542,16000,2903,36863,11980,14880,123131,8115,65450,58855,3009,10562,17991,20802,17991,12340,35638,61879,94031,16924,8145,103693,16452,34309,33392,10241,16454,65396,1575
8557,11273,10900,122,9064,4324,25757,Montgomery,94,150,2601,467,9063,3763,2422,27173,122,12027,11251,496,184,2779,5743,2779,3855,8825,11576,21266,4456,144,23512,2572,8557,8356,150,2572,11992,105
19537,28545,27308,273,20851,10030,52801,Lenoir,194,405,8506,1579,20847,8257,7847,55949,273,30763,28514,1628,420,9492,11303,9492,8446,20373,29284,43423,10307,301,47933,8704,19540,19188,405,8704,30744,233
11639,16064,15412,158,12373,5709,32530,Scotland,99,203,4190,791,12370,4819,3807,34823,158,17303,16028,866,239,4691,6531,4691,4942,12119,16512,26793,5931,194,29381,4231,11639,11447,203,4231,17264,123
68868,92925,87679,1035,72610,25879,159560,Alamance,654,1387,22938,3975,72588,21250,21345,169509,1035,99048,92900,4301,1413,25025,29035,25024,21801,67795,92120,132145,26831,1043,145046,22997,68885,65299,1387,22997,98999,729
3310,5132,4938,1067,3675,1354,10327,Camden,0,841,747,108,3666,1246,709,10867,1067,5338,5118,121,876,787,1833,787,1352,3470,5058,8407,1473,1079,9354,741,3312,3162,841,741,5294,0
7973,10452,10045,66,8436,2882,20022,Greene,53,84,2284,350,8433,2479,2112,21069,66,11153,10437,367,101,2616,3592,2616,2525,8264,10632,16884,2952,80,18372,2398,7974,7867,84,2398,11133,60
37275,58486,55855,2868,39379,19160,133830,Rowan,1479,3423,18834,3189,39362,14492,17301,142088,2868,62960,58436,3323,3463,20118,25371,20118,14863,37431,59688,110729,19809,2907,122048,18293,37285,35686,3423,18294,62903,1623
7208,8552,8271,70,7756,3875,18570,Northampton,57,107,1240,289,7753,3529,1151,19483,70,9249,8536,317,123,1370,5256,1370,3623,7513,8860,16132,4007,83,17363,1258,7211,7050,107,1258,9230,67
20875,30335,29099,184,22792,10727,64946,Wilkes,160,233,9369,1890,22780,8677,8759,68412,184,32947,30306,2011,259,9896,15162,9896,8920,21723,31325,54628,11111,206,59783,9247,20882,20156,233,9247,32909,180
25355,40091,38288,239,26526,12952,81663,Lincoln,199,363,14187,2092,26519,10661,13148,86111,239,42805,40056,2131,382,15897,15456,15897,10854,25803,40353,67981,13219,269,74647,14462,25360,24901,363,14462,42779,234
27044,36596,35221,202,28114,13312,78015,Caldwell,149,316,9679,1293,28102,11870,8754,82178,202,38888,36571,1359,324,10450,16769,10450,12059,27108,37103,65842,13600,219,71809,9325,27052,26265,316,9325,38868,182
7061,8836,8504,100,7477,4218,19940,Polk,88,116,1630,736,7473,3394,1554,20724,100,9369,8814,751,144,1748,6644,1748,3508,7174,8920,17478,4356,118,18752,1653,7065,6850,116,1653,9337,97
24611,35113,33595,220,25956,12467,67979,Surry,178,284,10583,2083,25935,10206,9744,71783,220,37430,35090,2230,301,11173,14964,11172,10409,24675,35542,56811,12839,227,62223,10259,24626,23631,284,10260,37391,200
17265,20342,19616,349,17978,8917,34121,Macon,238,437,2798,800,17966,7879,2555,35858,349,21375,20281,833,477,2920,10350,2920,8016,17225,20460,29260,9108,403,31614,2667,17272,16712,437,2667,21323,259
3916,4940,4801,23,4151,2534,10740,Clay,23,25,1003,318,4151,2193,952,11231,23,5249,4894,319,92,1006,3581,1006,2242,4009,5037,9352,2586,69,10050,955,3916,3826,25,955,5182,25
12797,17480,16762,102,13429,6255,35700,Yadkin,87,148,4566,827,13422,5341,4243,37667,102,18530,17456,821,168,4933,7711,4933,5447,12900,17614,29851,6373,119,32660,4557,12804,12417,148,4557,18503,105
90903,90946,88968,,103526,35791,,Out of State,,,,,103465,35791,,,,103526,90903,,,,,,40495,100147,100147,,40495,,,,90946,88968,,,103465,
35061,108404,103928,47929,38269,18670,180787,Onslow,2479,56581,24257,2714,38250,13477,22016,197938,49023,121974,108367,2851,56630,27075,19026,27075,13788,36580,116140,149343,19629,49046,162055,24283,35073,33983,55303,24285,121906,2990
15254,19978,19137,247,16530,6794,42075,Richmond,129,283,4433,629,16519,6036,4007,44829,247,21766,19937,669,320,4916,8183,4916,6160,15985,20701,34516,6967,281,38043,4436,15261,14883,283,4436,21718,138
115812,160903,152693,3797,123000,47370,248550,Buncombe,2022,5669,38814,8129,122935,37219,38143,261191,3797,171309,160802,7944,5698,42611,53494,42605,37720,114257,158740,213777,48028,3853,230148,41193,115856,110753,5669,41194,171209,2364
76645,122137,111142,567,81288,26501,226508,Union,411,896,39961,4324,81236,21766,38144,239859,567,130335,122084,4323,914,48133,31234,48121,22446,75327,116184,176616,27276,589,202043,44872,76676,72431,896,44872,130253,507
67106,109369,100744,1448,72185,24719,202607,Cabarrus,860,2075,37435,4253,72143,19606,35844,216453,1448,117780,109327,4314,2089,43506,29064,43499,20121,66780,106290,161462,25371,1460,181104,40773,67132,63452,2075,40777,117717,936
3900,5463,5228,28,4313,2344,10985,Washington,16,55,1665,387,4302,1941,1455,11580,28,6097,5443,461,56,1728,2932,1728,2088,4114,5834,9274,2582,38,10083,1515,3910,3745,55,1515,6085,33
