Fully Vaccinated - NC 5Plus,Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs,Fully Vaccinated - All Programs 18Plus,Fully Vaccinated - Tiberius 18Plus,At Least One Dose - NC,Fully Vaccinated - All Programs 65Plus,Population 5 Plus,County,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - Tiberius 12Plus,At Least One Dose - NC 5Plus,At Least One Dose - Federal 18Plus,Fully Vaccinated - Federal 65Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - Federal 5Plus,Fully Vaccinated - NC 65Plus,Fully Vaccinated - Federal 18Plus,Population,Fully Vaccinated - Tiberius 12Plus,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Population 18 Plus,At Least One Dose - Tiberius 5Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Population 12 Plus,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - Tiberius 5Plus,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus
37757,37568,51544,48510,647,42077,15393,122048,Robeson,360,886,42060,13006,1926,41633,13109,13107,11874,130625,647,57372,51302,2058,896,14399,20565,14321,14398,13579,39794,53686,98425,886,16052,664,109195,13087,37770,647,35989,886,13110,56840,415
4898,4882,5900,5719,0,5324,2823,12861,Perquimans,0,0,5321,1046,208,5283,989,2615,940,13463,0,6436,5871,224,15,1097,3671,1093,1097,2786,5158,6204,10957,0,3010,11,11854,989,4900,0,4779,0,989,6376,0
70369,69783,105223,97014,1109,75251,24545,196283,Johnston,502,1375,75212,31550,3595,73871,33701,20448,29553,209339,1109,112925,104131,3718,1387,36287,28558,35427,36286,21045,69899,102824,156585,1375,25313,1120,175612,33239,70398,1109,66352,1375,33705,110673,550
39323,39107,59690,56563,550,41564,19568,135556,Randolph,425,746,41528,19331,3751,41041,19780,15392,18240,143667,550,63410,59297,3684,746,21100,26060,20850,21099,15710,39555,59632,111702,746,19888,565,123257,19640,39343,550,37773,746,19782,62637,494
2961,2940,3113,2967,,3146,1019,4753,Hyde,,,3143,156,44,3084,152,975,143,4937,,3313,3091,52,,167,1114,164,167,990,2960,3116,4098,,1042,,4410,151,2961,,2824,,152,3248,
4927,4916,6184,5996,0,5288,2558,10626,Alleghany,0,0,5279,1265,322,5206,1224,2236,1184,11137,0,6639,6137,337,34,1317,3116,1313,1317,2313,5095,6360,9249,0,2650,26,9915,1221,4934,0,4812,0,1224,6519,0
16343,16216,24010,22590,216,18055,7510,55126,Duplin,161,267,18039,7136,1461,17704,7427,5888,6710,58741,216,26298,23842,1452,284,7959,11405,7902,7959,6062,17045,24448,44760,267,7695,228,49644,7410,16355,216,15664,267,7427,25873,181
3834,3831,4329,4206,,4105,1727,11027,Gates,,0,4099,481,121,4088,494,1606,458,11562,,4640,4325,120,13,522,2418,521,522,1707,3984,4465,9230,0,1827,,10120,494,3835,,3748,0,494,4609,0
26034,25735,34535,32893,870,26874,13634,59266,Haywood,508,1305,26864,7786,1797,26364,7571,11329,7131,62317,870,36460,34158,1928,1338,8248,15572,8216,8248,11393,25470,34561,50968,1305,13931,917,54941,7553,26047,870,24892,1305,7571,35885,610
19441,19381,26215,25074,358,20633,9406,59178,Stanly,284,465,20628,6501,1258,20457,6382,7864,6054,62806,358,27982,26093,1291,477,6872,12123,6825,6872,8141,19671,26637,49282,465,9760,390,54008,6354,19443,358,18662,465,6382,27747,328
