Fully Vaccinated - NC 5Plus,Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs,Fully Vaccinated - All Programs 18Plus,Fully Vaccinated - Tiberius 18Plus,At Least One Dose - NC,Fully Vaccinated - All Programs 65Plus,Population 5 Plus,County,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - Tiberius 12Plus,At Least One Dose - NC 5Plus,At Least One Dose - Federal 18Plus,Fully Vaccinated - Federal 65Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - Federal 5Plus,Fully Vaccinated - NC 65Plus,Fully Vaccinated - Federal 18Plus,Population,Fully Vaccinated - Tiberius 12Plus,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Population 18 Plus,At Least One Dose - Tiberius 5Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Additional Booster Doses,Population 12 Plus,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - Tiberius 5Plus,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus
37942,37696,51880,48746,647,42276,15437,122048,Robeson,360,887,42259,13141,1946,41749,13260,13131,12004,130625,647,57723,51566,2080,897,14550,20565,14460,14549,13601,39893,53921,98425,887,16096,664,13066,109195,13223,37955,647,36095,887,13261,57096,415
4918,4893,5929,5738,0,5336,2831,12861,Perquimans,0,0,5333,1052,208,5291,998,2623,948,13463,0,6456,5891,226,15,1105,3671,1099,1105,2793,5165,6217,10957,0,3019,11,2499,11854,998,4920,0,4790,0,998,6390,0
70724,69959,106029,97420,1109,75538,24591,196283,Johnston,502,1378,75499,31758,3619,74052,34152,20470,29796,209339,1109,113536,104561,3741,1390,36608,28558,35650,36607,21059,70067,103203,156585,1378,25350,1120,31584,175612,33493,70753,1109,66515,1378,34156,111080,550
39363,39059,60010,56729,550,41530,19580,135556,Randolph,425,746,41494,19494,3778,40975,20060,15377,18465,143667,550,63581,59489,3712,746,21305,26060,21020,21304,15692,39472,59712,111702,746,19898,565,18808,123257,19880,39383,550,37714,746,20062,62741,494
3012,2969,3166,2994,,3181,1022,4753,Hyde,,,3178,156,44,3102,154,978,144,4937,,3349,3121,52,,168,1114,165,168,993,2975,3131,4098,,1045,,1120,4410,152,3012,,2850,,154,3267,
4973,4944,6244,6032,0,5314,2569,10626,Alleghany,0,0,5305,1278,325,5226,1238,2244,1195,11137,0,6678,6176,340,34,1330,3116,1326,1330,2316,5114,6392,9249,0,2656,26,2371,9915,1232,4980,0,4837,0,1238,6552,0
16486,16300,24245,22740,216,18242,7519,55126,Duplin,161,267,18226,7207,1466,17860,7518,5892,6786,58741,216,26565,24006,1461,284,8039,11405,7973,8039,6070,17185,24659,44760,267,7712,228,6655,49644,7490,16499,216,15738,267,7518,26100,181
3849,3846,4345,4217,,4116,1729,11027,Gates,,0,4110,484,121,4094,495,1608,459,11562,,4657,4341,120,13,528,2418,527,528,1710,3987,4471,9230,0,1830,,1484,10120,495,3850,,3758,0,495,4621,0
26205,25830,34770,33037,870,26972,13679,59266,Haywood,508,1307,26962,7823,1813,26426,7635,11358,7181,62317,870,36602,34307,1943,1340,8290,15572,8257,8290,11415,25533,34663,50968,1307,13968,917,14441,54941,7607,26218,870,24986,1307,7635,35990,610
19540,19440,26402,25210,358,20706,9432,59178,Stanly,284,465,20701,6556,1272,20506,6470,7876,6134,62806,358,28119,26234,1301,477,6936,12123,6880,6936,8157,19716,26737,49282,465,9786,390,8809,54008,6436,19542,358,18718,465,6470,27851,328
66465,64904,197761,182367,38824,80966,38197,,Missing,9399,27553,80886,83169,7840,77993,91329,20958,81993,,38848,202766,192647,7178,28797,93003,,89739,92987,25974,73892,184562,,27553,42135,39735,90541,,88895,66694,38848,61550,27501,91332,195285,8983
28496,28263,40608,38169,331,29969,12620,76972,Wilson,221,497,29959,11306,1748,29584,11744,10651,10464,81801,331,43257,40197,1777,501,12787,15337,12559,12784,10893,28593,40396,63224,497,12931,355,12990,69710,11603,28507,331,27374,497,11746,42640,261
1757,1749,1899,1803,,1832,659,3827,Tyrrell,,,1830,163,36,1815,141,623,137,4016,,2002,1890,36,,170,810,170,170,638,1731,1894,3288,,674,,553,3533,141,1758,,1666,,141,1985,
34762,34597,60432,57244,8068,37236,16116,115046,Wayne,1104,10590,37201,16609,2971,36906,17348,12041,15490,123131,8229,66770,59951,3081,10720,18814,20802,18427,18813,12416,35869,62803,94031,10697,17094,8296,15862,103693,17125,34784,8265,33686,10325,17352,65923,1597
8616,8604,11439,11023,122,9118,4343,25757,Montgomery,94,150,9116,2681,476,9079,2679,3773,2501,27173,122,12169,11384,504,184,2867,5743,2841,2867,3865,8854,11685,21266,150,4474,144,3496,23512,2658,8616,122,8400,150,2679,12070,105
19795,19733,29190,27791,273,21094,10111,52801,Lenoir,194,405,21090,8779,1615,20960,9090,8302,8139,55949,273,31378,29021,1656,420,9864,11303,9707,9864,8485,20529,29713,43423,405,10374,301,9124,47933,9015,19799,273,19379,405,9090,31072,233
11735,11695,16312,15584,158,12479,5740,32530,Scotland,99,203,12476,4307,817,12410,4383,4824,3933,34823,158,17550,16217,894,239,4832,6531,4783,4832,4956,12180,16690,26793,203,5973,194,4654,29381,4364,11735,158,11493,203,4383,17396,123
70359,69266,95620,88733,1035,73682,25990,159560,Alamance,654,1401,73659,23600,4054,72006,24199,21282,22066,169509,1035,101060,94079,4357,1427,25951,29035,25346,25950,21852,68046,93047,132145,1401,26939,1043,29487,145046,23778,70378,1035,65632,1401,24199,98753,730
3370,3338,5249,5014,1077,3715,1374,10327,Camden,0,846,3706,765,114,3653,788,1260,749,10867,1077,5413,5198,128,881,817,1833,801,817,1369,3489,5100,8407,846,1497,1089,1343,9354,783,3372,1077,3188,846,788,5300,0
8111,8061,10703,10209,66,8538,2906,20022,Greene,53,84,8534,2359,362,8451,2511,2491,2194,21069,66,11346,10619,380,101,2707,3592,2679,2707,2532,8313,10756,16884,84,2972,80,2947,18372,2492,8112,66,7949,84,2511,11214,60
37558,37333,59580,56463,2881,39691,19163,133830,Rowan,1479,3473,39674,19380,3241,39248,19095,14443,17854,142088,2881,64012,59107,3376,3506,20815,25371,20521,20815,14787,37524,60377,110729,3473,19787,2913,17346,122048,18893,37570,2881,35728,3473,19097,63242,1624
7164,7146,8573,8263,70,7706,3832,18570,Northampton,57,107,7703,1293,296,7634,1323,3479,1206,19483,70,9257,8532,324,123,1428,5256,1418,1428,3570,7434,8834,16132,107,3961,83,2782,17363,1316,7167,70,6987,107,1323,9159,67
21088,20854,30855,29333,184,22831,10662,64946,Wilkes,160,233,22820,9628,1923,22452,9552,8579,9029,68412,184,33286,30569,2047,259,10196,15162,10146,10196,8819,21640,31501,54628,233,11046,206,9366,59783,9531,21097,184,20120,233,9552,32831,180
25733,25544,41175,38838,239,26786,13040,81663,Lincoln,199,363,26779,14494,2139,26467,15169,10702,13538,86111,239,43536,40668,2168,382,16368,15456,15974,16368,10886,25915,40772,67981,363,13288,269,14199,74647,14885,25737,239,25061,363,15169,42804,234
27452,27302,37515,35870,202,28364,13411,78015,Caldwell,149,316,28352,10031,1339,28118,9836,11923,9156,82178,202,39545,37254,1402,324,10857,16769,10720,10857,12096,27276,37623,65842,316,13680,219,13306,71809,9750,27460,202,26512,316,9836,39154,182
7006,6958,8843,8416,100,7371,4143,19940,Polk,88,117,7367,1646,740,7289,1715,3315,1579,20724,100,9304,8739,754,145,1788,6644,1751,1788,3413,7042,8805,17478,117,4264,118,2716,18752,1681,7010,100,6737,117,1715,9157,97
24698,24506,35512,33729,220,25880,12365,67979,Surry,178,284,25859,10814,2126,25507,10572,10061,10005,71783,220,37624,35275,2268,301,11443,14964,11387,11442,10242,24400,35498,56811,284,12710,227,11613,62223,10549,24712,220,23504,284,10573,37178,200
17675,17561,20858,20004,351,18216,9008,34121,Macon,238,439,18206,2883,811,18010,2771,7959,2649,35858,351,21705,20674,843,479,3010,10350,2993,3010,8075,17378,20700,29260,439,9177,405,8261,31614,2762,17682,351,17004,439,2771,21442,259
4015,3991,5046,4869,23,4218,2551,10740,Clay,23,25,4218,1008,318,4178,962,2210,959,11231,23,5322,4976,320,93,1011,3581,1011,1011,2261,4064,5097,9352,25,2606,69,2187,10050,962,4015,23,3887,25,962,5214,25
12940,12855,17841,16992,102,13499,6279,35700,Yadkin,87,149,13492,4712,839,13356,4775,5353,4417,37667,102,18788,17706,831,169,5120,7711,5075,5120,5458,12930,17791,29851,149,6394,119,5572,32660,4749,12947,102,12473,149,4775,18580,105
95647,94631,95696,92570,,108814,36648,,Out of State,,,108752,,,106615,,36648,,,,108814,94631,,,,,,,41703,104208,104208,,,41703,,23598,,,95696,,92570,,,106615,
35678,35341,111126,105775,48486,38729,18849,180787,Onslow,2494,56979,38711,25112,2811,38150,25766,13544,23048,197938,49607,124193,110318,2938,57168,28296,19026,27619,28296,13852,36821,117606,149343,57115,19803,49659,17204,162055,25370,35699,49636,34241,55673,25768,122748,3013
15554,15444,20465,19471,247,16812,6848,42075,Richmond,129,283,16801,4577,652,16605,4623,6067,4172,44829,247,22218,20300,695,320,5086,8183,5043,5086,6187,16128,20988,34516,283,7020,281,6054,38043,4609,15561,247,15052,283,4623,21931,138
120792,118019,167486,155293,3824,125681,47890,248550,Buncombe,2022,5680,125610,39269,8213,121642,42768,37655,38683,261191,3824,174922,163631,8010,5709,43532,53494,42411,43524,38030,115853,160802,213777,5680,48405,3862,71390,230148,41788,120855,3824,112786,5680,42769,169733,2365
78094,76917,126584,112413,567,82154,26602,226508,Union,411,897,82102,40808,4415,80172,47868,21776,39185,239859,567,133326,123572,4399,915,50257,31234,47863,50244,22454,75554,117259,176616,897,27360,589,41686,202043,46088,78126,567,72661,897,47869,128932,507
68340,67083,112904,101557,1449,73107,24625,202607,Cabarrus,860,2097,73063,38151,4332,70918,43068,19433,36737,216453,1449,120371,110322,4395,2113,45151,29064,43286,45144,19974,66721,106969,161462,2097,25305,1463,34774,181104,41790,68369,1449,63371,2097,43072,116301,936
3963,3954,5563,5313,28,4366,2364,10985,Washington,16,55,4355,1695,396,4325,1552,1952,1493,11580,28,6181,5534,468,56,1759,2932,1756,1759,2094,4141,5891,9274,55,2595,38,2005,10083,1552,3973,28,3792,55,1552,6136,33
33627,33372,52233,48452,875,35748,13578,126086,Harnett,348,1289,35711,16755,1880,35201,17638,11350,15661,135976,875,56199,51616,1948,1340,19111,17458,18630,19110,11658,33547,51580,100990,1289,13997,945,14847,112079,17369,33649,875,31916,1278,17639,55120,391
30135,29939,40491,38320,346,31471,13281,86176,Burke,261,489,31457,9921,1588,31130,9974,11432,9105,90485,346,42866,40188,1703,498,10897,18720,10762,10896,11612,29936,40346,73860,489,13626,367,14372,79893,9903,30150,346,28869,489,9974,42381,311
22247,22006,36283,34003,4343,23502,8905,57336,Granville,515,4747,23486,9120,1257,23056,9657,7133,8703,60443,4343,38486,35872,1199,4783,10201,10674,10008,10198,7321,21893,35760,48058,4747,9081,4360,11125,52711,9523,22263,4343,20957,4747,9660,37811,561
68966,68350,107104,100487,851,74307,30651,211171,Gaston,652,1302,74255,35367,5120,73140,37223,24879,33125,224529,851,115636,105837,5308,1325,40004,36651,39123,40003,25780,71023,107692,174276,1302,31904,872,32893,191721,36636,69009,851,66511,1302,37223,113565,816
16763,16688,23220,22100,290,17891,8018,48532,Edgecombe,201,391,17884,5977,1066,17718,6158,6751,5501,51472,290,25013,23082,1133,403,6719,10509,6623,6719,6911,17264,23632,39904,391,8283,295,6641,43948,6104,16767,290,16309,391,6158,24732,239
26912,26271,31230,29333,54,28270,7639,54308,Watauga,54,88,28234,4405,618,27426,4217,6967,4047,56177,54,32992,30527,652,123,4599,9229,4580,4599,7298,26456,30949,49022,88,8021,66,11161,51530,4202,26947,54,25232,88,4217,32094,71
11164,11037,17886,16550,775,12422,4009,50664,Hoke,223,1125,12401,5537,538,12167,5922,3248,5228,55234,775,19912,17652,568,1150,6340,5854,6200,6340,3381,11548,18210,40282,1125,4190,780,4630,44624,5840,11184,775,10547,1125,5922,19492,241
7918,7908,9699,9326,15,8631,3546,18126,Bertie,15,34,8626,1737,326,8590,1751,3205,1623,18947,15,10563,9670,343,42,1890,4479,1878,1890,3426,8357,10128,15647,34,3788,28,2897,16854,1747,7920,15,7688,34,1751,10502,19
15808,15658,21331,20151,284,16489,7054,37405,Person,180,388,16476,5241,1030,16216,5223,5844,4890,39490,284,22513,21120,1063,388,5636,7938,5564,5635,5922,15506,21135,31361,388,7185,292,7587,34239,5178,15816,284,14977,388,5223,22168,200
19615,19556,24664,23697,275,20558,10185,44735,Beaufort,224,385,20547,4609,855,20374,4743,9106,4245,46994,275,26168,24541,898,400,5210,11538,5158,5210,9355,19937,24931,37669,385,10522,298,8775,41131,4710,19623,275,19177,385,4743,25917,269
16636,16426,22600,21175,2277,17313,6822,42001,Jackson,542,3494,17299,3139,509,16923,3218,5771,2882,43938,2564,24616,22184,540,3800,3503,8759,3463,3503,5880,16472,22748,36721,3737,7068,2734,7362,39175,3194,16648,2700,16016,3137,3218,23880,648
53110,52570,82153,76744,512,55197,26344,150636,Catawba,349,704,55176,27776,3915,54344,28492,22080,25896,159551,512,86600,81189,4084,732,30671,29156,30112,30670,22421,51951,80431,124631,704,26887,533,27829,137151,28107,53127,512,50336,704,28493,85160,382
514021,498171,777138,691803,6096,544065,135887,1044525,Wake,2706,8604,543674,225293,21792,519878,256777,111389,220867,1111761,6096,817588,752399,21562,8659,264864,133864,253407,264845,116377,485033,718930,849055,8604,140935,6109,280093,941934,248132,514239,6096,464840,8604,256790,781889,2996
33065,32760,47018,44313,368,34902,15811,92365,Cleveland,285,498,34893,13558,2400,34334,13560,13126,12370,97947,368,50304,46631,2477,519,14883,18575,14789,14883,13410,33008,47064,76504,498,16208,386,15771,84044,13503,33072,368,31575,498,13560,49621,321
23023,22964,31091,29458,303,25025,9091,59389,Sampson,202,416,25013,7622,1209,24860,7742,7680,7136,63531,303,33751,30970,1249,427,8299,11637,8231,8299,7892,23747,31785,48081,416,9375,317,8208,53473,7703,23032,303,22019,416,7742,33507,234
