Fully Vaccinated - NC 5Plus,Fully Vaccinated - NC 12Plus,Fully Vaccinated - All Programs 18Plus,At Least One Dose - NC,county1,Additional Doses - 5Plus,Fully Vaccinated - Tiberius 65Plus,At Least One Dose - NC 5Plus,At Least One Dose - Federal 18Plus,At Least One Dose - NC 12Plus,Fully Vaccinated - NC 65Plus,Tiberius Additional Doses - 65Plus,Fully Vaccinated - Federal 18Plus,Fully Vaccinated - Tiberius 12Plus,Additional Doses - 18Plus,Tiberius Additional Doses - 12Plus,Population 18 Plus,Tiberius Additional Doses - 18Plus,Additional Booster Doses,Population 12 Plus,Fully Vaccinated - NC 18Plus,At Least One Dose - Tiberius 18Plus,Fully Vaccinated - Federal,At Least One Dose - All Programs 12Plus,At Least One Dose - Tiberius 65Plus,Tiberius Additional Doses - 5Plus,Additional Doses - 65Plus,Fully Vaccinated - All Programs,Fully Vaccinated - Tiberius 18Plus,Fully Vaccinated - All Programs 65Plus,Population 5 Plus,County,At Least One Dose - Tiberius 12Plus,Fully Vaccinated - Federal 65Plus,Fully Vaccinated - Federal 5Plus,Population,Tiberius Additional Doses,At Least One Dose - All Programs,Fully Vaccinated - All Programs 12Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,Population 65 Plus,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - Tiberius 5Plus,Additional Doses - 12Plus,At Least One Dose - All Programs 65Plus,Fully Vaccinated - Tiberius,Fully Vaccinated - Federal 12Plus,Fully Vaccinated - NC,Fully Vaccinated - Tiberius 5Plus
38246,37891,49205,42673,ROBESON COUNTY,15469,361,42655,13419,42003,13177,0,12286,653,15421,0,98425,0,15469,109195,36266,896,13592,57674,417,0,8166,52522,653,15517,122048,ROBESON,896,1979,13591,130625,0,58500,52069,2107,906,14921,20565,14775,14920,13647,40104,54419,896,15469,16171,671,13525,38259,653
4931,4899,5761,5354,PERQUIMANS COUNTY,2736,0,5351,1065,5304,2636,,967,0,2733,,10957,,2736,11854,4794,0,1019,6415,0,,1832,5963,0,2847,12861,PERQUIMANS,0,211,1019,13463,,6488,5917,227,17,1117,3671,1111,1117,2810,5175,6240,0,2736,3037,11,1018,4933,0
71195,70100,97979,76268,JOHNSTON COUNTY,39496,504,76228,32307,74432,20500,,30276,1114,39106,,156585,,39500,175612,66589,1385,34956,112078,551,,15497,107307,1114,24682,196283,JOHNSTON,1385,3678,34952,209339,,115165,105236,3804,1397,37500,28558,36261,37499,21113,70348,104040,1385,39496,25468,1125,34022,71226,1114
39481,39068,57076,41702,RANDOLPH COUNTY,22666,426,41667,19923,41047,15350,,18816,552,22572,,111702,,22666,123257,37708,750,20507,63267,496,,11333,60574,552,19609,135556,RANDOLPH,750,3833,20505,143667,,64318,59865,3763,750,21866,26060,21470,21865,15687,39528,60201,750,22666,19946,567,20245,39500,552
3032,2979,3006,3198,HYDE COUNTY,1252,,3195,160,3116,982,,144,,1249,,4098,,1252,4410,2862,,157,3285,,,595,3189,,1026,4753,HYDE,,44,157,4937,,3370,3132,52,,172,1114,169,172,995,2990,3150,,1252,1047,,153,3032,
4976,4929,6019,5349,ALLEGHANY COUNTY,2754,0,5340,1291,5251,2240,,1203,0,2745,,9249,,2755,9915,4816,0,1248,6590,0,,1581,6257,0,2565,10626,ALLEGHANY,0,325,1248,11137,,6728,6170,346,34,1345,3116,1339,1345,2322,5134,6425,0,2754,2668,26,1241,4983,0
16622,16333,22922,18387,DUPLIN COUNTY,8064,161,18371,7358,17943,5912,,6945,216,8040,,44760,,8065,49644,15761,269,7719,26358,183,,4223,24582,216,7558,55126,DUPLIN,269,1485,7719,58741,,26924,24216,1484,287,8250,11405,8146,8250,6087,17238,24865,269,8064,7754,228,7667,16635,216
3855,3851,4224,4139,GATES COUNTY,1621,,4133,492,4108,1616,,463,,1620,,9230,,1621,10120,3761,0,501,4649,0,,965,4357,,1737,11027,GATES,0,121,501,11562,,4699,4351,121,15,545,2418,541,545,1717,3997,4489,0,1621,1838,,500,3856,
26118,25628,32893,27053,HAYWOOD COUNTY,16781,508,27043,7900,26415,11243,0,7252,870,16702,37,50968,37,16781,54941,24771,1316,7716,36076,612,37,8983,34764,870,13581,59266,HAYWOOD,1316,1830,7716,62317,37,36789,34180,1961,1349,8387,15572,8345,8387,11398,25505,34721,1316,16781,13971,917,7682,26131,870
19723,19569,25429,20922,STANLY COUNTY,10623,284,20916,6655,20657,7899,,6241,358,10589,,49282,,10623,54008,18830,467,6601,28115,329,,5707,26718,358,9470,59178,STANLY,467,1287,6601,62806,,28482,26483,1319,479,7081,12123,6991,7081,8191,19856,26978,467,10623,9839,390,6556,19727,358
