Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Dose - NC,county1,At Least One Booster/Additional Dose - All Programs,At Least One Booster/Additional Dose - NC Provider - 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Dose - NC 5Plus,At Least One Dose - Federal 18Plus,At Least One Dose - NC 12Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - NC,Population 18 Plus,At Least One Booster/Additional Dose - NC Provider - 5Plus,Population 12 Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Dose - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,At Least One Dose - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Tiberius at Least One Booster/Additional Dose,At Least One Booster/Additional Dose - NC Provider - 18Plus,Tiberius at Least One Booster/Additional Dose - 5Plus,Population 5 Plus,County,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,Population,At Least One Dose - All Programs,At Least One Booster/Additional Dose - Pharmacy,At Least One Dose - Federal 65Plus,At Least One Dose - Tiberius,At Least One Dose - Federal,At Least One Booster/Additional Dose - NC,Population 65 Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,At Least One Dose - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,At Least One Dose - Tiberius 5Plus,At Least One Dose - All Programs 65Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,At Least One Booster/Additional Dose - All Programs - 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,At Least One Booster/Additional Dose - All Providers - 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus,At Least One Dose - All Programs 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - All Programs - 5Plus
653,5187,5234,42930,ROBESON COUNTY,16732,11446,12369,28,16708,42912,13525,42146,6181,38028,38469,361,38482,98425,11446,109195,2295,904,13680,57949,49408,419,13679,15540,52,11397,28,122048,Robeson,13608,904,52834,52801,1986,653,130625,58902,5234,2114,914,15058,11446,20565,12,14899,15057,653,13666,40218,54647,52289,904,16199,28,16612,672,13193,8488,36386,58873,5234,16708
0,667,671,5382,PERQUIMANS COUNTY,2871,2200,972,,2871,5379,1072,5318,1492,4913,4949,0,4951,10957,2200,11854,398,0,1024,6436,5779,0,1024,2853,,2199,,12861,Perquimans,1023,0,5987,5973,212,0,13463,6526,671,228,19,1125,2200,3671,,1118,1125,0,2815,5185,6257,5936,0,3043,,2866,12,2641,1890,4807,6504,671,2871
1115,22601,22968,76713,JOHNSTON COUNTY,42570,19562,30417,0,42530,76673,32535,74688,8716,70321,71587,505,71618,156585,19563,175612,7365,1395,35159,112603,98302,555,35155,24728,31,19341,0,196283,Johnston,34165,1395,107903,107857,3697,1115,209339,115957,22970,3818,1407,37837,19569,28558,0,36520,37836,1115,21149,70549,104479,105601,1395,25522,0,41942,1126,20526,16081,66770,115904,22968,42531
553,12662,12776,42005,RANDOLPH COUNTY,24250,11461,18912,0,24237,41970,20104,41266,6112,39236,39705,426,39725,111702,11461,123257,5668,754,20624,63686,57323,497,20622,19676,11,11411,0,135556,Randolph,20348,754,60917,60880,3845,553,143667,64848,12776,3775,754,22089,11463,26060,0,21666,22088,553,15737,39719,60577,60137,754,20009,0,24073,568,15405,11780,37858,64812,12776,24237
,45,45,3218,HYDE COUNTY,1441,1396,144,,1441,3215,161,3129,641,2994,3065,,3065,4098,1396,4410,12,,157,3299,3017,,157,1031,,1367,,4753,Hyde,153,,3222,3222,44,,4937,3391,45,52,,173,1396,1114,,170,173,,999,3001,3162,3147,,1051,,1412,,987,653,2873,3388,45,1441
0,1283,1285,5376,ALLEGHANY COUNTY,2889,1603,1209,,2888,5367,1303,5272,977,4946,5001,0,5008,9249,1603,9915,663,0,1253,6622,6041,0,1253,2571,,1591,,10626,Alleghany,1246,0,6287,6254,326,0,11137,6766,1285,349,34,1356,1604,3116,,1350,1356,0,2328,5150,6453,6192,0,2677,,2874,26,2245,1640,4832,6723,1285,2888
216,3909,3934,18540,DUPLIN COUNTY,8680,4744,6992,,8678,18524,7400,18039,2504,16433,16740,161,16752,44760,4744,49644,1916,269,7767,26495,23069,183,7767,7579,,4738,,55126,Duplin,7711,269,24747,24723,1493,216,58741,27124,3934,1487,289,8295,4746,11405,,8187,8295,216,6096,17310,24979,24360,269,7766,,8647,228,5925,4420,15861,27088,3934,8678
,200,202,4163,GATES COUNTY,1744,1542,468,,1744,4155,499,4115,928,3857,3873,,3874,9230,1542,10120,79,0,507,4662,4233,0,507,1746,,1540,,11027,Gates,506,0,4381,4380,122,,11562,4729,202,122,15,551,1542,2418,,547,551,,1724,4002,4501,4363,0,1846,,1740,,1624,1007,3765,4706,202,1744
875,6597,6669,27152,HAYWOOD COUNTY,17675,10919,7285,37,17625,27142,7940,26476,5880,25659,26194,509,26207,50968,10919,54941,3316,1317,7751,36180,32960,613,7751,13594,87,10829,37,59266,Haywood,7718,1317,34880,34820,1836,875,62317,36932,6669,1970,1350,8430,10919,15572,0,8387,8430,875,11407,25554,34811,34252,1317,13990,37,17463,922,11249,9196,24800,36889,6669,17625
358,5161,5195,21002,STANLY COUNTY,11305,6100,6272,0,11295,20996,6714,20718,3394,19613,19798,284,19802,49282,6100,54008,2526,468,6636,28236,25499,329,6636,9493,10,6061,0,59178,Stanly,6587,468,26828,26792,1296,358,62806,28628,5195,1327,481,7145,6100,12123,0,7050,7145,358,8210,19907,27089,26558,468,9866,0,11222,390,7913,5920,18869,28609,5195,11295
