At Least One Booster/Additional Dose - All Providers - 65Plus,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - NC,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 18Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,county1
9030,18405,18587,18587,18604,12740,12740,12640,6597,5778,5778,5696,2400,5778,12740,60037,53610,Robeson,69,69,69,33,86,1315,832,122048,15650,50016,52939,53706,16382,55570,58933,60125,1315,832,1384,1315,511,913,832,382,98425,20565,130625,109195,13757,2142,15344,15148,43397,42470,13729,40498,2009,12550,13799,13899,38308,13259,38894,36634,15343,43379,13898,38880,ROBESON COUNTY
1944,3019,3030,3030,3030,2315,2315,2309,1538,715,715,710,406,715,2315,6551,6001,Perquimans,,,,,,0,0,12861,2865,5799,5961,6015,3058,6287,6468,6573,0,0,19,0,0,12,0,0,10957,3671,13463,11854,1088,232,1145,1135,5409,5333,2826,5199,213,982,1033,1035,4928,2652,4968,4817,1145,5406,1035,4966,PERQUIMANS COUNTY
16716,45265,46242,46242,46282,21079,21079,20749,9096,25145,25145,24498,7620,25147,21085,118766,109851,Johnston,18,18,18,0,50,3219,2142,196283,24900,99658,107171,109918,25912,106698,115077,118878,3208,2142,3288,3045,871,2173,2027,604,156585,28558,209339,175612,32903,3849,38445,36951,77145,74918,21192,70750,3721,30690,34471,35671,70558,20575,72074,66941,38444,77103,35667,72042,JOHNSTON COUNTY
12241,25671,25936,25936,25974,12275,12275,12183,6365,13661,13661,13488,5876,13661,12277,65423,61410,Randolph,0,0,0,0,36,759,554,135556,19725,57658,60504,61503,20061,60995,64155,65557,759,554,856,759,501,625,554,427,111702,26060,143667,123257,20350,3803,22430,21937,42271,41459,15757,39886,3870,19135,20580,20941,39370,15428,39937,37969,22429,42235,20939,39917,RANDOLPH COUNTY
674,1647,1684,1684,1684,1632,1632,1595,660,52,52,52,14,52,1632,3407,3240,Hyde,,,,,,,,4753,1033,3031,3162,3240,1053,3174,3313,3410,,,,,,,,,4098,1114,4937,4410,164,52,176,173,3234,3140,1001,3010,44,148,157,161,3005,989,3079,2883,176,3231,161,3079,HYDE COUNTY
1678,2971,2986,2986,2987,1656,1656,1642,994,1330,1330,1329,684,1330,1657,6767,6287,Alleghany,,,,,,10,0,10626,2579,6066,6218,6320,2692,6493,6663,6814,10,0,48,10,10,26,0,0,9249,3116,11137,9915,1319,350,1372,1366,5394,5287,2332,5164,331,1217,1254,1262,4964,2248,5032,4849,1372,5385,1262,5025,ALLEGHANY COUNTY
4634,9268,9332,9332,9349,5046,5046,5018,2610,4286,4286,4250,2024,4286,5048,29070,26322,Duplin,0,0,0,0,15,1984,1452,55126,7747,24340,25854,26389,8031,26633,28375,29146,1969,1452,2044,1769,419,1507,1281,301,44760,11405,58741,49644,7499,1499,8420,8287,18682,18119,6113,17365,1508,7103,7835,7907,16567,5938,16975,15956,8420,18666,7907,16963,DUPLIN COUNTY
1037,1822,1832,1832,1832,1597,1597,1594,954,235,235,228,83,235,1597,4769,4439,Gates,,,,,,50,39,11027,1750,4285,4419,4465,1850,4557,4720,4841,50,39,114,50,0,64,39,0,9230,2418,11562,10120,501,122,553,549,4174,4121,1728,4006,123,474,513,514,3867,1627,3887,3772,553,4166,514,3886,GATES COUNTY
9415,18250,18484,18484,18529,11439,11439,11307,6008,6997,6997,6895,3396,6997,11439,37110,35034,Haywood,48,48,48,11,93,1385,889,59266,13630,33091,34399,35123,14033,34989,36362,37207,1385,889,1472,1385,623,965,889,509,50968,15572,62317,54941,7991,1982,8484,8437,27251,26540,11428,25613,1844,7342,7783,7821,25727,11277,26337,24860,8484,27241,7821,26324,HAYWOOD COUNTY
6135,12097,12229,12229,12252,6757,6757,6674,3546,5472,5472,5423,2589,5472,6757,29051,27121,Stanly,0,0,0,0,23,663,473,59178,9523,25750,26826,27201,9898,27446,28612,29110,663,473,716,663,329,549,473,284,49282,12123,62806,54008,6809,1340,7276,7149,21118,20800,8229,19974,1311,6350,6668,6739,19685,7928,19913,18927,7276,21112,6739,19909,STANLY COUNTY
