At Least One Booster/Additional Dose - All Providers - 65Plus,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,county1,Population 12 Plus,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus
9391,19505,19737,19737,19747,13592,13592,13460,6877,6044,6044,5944,2459,6044,13592,60517,54327,Robeson,101,101,101,55,111,1362,889,122048,15742,50452,53448,54407,16455,55896,59285,60597,1362,889,1421,1362,518,953,889,392,98425,20565,130625,ROBESON COUNTY,109195,13861,2155,15484,15257,15483,43692,43672,42666,13782,40673,12725,14131,14130,13999,2023,38560,39308,39323,13327,36838
1969,3093,3109,3109,3109,2369,2369,2358,1556,740,740,735,413,740,2369,6571,6044,Perquimans,,,,,,0,0,12861,2877,5823,5988,6059,3067,6300,6483,6593,0,0,19,0,0,12,0,0,10957,3671,13463,PERQUIMANS COUNTY,11854,1094,232,1150,1140,1150,5424,5421,5343,2835,5206,991,1047,1047,1041,214,4947,4997,5000,2663,4832
17381,47603,48847,48847,48890,22727,22727,22249,9603,26087,26087,25321,7778,26089,22733,119596,111114,Johnston,33,33,33,0,68,3311,2198,196283,25060,100356,107985,111184,26053,107217,115631,119707,3284,2198,3378,3116,884,2230,2077,613,156585,28558,209339,JOHNSTON COUNTY,175612,33134,3885,38766,37188,38765,77563,77520,75159,21284,70967,30963,36104,36100,34768,3768,71019,72816,72850,20679,67316
12657,26747,27067,27067,27098,13056,13056,12912,6672,13991,13991,13815,5975,13991,13058,65798,62086,Randolph,20,20,20,10,49,786,556,135556,19825,58141,61024,62180,20152,61268,64444,65917,786,556,867,786,512,628,556,428,111702,26060,143667,RANDOLPH COUNTY,123257,20457,3842,22562,22037,22561,42488,42451,41621,15798,40025,19340,21192,21190,20785,3915,39683,40340,40360,15482,38245
707,1752,1801,1801,1801,1745,1745,1699,692,56,56,53,15,56,1745,3418,3294,Hyde,,,,,,,,4753,1040,3066,3202,3294,1058,3181,3322,3421,,,,,,,,,4098,1114,4937,HYDE COUNTY,4410,165,52,177,174,177,3244,3241,3148,1006,3016,148,161,161,157,44,3045,3133,3133,996,2918
1731,3122,3147,3147,3148,1781,1781,1758,1032,1366,1366,1364,699,1366,1782,6838,6341,Alleghany,,,,,,20,0,10626,2594,6098,6259,6374,2724,6547,6722,6882,20,0,55,20,20,26,0,0,9249,3116,11137,ALLEGHANY COUNTY,9915,1335,351,1387,1381,1387,5440,5431,5321,2353,5192,1225,1270,1270,1262,334,4997,5071,5078,2260,4873
4772,9740,9823,9823,9848,5399,5399,5352,2701,4424,4424,4388,2071,4424,5401,29299,26676,Duplin,0,0,0,0,23,2091,1551,55126,7791,24580,26128,26729,8076,26794,28562,29381,2062,1551,2157,1854,428,1592,1377,302,44760,11405,58741,DUPLIN COUNTY,49644,7537,1516,8457,8325,8457,18767,18751,18175,6132,17403,7182,8004,8004,7914,1529,16663,17121,17133,5960,16021
1094,1977,1993,1993,1995,1744,1744,1736,1009,249,249,241,85,249,1746,4818,4508,Gates,,,,,,63,49,11027,1762,4320,4466,4538,1857,4587,4757,4882,63,49,119,63,0,77,49,0,9230,2418,11562,GATES COUNTY,10120,505,123,557,553,557,4206,4198,4141,1734,4019,480,520,520,519,126,3898,3939,3941,1636,3791
9637,18888,19196,19196,19238,11924,11924,11728,6155,7209,7209,7097,3470,7209,11924,37312,35282,Haywood,63,63,63,12,105,1415,897,59266,13678,33244,34561,35372,14087,35144,36519,37398,1415,897,1491,1415,629,974,897,509,50968,15572,62317,HAYWOOD COUNTY,54941,8038,1994,8533,8483,8533,27374,27364,26621,11464,25691,7396,7879,7879,7838,1859,25826,26506,26519,11310,24951
6288,12559,12709,12709,12719,7088,7088,6990,3645,5600,5600,5548,2633,5600,7088,29200,27359,Stanly,21,21,21,10,31,665,473,59178,9568,25906,26988,27440,9932,27562,28724,29259,665,473,718,665,329,550,473,284,49282,12123,62806,STANLY COUNTY,54008,6848,1344,7318,7186,7318,21223,21217,20873,8259,20049,6413,6816,6816,6725,1320,19790,20070,20074,7964,19020
