At Least One Booster/Additional Dose - All Providers - 65Plus,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus,county1
11744,24548,25104,25015,25156,16595,16515,16240,8111,8299,8290,8098,3535,8299,16595,62146,56243,Robeson,210,210,210,98,262,1476,981,122048,16256,52008,55075,56326,17056,57283,60724,62299,1476,981,1554,1476,597,1044,981,407,98425,20565,130625,109195,14565,2321,16241,15966,16239,44504,44431,43282,14138,41242,13534,15052,15051,14835,2187,39259,40211,40230,13662,37493,ROBESON COUNTY
2311,3623,3667,3660,3667,2584,2578,2551,1659,1083,1082,1072,652,1083,2584,6654,6152,Perquimans,,,,,,0,0,12861,2933,5900,6070,6167,3130,6364,6552,6685,0,0,20,0,0,12,0,0,10957,3671,13463,11854,1137,250,1202,1189,1200,5463,5454,5363,2880,5227,1035,1095,1095,1087,229,4983,5057,5060,2704,4865,PERQUIMANS COUNTY
21664,58149,60534,60069,60603,26247,25967,25136,10729,33816,33631,32542,10801,33818,26257,122328,114522,Johnston,471,471,471,134,528,3658,2380,196283,25886,103105,110800,114625,26929,109643,118062,122806,3609,2362,3733,3423,1036,2405,2244,689,156585,28558,209339,175612,34628,4158,40456,38746,40403,78617,78267,75707,21735,71592,32823,38355,38347,36760,4045,71678,73795,73865,21152,68038,JOHNSTON COUNTY
15536,32354,32941,32859,32954,14658,14604,14371,7394,18165,18137,17865,8063,18165,14662,67237,63791,Randolph,118,118,118,79,127,883,572,135556,20448,59571,62498,63912,20874,62588,65747,67396,883,572,949,883,555,660,572,442,111702,26060,143667,123257,21285,4157,23428,22864,23421,43019,42933,42000,16162,40420,20387,22392,22389,21875,4184,40051,40830,40860,15822,38612,RANDOLPH COUNTY
778,1883,1951,1940,1951,1868,1859,1805,749,83,81,78,29,83,1868,3478,3368,Hyde,,,,,,0,,4753,1068,3133,3279,3369,1083,3241,3389,3496,0,,11,0,0,,,,4098,1114,4937,4410,165,50,179,176,179,3306,3299,3213,1033,3076,155,169,169,165,44,3114,3199,3200,1024,2978,HYDE COUNTY
2139,4011,4059,4044,4060,2209,2196,2166,1098,1850,1848,1845,1041,1850,2210,6936,6513,Alleghany,,,,,,34,0,10626,2713,6250,6421,6549,2799,6640,6816,6989,34,0,68,34,24,26,0,0,9249,3116,11137,9915,1369,375,1419,1413,1419,5502,5483,5369,2400,5237,1273,1317,1317,1310,360,5111,5196,5206,2353,4977,ALLEGHANY COUNTY
5946,12103,12366,12311,12407,6138,6100,6000,3009,5892,5875,5777,2845,5893,6141,29870,27402,Duplin,336,336,326,92,373,2181,1633,55126,8108,25211,26762,27457,8410,27339,29116,29978,2146,1616,2252,1929,469,1670,1444,331,44760,11405,58741,49644,7841,1605,8754,8615,8751,18972,18938,18355,6336,17569,7566,8412,8412,8284,1622,16862,17357,17375,6155,16201,DUPLIN COUNTY
1261,2302,2334,2330,2347,1991,1987,1972,1132,343,343,330,129,343,1992,4918,4604,Gates,0,0,0,0,12,88,42,11027,1831,4390,4546,4632,1926,4676,4850,4987,88,42,147,88,10,68,42,0,9230,2418,11562,10120,534,130,586,579,586,4254,4244,4183,1786,4054,503,544,544,540,131,3964,4018,4020,1700,3845,GATES COUNTY
11788,22217,22782,22663,22826,12917,12808,12500,6563,9768,9758,9620,5212,9768,12918,37859,35880,Haywood,97,97,97,13,140,1519,926,59266,14032,33746,35066,35990,14489,35626,37007,38038,1519,926,1598,1519,692,1018,926,509,50968,15572,62317,54941,8224,2111,8705,8642,8696,27735,27644,26846,11686,25883,7602,8073,8071,8015,1980,26125,26883,26899,11543,25218,HAYWOOD COUNTY
8133,15724,16021,15967,16030,8652,8604,8442,4470,7275,7269,7188,3591,7275,8652,29963,28253,Stanly,94,94,94,72,103,714,517,59178,9932,26673,27769,28336,10317,28229,29405,30061,714,517,772,714,355,592,517,288,49282,12123,62806,54008,7112,1421,7588,7452,7585,21701,21664,21239,8541,20403,6730,7165,7163,7053,1400,20199,20573,20579,8244,19426,STANLY COUNTY
