county1,At Least One Booster/Additional Dose - All Providers - 65Plus,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus
ROBESON COUNTY,11803,24665,25264,25152,25317,16698,16595,16303,8147,8353,8344,8149,3557,8353,16698,62220,56309,Robeson,213,213,213,99,266,1484,984,122048,16294,52066,55124,56397,17098,57349,60783,62395,1484,984,1562,1484,602,1047,984,408,98425,20565,130625,109195,14595,2332,16265,15989,16263,44568,44473,43310,14164,41270,13561,15073,15072,14854,2196,39286,40253,40277,13690,37521
PERQUIMANS COUNTY,2325,3646,3691,3683,3691,2598,2591,2564,1664,1093,1092,1082,661,1093,2598,6670,6158,Perquimans,,,,,,0,0,12861,2945,5907,6077,6173,3143,6376,6564,6702,0,0,20,0,0,12,0,0,10957,3671,13463,11854,1140,253,1204,1191,1202,5478,5468,5373,2890,5236,1037,1097,1097,1089,232,4988,5061,5064,2713,4870
JOHNSTON COUNTY,21814,58429,60925,60392,60987,26420,26093,25226,10789,34010,33804,32708,10884,34012,26430,122478,114678,Johnston,495,495,495,141,545,3679,2389,196283,25960,103247,110960,114806,27008,109786,118208,123005,3630,2370,3754,3444,1043,2414,2252,691,156585,28558,209339,175612,34686,4169,40510,38802,40453,78741,78346,75776,21796,71656,32880,38404,38395,36821,4056,71769,73894,73988,21213,68115
RANDOLPH COUNTY,15645,32531,33146,33047,33160,14772,14702,14459,7444,18252,18223,17950,8120,18252,14776,67302,63834,Randolph,122,122,122,81,132,888,574,135556,20503,59622,62539,63970,20935,62657,65811,67472,888,574,954,888,558,663,574,443,111702,26060,143667,123257,21325,4176,23457,22896,23450,43061,42964,42027,16201,40444,20413,22410,22407,21895,4202,40070,40853,40897,15858,38635
HYDE COUNTY,781,1886,1956,1945,1956,1873,1864,1808,752,83,81,78,29,83,1873,3477,3368,Hyde,,,,,,0,,4753,1068,3134,3279,3369,1083,3241,3388,3495,0,,11,0,0,,,,4098,1114,4937,4410,164,49,178,175,178,3306,3299,3213,1034,3077,154,168,168,164,43,3115,3200,3201,1025,2980
ALLEGHANY COUNTY,2148,4018,4071,4053,4072,2217,2201,2169,1103,1854,1852,1849,1045,1854,2218,6948,6518,Alleghany,,,,,,34,0,10626,2719,6256,6426,6566,2805,6645,6823,7001,34,0,68,34,24,38,0,0,9249,3116,11137,9915,1370,375,1420,1414,1420,5513,5494,5375,2406,5241,1274,1318,1318,1311,360,5115,5200,5210,2359,4982
DUPLIN COUNTY,5981,12169,12450,12381,12493,6190,6138,6032,3025,5920,5903,5807,2864,5921,6193,29914,27440,Duplin,340,340,330,92,379,2184,1633,55126,8130,25242,26793,27499,8436,27374,29147,30026,2149,1616,2256,1931,470,1671,1444,331,44760,11405,58741,49644,7855,1614,8760,8621,8757,19010,18973,18377,6352,17588,7578,8418,8418,8288,1630,16889,17389,17410,6169,16220
GATES COUNTY,1266,2312,2353,2342,2366,2007,1996,1979,1137,346,346,333,129,346,2008,4923,4611,Gates,0,0,0,0,12,88,42,11027,1834,4393,4549,4639,1928,4677,4852,4991,88,42,147,88,10,68,42,0,9230,2418,11562,10120,534,130,587,579,587,4257,4248,4185,1788,4055,505,546,546,542,132,3965,4023,4025,1702,3846
HAYWOOD COUNTY,11839,22318,22913,22778,22959,12989,12864,12542,6581,9823,9813,9675,5244,9823,12990,37910,35907,Haywood,101,101,101,14,146,1529,931,59266,14055,33778,35094,36022,14514,35665,37045,38099,1529,931,1608,1529,698,1025,931,511,50968,15572,62317,54941,8230,2115,8710,8646,8700,27781,27681,26870,11701,25906,7610,8077,8075,8020,1985,26143,26901,26920,11559,25237
STANLY COUNTY,8165,15769,16077,16019,16087,8672,8621,8453,4479,7309,7302,7220,3612,7309,8672,29974,28269,Stanly,96,96,96,74,106,715,517,59178,9940,26693,27784,28352,10324,28247,29417,30085,715,517,773,715,356,592,517,288,49282,12123,62806,54008,7123,1424,7598,7461,7595,21714,21664,21241,8544,20409,6747,7181,7179,7069,1403,20198,20573,20579,8249,19429
MISSING COUNTY,62436,181491,187689,186364,187709,70670,70235,68081,31683,117019,116129,113410,30753,117022,70687,287584,255354,Missing,,,,,,37980,47406,,56289,232970,246065,256879,77914,264159,277665,289847,37964,47406,39861,37822,9849,48625,47318,9782,,,,,83915,7475,95720,90733,95542,154266,154062,148968,60590,142422,84834,97273,97243,92271,8236,106388,110705,110981,38271,100818
WILSON COUNTY,10991,23494,24031,23951,24069,15534,15483,15285,7779,8417,8388,8129,3182,8417,15538,46416,43919,Wilson,80,80,80,30,114,607,371,76972,13373,40652,42898,43990,13709,42808,45253,46562,607,371,652,607,316,416,371,237,63224,15337,81801,69710,12524,2000,14351,13833,14341,31559,31468,30813,11393,29677,11820,13509,13505,13040,1985,29487,30043,30065,11151,28461
TYRRELL COUNTY,496,983,1000,995,1000,905,900,889,458,95,95,94,38,95,905,2075,1987,Tyrrell,,,,,,,,3827,688,1861,1948,1988,702,1942,2032,2078,,,,,,,,,3288,810,4016,3533,174,40,183,181,183,1895,1892,1851,662,1768,149,154,154,154,39,1794,1833,1834,649,1712
WAYNE COUNTY,13826,30370,30943,30851,31007,14121,14064,13846,6285,15437,15402,15139,7279,15437,14126,66347,61455,Wayne,1385,1385,1385,262,1444,6707,5376,115046,16619,57301,60148,61520,17335,61664,64806,66545,6652,5339,6744,6539,1003,5403,5245,743,94031,20802,123131,103693,18369,3415,21082,20320,21074,38719,38566,37834,12917,36756,17356,19803,19795,19139,3286,35670,36284,36314,12590,34700
MONTGOMERY COUNTY,3148,5986,6087,6064,6107,3079,3059,3005,1567,2986,2983,2959,1569,2986,3079,12675,11896,Montgomery,22,22,22,12,42,213,141,25757,4452,11390,11771,11959,4615,12097,12521,12796,213,141,296,213,121,199,141,96,21266,5743,27173,23512,2932,585,3136,3091,3136,9364,9326,9217,3909,8952,2751,2939,2939,2896,542,8734,8816,8821,3814,8498
LENOIR COUNTY,8738,16879,17133,17101,17147,9387,9373,9289,4828,7639,7621,7483,3847,7640,9387,33320,31239,Lenoir,107,107,107,63,120,472,291,52801,10753,29394,30738,31279,11025,31224,32698,33370,472,291,490,472,266,325,291,206,43423,11303,55949,47933,9583,1867,10875,10543,10871,22005,21977,21683,8892,21169,9027,10225,10222,9934,1809,20513,20726,20729,8738,20076
SCOTLAND COUNTY,4353,8947,9088,9064,9108,5097,5077,5031,2349,3952,3948,3877,1980,3952,5097,18714,17251,Scotland,39,39,39,24,59,249,169,32530,5880,16335,17026,17304,6220,17615,18412,18792,249,169,298,249,142,219,169,104,26793,6531,34823,29381,4736,1006,5393,5241,5391,13101,13074,12922,5072,12630,4318,4887,4885,4767,906,12090,12197,12198,4870,11848
ALAMANCE COUNTY,23100,55685,57815,57314,57867,26554,26170,25252,11062,31089,30972,30261,11953,31091,26557,106779,101767,Alamance,172,172,172,85,219,2038,1282,159560,27370,92833,98439,101901,28253,97086,103057,107351,2038,1282,2086,2015,908,1341,1269,695,132145,29035,169509,145046,25614,4743,28696,27576,28668,76569,76073,73443,22602,69457,24310,27213,27210,26209,4451,70948,73275,73347,22224,67254
CAMDEN COUNTY,1041,2422,2479,2464,2512,1470,1455,1420,726,795,795,788,315,795,1470,6775,5789,Camden,214,214,214,0,247,2021,1377,10327,1490,5413,5669,5801,1771,6345,6630,6827,2008,1377,2059,1937,209,1387,1323,40,8407,1833,10867,9354,835,138,901,873,898,3867,3856,3749,1424,3573,819,880,879,853,130,3439,3533,3534,1320,3271
GREENE COUNTY,2593,6688,6853,6825,6895,4279,4253,4212,1640,1763,1761,1707,677,1763,4279,15492,14011,Greene,811,811,769,276,853,3390,2517,20022,3614,12952,13675,14048,3991,14287,15095,15559,3228,2388,3440,2930,913,2552,2154,591,16884,3592,21069,18372,2623,431,3021,2953,3020,9098,9082,8914,2647,8734,2458,2843,2842,2785,413,8502,8652,8653,2610,8340
ROWAN COUNTY,15019,31265,31856,31773,31879,12819,12780,12529,6516,18499,18455,18198,8194,18499,12825,67266,62544,Rowan,538,538,538,309,555,4220,3209,133830,19280,58635,61361,62658,20066,62972,65886,67446,4220,3209,4300,4220,1737,3295,3209,1509,110729,25371,142088,122048,21190,3757,22934,22387,22923,40212,40123,39279,14572,37562,19798,21384,21381,20907,3647,37245,37954,37979,14124,35628
