At Least One Booster/Additional Dose - All Providers - 65Plus,Additional Doses - NC,Additional Doses - Pharmacy,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,Additional Doses - 5Plus,Additional Doses - 12Plus,Additional Doses - 18Plus,Additional Doses - 65Plus,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,county1,Additional Booster Doses,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - NC
11837,16727,8370,16727,16611,16317,8162,8370,8360,8168,3577,8370,16727,24700,25186,25312,25365,62284,16339,52131,55169,56452,17151,57441,60852,62475,Robeson,215,215,215,98,268,25097,24971,24485,11739,1496,985,122048,1496,985,1574,1496,606,1048,985,408,98425,20565,130625,109195,ROBESON COUNTY,25097,14631,2345,16290,16014,16288,44611,44500,43342,14200,41314,13595,15099,2211,15098,14881,40275,39303,13720,37551,40305
2330,2597,1097,2597,2590,2563,1667,1097,1096,1086,663,1097,2597,3649,3686,3694,3694,6669,2949,5910,6078,6181,3147,6376,6563,6702,Perquimans,,,,,,3694,3686,3649,2330,0,0,12861,0,0,20,0,0,12,0,0,10957,3671,13463,11854,PERQUIMANS COUNTY,3694,1141,255,1206,1193,1204,5476,5465,5370,2892,5235,1038,1098,234,1098,1090,5068,4988,2715,4872,5071
21941,26527,34067,26517,26171,25310,10847,34065,33850,32774,10958,34067,26527,58568,60505,61066,61137,122658,26081,103504,111164,115037,27127,110016,118377,123247,Johnston,484,484,484,136,543,60582,60021,58084,21805,3699,2416,196283,3649,2396,3775,3462,1049,2432,2275,702,156585,28558,209339,175612,JOHNSTON COUNTY,60594,34773,4201,40562,38849,40501,78910,78458,75879,21877,71781,32995,38492,4086,38483,36899,74009,71869,21293,68234,74113
15701,14786,18270,14782,14705,14463,7459,18270,18239,17973,8160,18270,14786,32559,33067,33175,33189,67359,20573,59700,62585,64018,21011,62752,65873,67536,Randolph,123,123,123,82,133,33052,32944,32436,15619,892,575,135556,892,575,958,892,560,664,575,444,111702,26060,143667,123257,RANDOLPH COUNTY,33056,21366,4209,23484,22927,23478,43094,42989,42054,16242,40494,20447,22433,4232,22430,21921,40875,40089,15897,38678,40921
785,1875,85,1875,1866,1810,755,85,83,80,30,85,1875,1890,1949,1960,1960,3480,1071,3146,3288,3377,1088,3247,3391,3500,Hyde,,,,,,1960,1949,1890,785,0,,4753,0,,12,0,0,,,,4098,1114,4937,4410,HYDE COUNTY,1960,164,51,178,175,178,3310,3302,3216,1037,3083,154,168,44,168,164,3209,3124,1027,2992,3209
2159,2224,1863,2223,2207,2176,1108,1863,1861,1858,1051,1863,2224,4034,4068,4086,4087,6955,2731,6263,6435,6578,2820,6653,6833,7008,Alleghany,,,,,,4086,4068,4034,2159,35,0,10626,35,0,69,35,25,38,0,0,9249,3116,11137,9915,ALLEGHANY COUNTY,4087,1371,379,1419,1413,1419,5520,5501,5385,2416,5247,1274,1317,364,1317,1310,5212,5125,2367,4989,5223
5995,6243,5920,6240,6185,6078,3029,5919,5902,5807,2875,5920,6243,12214,12427,12499,12542,29957,8151,25271,26820,27529,8458,27416,29187,30070,Duplin,340,340,329,91,379,12159,12087,11885,5904,2193,1636,55126,2157,1619,2265,1936,472,1674,1445,331,44760,11405,58741,49644,DUPLIN COUNTY,12163,7876,1628,8774,8638,8771,19031,18993,18392,6358,17604,7595,8429,1645,8428,8302,17405,16899,6175,16231,17426
1274,2007,347,2006,1995,1978,1145,347,347,334,129,347,2007,2312,2342,2353,2366,4925,1847,4397,4551,4645,1939,4682,4855,4993,Gates,0,0,0,0,12,2353,2342,2312,1274,89,43,11027,89,43,148,89,10,69,43,0,9230,2418,11562,10120,GATES COUNTY,2354,537,130,588,581,588,4257,4248,4185,1799,4056,506,545,133,545,541,4029,3967,1714,3848,4031
11903,13033,9847,13032,12890,12567,6616,9847,9837,9700,5273,9847,13033,22368,22828,22980,23028,37975,14110,33828,35143,36085,14579,35727,37106,38181,Haywood,101,101,101,14,148,22879,22727,22267,11889,1532,931,59266,1532,931,1611,1532,700,1025,931,511,50968,15572,62317,54941,HAYWOOD COUNTY,22880,8242,2124,8720,8657,8711,27850,27732,26917,11755,25953,7618,8082,1994,8080,8025,26957,26187,11605,25279,26978
8180,8682,7312,8682,8623,8453,4484,7312,7305,7224,3622,7312,8682,15774,16025,16091,16101,29985,9972,26740,27814,28358,10350,28271,29433,30106,Stanly,97,97,97,74,107,15994,15928,15677,8106,716,537,59178,716,537,774,716,357,594,537,298,49282,12123,62806,54008,STANLY COUNTY,15994,7139,1432,7611,7474,7608,21721,21661,21243,8561,20416,6755,7181,1409,7179,7070,20577,20207,8265,19448,20583
81855,71150,116590,71132,70671,68544,31936,116587,115668,112974,30732,116590,71150,216481,221302,222682,223583,288004,56766,233680,246783,257530,78283,264694,278197,290324,Missing,34963,34963,34963,19187,35843,187719,186339,181518,62668,37991,47414,,37974,47414,39902,37831,9849,48632,47325,9783,,,,,MISSING COUNTY,187740,84013,7546,95777,90844,95594,154645,154419,149379,60888,142850,84955,97390,8292,97359,92415,111231,106954,38691,101400,111508
11047,15609,8424,15605,15551,15357,7824,8424,8393,8143,3189,8424,15609,23586,24030,24115,24152,46498,13429,40727,42966,44065,13768,42900,45341,46648,Wilson,86,86,86,34,119,24029,23944,23500,11013,609,371,76972,609,371,654,609,316,417,371,237,63224,15337,81801,69710,WILSON COUNTY,24033,12568,2013,14387,13872,14377,31607,31512,30860,11439,29723,11861,13542,2000,13538,13074,30081,29521,11192,28495,30106
502,910,95,910,905,894,463,95,95,94,39,95,910,988,1000,1005,1005,2077,692,1865,1953,1992,705,1943,2034,2080,Tyrrell,,,,,,1005,1000,988,502,,,3827,,,,,,,,,3288,810,4016,3533,TYRRELL COUNTY,1005,174,40,183,181,183,1897,1894,1853,665,1769,149,154,39,154,154,1837,1799,653,1716,1838
13919,14205,15451,14200,14140,13926,6346,15451,15414,15156,7309,15451,14205,30477,30949,31046,31114,66428,16688,57383,60218,61599,17413,61749,64881,66643,Wayne,1395,1395,1395,264,1458,29651,29554,29082,13655,6720,5383,115046,6665,5346,6758,6552,1010,5410,5252,744,94031,20802,123131,103693,WAYNE COUNTY,29656,18401,3444,21101,20345,21094,38784,38614,37871,12959,36796,17394,19832,3313,19825,19172,36323,35700,12631,34737,36357
3169,3100,2989,3100,3076,3020,1579,2989,2986,2962,1578,2989,3100,6004,6084,6111,6132,12688,4463,11396,11781,11976,4625,12101,12528,12816,Montgomery,22,22,22,12,43,6089,6062,5982,3157,214,142,25757,214,142,297,214,122,200,142,97,21266,5743,27173,23512,MONTGOMERY COUNTY,6089,2936,590,3138,3095,3138,9381,9336,9219,3913,8951,2757,2944,547,2944,2902,8824,8737,3819,8497,8832
8804,9429,7655,9429,9414,9332,4875,7654,7636,7500,3866,7655,9429,16939,17157,17190,17204,33371,10802,29434,30763,31313,11084,31287,32747,33428,Lenoir,107,107,107,63,120,17083,17050,16832,8741,475,291,52801,475,291,493,475,268,325,291,206,43423,11303,55949,47933,LENOIR COUNTY,17084,9623,1885,10908,10574,10904,22027,21992,21698,8931,21189,9056,10245,1826,10242,9953,20737,20519,8770,20087,20743
4380,5123,3958,5123,5103,5055,2364,3958,3954,3885,1991,3958,5123,8988,9105,9129,9141,18729,5913,16362,17047,17333,6254,17635,18431,18809,Scotland,48,48,48,25,60,9081,9057,8940,4355,252,169,32530,252,169,302,252,144,219,169,104,26793,6531,34823,29381,SCOTLAND COUNTY,9081,4745,1011,5393,5244,5391,13114,13086,12935,5099,12638,4332,4891,912,4889,4772,12220,12106,4897,11861,12223
23228,26704,31107,26701,26279,25355,11132,31105,30984,30279,12008,31107,26704,55810,57439,57982,58033,106930,27494,92969,98570,102087,28392,97244,103209,107551,Alamance,176,176,176,88,222,57806,57263,55634,23140,2044,1288,159560,2044,1288,2092,2021,912,1347,1275,697,132145,29035,169509,145046,ALAMANCE COUNTY,57811,25669,4770,28737,27628,28710,76722,76176,73537,22710,69554,24359,27248,4476,27243,26249,73384,71033,22321,67335,73492
1056,1473,797,1473,1458,1423,734,797,797,790,322,797,1473,2438,2480,2495,2520,6787,1503,5426,5681,5813,1787,6358,6642,6839,Camden,225,225,225,0,250,2270,2255,2213,1056,2031,1388,10327,2017,1388,2069,1945,210,1398,1333,41,8407,1833,10867,9354,CAMDEN COUNTY,2270,837,138,903,875,900,3867,3856,3750,1439,3576,819,880,130,879,853,3534,3440,1332,3274,3535
2609,4295,1763,4295,4265,4224,1647,1763,1761,1708,681,1763,4295,6703,6842,6886,6937,15523,3630,12976,13697,14076,4014,14318,15126,15595,Greene,828,816,771,281,879,6058,6026,5932,2328,3408,2536,20022,3246,2402,3458,2945,923,2571,2165,595,16884,3592,21069,18372,GREENE COUNTY,6058,2631,433,3024,2957,3023,9113,9092,8923,2658,8742,2468,2846,415,2845,2789,8657,8506,2620,8343,8659
15068,12813,18515,12807,12765,12517,6515,18515,18471,18215,8242,18515,12813,31273,31777,31863,31886,67349,19352,58711,61422,62733,20165,63068,65974,67534,Rowan,541,541,541,311,558,31322,31236,30732,14757,4227,3212,133830,4227,3212,4307,4227,1740,3299,3212,1509,110729,25371,142088,122048,ROWAN COUNTY,31328,21236,3789,22973,22431,22963,40254,40159,39316,14636,37605,19840,21424,3680,21421,20948,37977,37262,14163,35659,38010
