county1,New Booster Doses - All Programs12Plus,New Booster Doses - All Programs5Plus,New Booster Doses - All Programs65Plus,New Booster Doses - All Programs18Plus,New Booster Doses- All Programs,Bivalent NC Dose - 5 Plus,Bivalent NC Dose - 12 Plus,Bivalent NC Dose - 18 Plus,Bivalent NC Dose - 65 Plus,Bivalent NC Dose,Bivalent LTC Dose,Bivalent LTC Dose  - 5 Plus,Bivalent LTC Dose  - 12 Plus,Bivalent LTC Dose  - 18 Plus,Bivalent LTC Dose  - 65 Plus,At Least One Booster/Additional Dose - All Providers - 65Plus,Additional Doses - NC,Additional Doses - Pharmacy,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,Additional Doses - 5Plus,Additional Doses - 12Plus,Additional Doses - 18Plus,Additional Doses - 65Plus,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,county-1,Additional Booster Doses,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus
ROBESON COUNTY,1335,1336,827,1314,1336,799,798,785,518,799,537,537,537,529,309,11868,16713,8374,16713,16590,16302,8177,8374,8363,8174,3593,8374,16713,24691,25168,25302,25355,62309,16395,52193,55217,56489,17210,57492,60889,62512,Robeson,215,215,215,98,268,25087,24953,24476,11770,1496,985,122048,1496,985,1574,1496,606,1048,985,408,98425,20565,130625,109195,ROBESON COUNTY,25087,14671,2364,16316,16041,16313,44622,44500,43352,14240,41325,13638,15126,15125,14913,2230,39319,40284,40315,13757,37570
PERQUIMANS COUNTY,327,327,250,323,327,141,141,137,99,141,186,186,186,186,151,2342,2606,1095,2606,2598,2573,1675,1095,1094,1084,667,1095,2606,3657,3692,3701,3701,6688,2964,5932,6099,6201,3164,6396,6584,6721,Perquimans,,,,,,3701,3692,3657,2342,0,0,12861,0,0,20,0,0,12,0,0,10957,3671,13463,11854,PERQUIMANS COUNTY,3701,1144,257,1209,1197,1207,5492,5481,5387,2907,5252,1039,1099,1099,1091,234,5008,5087,5090,2730,4893
JOHNSTON COUNTY,6166,6166,3013,5958,6166,2661,2661,2568,1545,2661,3505,3505,3505,3390,1468,22021,26563,34068,26553,26178,25320,10885,34066,33850,32794,11000,34068,26563,58598,60512,61103,61194,122800,26172,103729,111343,115213,27243,110212,118530,123454,Johnston,484,484,484,136,563,60619,60028,58114,21885,3715,2418,196283,3663,2396,3820,3476,1062,2434,2275,702,156585,28558,209339,175612,JOHNSTON COUNTY,60631,34865,4242,40616,38919,40557,79018,78528,75948,21939,71871,33108,38569,38560,36990,4121,71957,74102,74210,21349,68346
RANDOLPH COUNTY,2677,2678,1592,2625,2678,1277,1276,1244,859,1277,1401,1401,1401,1381,733,15755,14821,18267,14817,14731,14485,7488,18267,18234,17973,8185,18267,14821,32581,33088,33207,33221,67458,20671,59795,62675,64097,21119,62862,65972,67644,Randolph,123,123,123,82,133,33084,32965,32458,15673,892,575,135556,892,575,958,892,560,664,575,444,111702,26060,143667,123257,RANDOLPH COUNTY,33088,21396,4237,23494,22946,23489,43192,43077,42134,16322,40574,20482,22456,22453,21954,4264,40146,40931,40977,15963,38738
HYDE COUNTY,192,192,100,185,192,187,187,180,97,187,5,5,5,5,3,787,1872,86,1872,1863,1808,756,86,84,81,31,86,1872,1889,1947,1958,1958,3483,1071,3144,3286,3374,1088,3251,3395,3504,Hyde,,,,,,1958,1947,1889,787,0,,4753,0,,12,0,0,,,,4098,1114,4937,4410,HYDE COUNTY,1958,165,52,179,176,179,3313,3304,3219,1036,3086,155,169,169,165,45,3121,3205,3205,1026,2989
ALLEGHANY COUNTY,515,515,378,514,515,205,205,204,162,205,310,310,310,310,216,2159,2219,1861,2218,2203,2172,1111,1861,1859,1856,1048,1861,2219,4028,4062,4079,4080,6954,2735,6264,6436,6578,2824,6653,6833,7010,Alleghany,,,,,,4079,4062,4028,2159,35,0,10626,35,0,69,35,25,38,0,0,9249,3116,11137,9915,ALLEGHANY COUNTY,4080,1372,380,1418,1412,1418,5523,5501,5386,2419,5246,1276,1318,1318,1311,365,5125,5211,5222,2370,4988
DUPLIN COUNTY,709,709,441,698,709,375,375,365,226,375,334,334,334,333,215,6014,6248,5917,6245,6191,6083,3036,5916,5899,5806,2887,5917,6248,12219,12431,12502,12545,29988,8178,25307,26853,27553,8485,27453,29225,30102,Duplin,341,341,330,91,380,12161,12090,11889,5923,2196,1639,55126,2160,1622,2268,1938,472,1677,1447,332,44760,11405,58741,49644,DUPLIN COUNTY,12165,7891,1639,8774,8639,8771,19060,19021,18426,6374,17624,7609,8429,8428,8302,1655,16929,17424,17447,6191,16251
GATES COUNTY,147,147,90,146,147,118,118,117,77,118,29,29,29,29,13,1281,2006,347,2005,1994,1977,1152,347,347,334,129,347,2006,2311,2341,2352,2365,4922,1855,4397,4550,4644,1947,4678,4851,4991,Gates,0,0,0,0,12,2352,2341,2311,1281,90,43,11027,90,43,149,90,11,69,43,0,9230,2418,11562,10120,GATES COUNTY,2353,535,130,586,579,586,4256,4246,4182,1806,4053,506,545,545,541,133,3966,4028,4030,1722,3848
HAYWOOD COUNTY,4126,4126,2685,4064,4126,2589,2589,2542,1725,2589,1537,1537,1537,1522,960,11930,13025,9857,13024,12870,12549,6630,9857,9846,9710,5286,9857,13025,22360,22817,22982,23030,38018,14158,33865,35182,36142,14629,35762,37142,38253,Haywood,101,101,101,14,148,22881,22716,22259,11916,1532,931,59266,1532,931,1627,1532,700,1036,931,511,50968,15572,62317,54941,HAYWOOD COUNTY,22882,8244,2131,8720,8657,8711,27906,27775,26953,11798,25986,7621,8085,8083,8028,2001,26223,27001,27021,11646,25313
STANLY COUNTY,1147,1147,720,1140,1147,410,410,408,265,410,737,737,737,732,455,8168,8627,7317,8627,8568,8395,4454,7317,7310,7231,3640,7317,8627,15723,15975,16041,16051,29912,9947,26680,27758,28293,10318,28199,29368,30033,Stanly,97,97,97,74,107,15944,15878,15626,8094,716,537,59178,716,537,774,716,357,594,537,298,49282,12123,62806,54008,STANLY COUNTY,15944,7151,1444,7624,7492,7622,21635,21574,21160,8517,20332,6768,7194,7192,7087,1419,20134,20498,20505,8230,19375
