county1,New Booster Doses - All Programs12Plus,New Booster Doses - All Programs5Plus,New Booster Doses - All Programs65Plus,New Booster Doses - All Programs18Plus,New Booster Doses- All Programs,Bivalent NC Dose - 5 Plus,Bivalent NC Dose - 12 Plus,Bivalent NC Dose - 18 Plus,Bivalent NC Dose - 65 Plus,Bivalent NC Dose,Bivalent LTC Dose,Bivalent LTC Dose  - 5 Plus,Bivalent LTC Dose  - 12 Plus,Bivalent LTC Dose  - 18 Plus,Bivalent LTC Dose  - 65 Plus,At Least One Booster/Additional Dose - All Providers - 65Plus,Additional Doses - NC,Additional Doses - Pharmacy,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,Additional Doses - 5Plus,Additional Doses - 12Plus,Additional Doses - 18Plus,Additional Doses - 65Plus,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,county-1,Additional Booster Doses,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus
ROBESON COUNTY,2085,2086,1287,2057,2087,1152,1151,1134,742,1153,934,934,934,923,545,11899,16704,8381,16704,16581,16295,8193,8381,8370,8183,3608,8381,16704,24695,25168,25302,25372,62341,16441,52254,55274,56553,17261,57542,60930,62531,Robeson,217,217,217,98,287,25085,24951,24478,11801,1496,1003,122048,1496,1003,1556,1496,605,1078,1003,407,98425,20565,130625,109195,ROBESON COUNTY,25085,14703,2379,16341,16070,16338,44634,44507,43364,14277,41343,13663,15146,15145,14937,2242,39334,40295,40329,13792,37588
PERQUIMANS COUNTY,545,545,406,537,545,249,249,243,176,249,296,296,296,294,230,2352,2607,1097,2607,2599,2574,1682,1097,1096,1086,670,1097,2607,3660,3695,3704,3704,6686,2975,5933,6103,6204,3174,6393,6583,6720,Perquimans,,,,,,3704,3695,3660,2352,0,0,12861,0,0,20,0,0,12,0,0,10957,3671,13463,11854,PERQUIMANS COUNTY,3704,1144,257,1209,1197,1207,5491,5479,5386,2917,5249,1040,1101,1101,1093,234,5010,5088,5091,2741,4893
JOHNSTON COUNTY,9798,9814,4779,9520,9814,4110,4107,3983,2362,4110,5704,5704,5691,5537,2417,22080,26591,34064,26581,26206,25354,10909,34062,33846,32807,11023,34064,26591,58669,60560,61151,61259,122877,26212,103849,111436,115322,27317,110310,118606,123502,Johnston,508,508,508,148,604,60643,60052,58161,21932,3754,2475,196283,3701,2453,3807,3512,1102,2502,2323,706,156585,28558,209339,175612,JOHNSTON COUNTY,60655,34923,4256,40645,38964,40588,79050,78535,75941,21959,71875,33164,38596,38587,37021,4131,71962,74113,74224,21375,68362
RANDOLPH COUNTY,4496,4502,2676,4421,4503,1838,1838,1800,1228,1839,2664,2664,2658,2621,1448,15766,14816,18265,14811,14725,14480,7488,18265,18234,17975,8196,18265,14816,32578,33082,33199,33225,67492,20689,59829,62694,64121,21158,62916,66009,67698,Randolph,123,123,123,82,144,33076,32959,32455,15684,892,575,135556,892,575,969,892,560,668,575,444,111702,26060,143667,123257,RANDOLPH COUNTY,33081,21447,4256,23531,22987,23526,43198,43074,42130,16342,40577,20528,22486,22483,21988,4280,40131,40921,40967,15965,38726
HYDE COUNTY,315,315,166,305,316,305,305,296,162,306,10,10,10,9,4,785,1868,86,1868,1859,1806,754,86,84,81,31,86,1868,1887,1943,1954,1954,3477,1069,3142,3283,3369,1087,3248,3391,3498,Hyde,,,,,,1954,1943,1887,785,0,,4753,0,,12,0,0,,,,4098,1114,4937,4410,HYDE COUNTY,1954,165,53,179,177,179,3307,3298,3214,1034,3083,155,169,169,166,46,3117,3200,3200,1023,2987
ALLEGHANY COUNTY,783,784,573,780,784,336,335,332,260,336,448,448,448,448,313,2163,2210,1865,2209,2194,2163,1107,1865,1863,1860,1056,1865,2210,4023,4057,4074,4075,6948,2736,6266,6435,6577,2824,6650,6827,7005,Alleghany,,,,,,4074,4057,4023,2163,35,0,10626,35,0,69,35,25,38,0,0,9249,3116,11137,9915,ALLEGHANY COUNTY,4075,1372,381,1418,1412,1418,5518,5495,5380,2418,5243,1276,1318,1318,1311,366,5124,5210,5221,2370,4990
DUPLIN COUNTY,1412,1412,892,1392,1412,661,661,651,422,661,751,751,751,741,470,6035,6249,5924,6246,6193,6085,3043,5924,5907,5814,2899,5924,6249,12236,12448,12518,12562,29999,8199,25341,26885,27586,8505,27474,29240,30091,Duplin,348,348,337,93,389,12170,12100,11899,5942,2193,1649,55126,2157,1631,2242,1936,472,1690,1451,331,44760,11405,58741,49644,DUPLIN COUNTY,12173,7908,1647,8787,8653,8784,19062,19022,18430,6386,17630,7628,8441,8440,8315,1665,16939,17432,17455,6203,16262
GATES COUNTY,264,264,164,259,264,203,203,199,128,203,61,61,61,60,36,1281,2005,347,2004,1992,1975,1152,347,347,334,129,347,2005,2309,2339,2351,2363,4920,1858,4395,4546,4641,1949,4678,4849,4989,Gates,0,0,0,0,11,2351,2339,2309,1281,90,43,11027,90,43,149,90,11,70,43,0,9230,2418,11562,10120,GATES COUNTY,2352,537,130,587,580,587,4253,4243,4179,1808,4051,508,546,546,542,134,3961,4023,4025,1724,3844
HAYWOOD COUNTY,5830,5840,3814,5745,5840,3580,3571,3504,2381,3580,2260,2260,2259,2241,1433,11951,13022,9860,13021,12866,12547,6633,9860,9849,9714,5304,9860,13022,22363,22817,22983,23049,38082,14207,33917,35232,36196,14700,35831,37208,38321,Haywood,102,102,102,14,167,22881,22715,22261,11937,1571,944,59266,1571,944,1666,1571,729,1053,944,524,50968,15572,62317,54941,HAYWOOD COUNTY,22882,8249,2142,8721,8658,8712,27934,27799,26979,11829,26011,7628,8089,8087,8032,2009,26256,27034,27054,11674,25345
STANLY COUNTY,1951,1956,1210,1935,1956,687,686,679,442,687,1269,1269,1265,1256,768,8134,8566,7314,8566,8507,8335,4413,7314,7307,7229,3647,7314,8566,15661,15911,15977,15987,29823,9918,26634,27705,28244,10287,28114,29277,29953,Stanly,97,97,97,74,107,15880,15814,15564,8060,706,556,59178,706,556,771,706,357,613,556,298,49282,12123,62806,54008,STANLY COUNTY,15880,7158,1451,7630,7499,7628,21552,21489,21072,8479,20250,6777,7206,7204,7098,1426,20051,20418,20425,8194,19301
