Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,county1,New Booster Doses - All Programs12Plus,New Booster Doses - All Programs5Plus,New Booster Doses - All Programs65Plus,New Booster Doses - All Programs18Plus,New Booster Doses- All Programs,Bivalent NC Dose - 5 Plus,Bivalent NC Dose - 12 Plus,Bivalent NC Dose - 18 Plus,Bivalent NC Dose - 65 Plus,Bivalent NC Dose,Bivalent LTC Dose,Bivalent LTC Dose  - 5 Plus,Bivalent LTC Dose  - 12 Plus,Bivalent LTC Dose  - 18 Plus,Bivalent LTC Dose  - 65 Plus,At Least One Booster/Additional Dose - All Providers - 65Plus,Additional Doses - NC,Additional Doses - Pharmacy,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs,At Least One Dose - All Programs 5Plus,Fully Vaccinated - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,Additional Doses - 5Plus,Additional Doses - 12Plus,Additional Doses - 18Plus,Additional Doses - 65Plus,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,county-1,Additional Booster Doses,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus
56464,ROBESON COUNTY,2467,2468,1521,2431,2469,1387,1386,1363,897,1388,1081,1081,1081,1068,624,11911,16716,8383,16716,16592,16306,8200,8383,8372,8186,3613,8383,16716,24709,25181,25316,25373,62357,16453,52278,55300,56564,17275,57564,60951,62535,Robeson,217,217,217,98,274,25099,24964,24492,11813,1496,1003,122048,1496,1003,1542,1496,605,1068,1003,407,98425,20565,130625,109195,ROBESON COUNTY,25099,14713,2383,16347,16079,16345,44646,44516,43376,14287,41355,13674,15153,15152,14946,2247,39351,40309,40343,13799,37601
6191,PERQUIMANS COUNTY,671,671,497,663,671,329,329,322,240,329,342,342,342,341,257,2356,2610,1096,2610,2603,2577,1687,1096,1095,1086,669,1096,2610,3663,3698,3706,3706,6687,2978,5935,6106,6206,3178,6396,6585,6723,Perquimans,,,,,,3706,3698,3663,2356,0,0,12861,0,0,20,0,0,12,0,0,10957,3671,13463,11854,PERQUIMANS COUNTY,3706,1145,257,1209,1197,1207,5494,5480,5388,2921,5251,1041,1101,1101,1093,234,5013,5090,5093,2744,4894
115218,JOHNSTON COUNTY,11448,11494,5560,11121,11497,4927,4907,4762,2816,4930,6567,6567,6541,6359,2744,22096,26601,34087,26591,26219,25371,10917,34085,33869,32837,11043,34087,26601,58704,60584,61172,61248,122897,26246,103914,111485,115356,27298,110342,118626,123498,Johnston,496,496,496,136,560,60676,60088,58208,21960,3690,2477,196283,3637,2455,3709,3448,1050,2493,2325,707,156585,28558,209339,175612,JOHNSTON COUNTY,60688,34960,4264,40675,38999,40618,79114,78589,75990,21984,71934,33198,38622,38613,37048,4140,71982,74128,74241,21399,68391
63986,RANDOLPH COUNTY,5273,5286,3151,5192,5287,2204,2200,2161,1486,2205,3082,3082,3073,3031,1665,15770,14801,18262,14796,14710,14465,7483,18262,18232,17974,8205,18262,14801,32562,33065,33181,33196,67488,20702,59842,62706,64128,21171,62923,66012,67684,Randolph,123,123,123,82,133,33058,32942,32439,15688,892,575,135556,892,575,958,892,560,668,575,444,111702,26060,143667,123257,RANDOLPH COUNTY,33063,21457,4260,23535,22993,23530,43191,43066,42127,16351,40574,20543,22496,22493,22000,4284,40131,40918,40964,15974,38724
3367,HYDE COUNTY,362,362,192,351,363,349,349,339,187,350,13,13,13,12,5,786,1866,86,1866,1857,1805,755,86,84,81,31,86,1866,1886,1941,1952,1952,3476,1068,3141,3281,3367,1089,3248,3390,3497,Hyde,,,,,,1952,1941,1886,786,0,,4753,0,,12,0,0,,,,4098,1114,4937,4410,HYDE COUNTY,1952,165,53,179,177,179,3306,3297,3213,1036,3083,153,167,167,164,44,3117,3200,3200,1024,2988
6531,ALLEGHANY COUNTY,907,908,654,904,908,396,395,392,299,396,512,512,512,512,355,2166,2209,1867,2208,2193,2162,1108,1867,1865,1862,1058,1867,2209,4024,4058,4075,4076,6948,2738,6268,6437,6580,2826,6650,6827,7005,Alleghany,,,,,,4075,4058,4024,2166,35,0,10626,35,0,69,35,25,38,0,0,9249,3116,11137,9915,ALLEGHANY COUNTY,4076,1373,382,1419,1413,1419,5517,5494,5379,2419,5242,1277,1319,1319,1312,367,5125,5212,5223,2371,4991
27533,DUPLIN COUNTY,1695,1697,1079,1674,1697,796,794,784,507,796,901,901,901,890,572,6045,6248,5925,6245,6193,6085,3045,5925,5908,5815,2907,5925,6248,12237,12449,12518,12562,30012,8215,25355,26895,27598,8523,27484,29245,30105,Duplin,348,348,337,93,389,12170,12101,11900,5952,2193,1650,55126,2157,1632,2242,1936,472,1691,1452,331,44760,11405,58741,49644,DUPLIN COUNTY,12173,7911,1653,8788,8654,8785,19075,19034,18434,6398,17637,7635,8446,8445,8321,1672,16942,17438,17461,6212,16268
4617,GATES COUNTY,367,368,235,361,368,298,297,292,194,298,70,70,70,69,41,1283,2005,348,2004,1992,1975,1153,348,348,335,130,348,2005,2310,2340,2352,2364,4924,1862,4402,4551,4646,1953,4684,4853,4993,Gates,0,0,0,0,11,2352,2340,2310,1283,90,43,11027,90,43,149,90,11,70,43,0,9230,2418,11562,10120,GATES COUNTY,2353,538,131,588,581,588,4256,4246,4182,1811,4056,509,547,547,543,135,3965,4027,4029,1727,3850
36069,HAYWOOD COUNTY,6616,6635,4303,6515,6635,4103,4085,4005,2692,4103,2532,2532,2531,2510,1611,11964,13014,9857,13013,12860,12540,6643,9857,9846,9711,5307,9857,13014,22353,22808,22972,23020,38052,14223,33924,35240,36191,14699,35804,37182,38275,Haywood,102,102,102,14,149,22870,22706,22251,11950,1533,931,59266,1533,931,1613,1533,701,1031,931,511,50968,15572,62317,54941,HAYWOOD COUNTY,22871,8251,2148,8721,8658,8713,27941,27806,26991,11850,26020,7631,8090,8088,8033,2015,26276,27050,27070,11697,25362
28152,STANLY COUNTY,2256,2265,1368,2234,2265,799,795,787,508,799,1466,1466,1461,1447,860,8129,8547,7320,8547,8488,8319,4404,7320,7313,7235,3651,7320,8547,15651,15898,15964,15974,29796,9898,26608,27678,28218,10268,28091,29252,29916,Stanly,97,97,97,74,107,15867,15801,15554,8055,706,556,59178,706,556,759,706,357,613,556,298,49282,12123,62806,54008,STANLY COUNTY,15867,7167,1452,7639,7508,7637,21518,21453,21038,8459,20218,6782,7211,7209,7103,1427,20019,20387,20394,8173,19270
