Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,county1,New Booster Doses - All Programs12Plus,New Booster Doses - All Programs5Plus,New Booster Doses - All Programs65Plus,New Booster Doses - All Programs18Plus,New Booster Doses- All Programs,Bivalent NC Dose - 5 Plus,Bivalent NC Dose - 12 Plus,Bivalent NC Dose - 18 Plus,Bivalent NC Dose - 65 Plus,Bivalent NC Dose,Bivalent LTC Dose,Bivalent LTC Dose  - 5 Plus,Bivalent LTC Dose  - 12 Plus,Bivalent LTC Dose  - 18 Plus,Bivalent LTC Dose  - 65 Plus,At Least One Booster/Additional Dose - All Providers - 65Plus,Additional Doses - NC,Additional Doses - Pharmacy,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,Additional Doses - 5Plus,Additional Doses - 12Plus,Additional Doses - 18Plus,Additional Doses - 65Plus,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,county-1,Additional Booster Doses,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus
56523,ROBESON COUNTY,3361,3382,1958,3303,3384,2040,2021,1979,1187,2042,1342,1342,1340,1324,771,11995,16784,8384,16784,16659,16378,8260,8384,8373,8194,3637,8384,16784,24789,25249,25385,25442,62397,16535,52366,55365,56647,17366,57640,61004,62578,Robeson,217,217,217,98,274,25168,25032,24572,11897,1497,1004,122048,1497,1004,1543,1497,605,1069,1004,407,98425,20565,130625,109195,ROBESON COUNTY,25168,14763,2403,16380,16117,16378,44655,44522,43390,14358,41380,13713,15175,15174,14973,2266,39388,40345,40403,13862,37649
6191,PERQUIMANS COUNTY,936,936,665,922,936,519,519,508,365,519,417,417,417,414,300,2361,2605,1097,2605,2598,2572,1690,1097,1096,1087,671,1097,2605,3659,3694,3702,3702,6687,2984,5938,6107,6207,3183,6398,6585,6723,Perquimans,,,,,,3702,3694,3659,2361,0,0,12861,0,0,20,0,0,12,0,0,10957,3671,13463,11854,PERQUIMANS COUNTY,3702,1148,257,1209,1197,1207,5494,5480,5388,2926,5250,1044,1102,1102,1094,236,5013,5089,5093,2748,4894
115421,JOHNSTON COUNTY,14817,14951,6957,14342,14955,6597,6512,6294,3637,6601,8354,8354,8305,8048,3320,22198,26625,34119,26613,26250,25405,10958,34117,33903,32883,11104,34119,26625,58784,60649,61226,61304,123072,26374,104162,111705,115685,27429,110576,118830,123732,Johnston,496,496,496,136,560,60730,60153,58288,22062,3696,2483,196283,3643,2460,3715,3452,1050,2499,2328,707,156585,28558,209339,175612,JOHNSTON COUNTY,60744,35072,4309,40745,39090,40688,79272,78688,76097,22070,72052,33318,38714,38692,37146,4184,72099,74246,74472,21483,68516
63984,RANDOLPH COUNTY,7095,7136,4145,6968,7139,3105,3079,3019,2047,3108,4031,4031,4016,3949,2098,15798,14766,18264,14760,14671,14427,7490,18264,18234,17980,8226,18264,14766,32530,33028,33147,33163,67505,20772,59864,62710,64148,21247,62965,66040,67720,Randolph,123,123,123,82,133,33024,32905,32407,15716,892,575,135556,892,575,958,892,560,668,575,444,111702,26060,143667,123257,RANDOLPH COUNTY,33030,21502,4285,23567,23029,23562,43195,43051,42119,16402,40571,20579,22521,22517,22030,4309,40105,40892,40959,16019,38710
3369,HYDE COUNTY,506,509,267,493,510,487,484,472,256,488,22,22,22,21,11,784,1857,87,1857,1848,1796,752,87,85,82,32,87,1857,1878,1933,1944,1944,3471,1065,3142,3283,3371,1085,3241,3384,3492,Hyde,,,,,,1944,1933,1878,784,0,,4753,0,,12,0,0,,,,4098,1114,4937,4410,HYDE COUNTY,1944,164,52,178,176,178,3302,3293,3208,1033,3077,153,167,167,164,44,3119,3202,3204,1021,2989
6540,ALLEGHANY COUNTY,1201,1209,826,1195,1210,551,543,537,391,552,658,658,658,658,435,2173,2201,1868,2200,2186,2154,1111,1868,1866,1863,1062,1868,2201,4017,4052,4068,4069,6949,2749,6279,6450,6591,2834,6653,6832,7006,Alleghany,,,,,,4068,4052,4017,2173,35,0,10626,35,0,69,35,25,38,0,0,9249,3116,11137,9915,ALLEGHANY COUNTY,4069,1376,384,1420,1414,1420,5517,5494,5383,2425,5242,1279,1320,1320,1313,370,5137,5220,5233,2379,5000
27540,DUPLIN COUNTY,2369,2377,1479,2339,2377,1245,1237,1223,769,1245,1132,1132,1132,1116,710,6053,6233,5936,6229,6177,6071,3042,5936,5919,5828,2918,5936,6233,12236,12444,12513,12559,30020,8239,25364,26905,27606,8548,27497,29262,30118,Duplin,348,348,337,93,390,12165,12096,11899,5960,2196,1651,55126,2160,1633,2245,1938,473,1692,1452,331,44760,11405,58741,49644,DUPLIN COUNTY,12169,7936,1666,8803,8674,8800,19070,19024,18428,6409,17623,7653,8456,8455,8335,1685,16937,17434,17458,6223,16259
4619,GATES COUNTY,543,547,342,532,548,448,444,434,289,449,99,99,99,98,53,1288,2005,349,2004,1992,1975,1158,349,349,336,130,349,2005,2311,2341,2353,2365,4925,1871,4409,4554,4648,1963,4690,4856,4994,Gates,0,0,0,0,11,2353,2341,2311,1288,90,43,11027,90,43,149,90,11,70,43,0,9230,2418,11562,10120,GATES COUNTY,2354,539,134,589,582,589,4256,4246,4184,1818,4061,511,549,549,545,137,3966,4027,4029,1734,3855
36144,HAYWOOD COUNTY,8214,8275,5192,8077,8276,5204,5144,5033,3284,5205,3071,3071,3070,3044,1908,12014,13013,9871,13012,12857,12542,6669,9871,9860,9724,5331,9871,13013,22368,22819,22985,23033,38110,14317,34005,35323,36314,14789,35873,37252,38344,Haywood,102,102,102,14,149,22883,22717,22266,12000,1533,931,59266,1533,931,1613,1533,701,1031,931,511,50968,15572,62317,54941,HAYWOOD COUNTY,22884,8268,2169,8737,8675,8729,27994,27848,27044,11919,26072,7646,8105,8102,8047,2037,26345,27111,27178,11769,25428
28065,STANLY COUNTY,2943,2962,1697,2903,2962,1135,1124,1103,668,1135,1827,1827,1819,1800,1029,8145,8485,7323,8485,8428,8260,4391,7323,7316,7239,3680,7323,8485,15596,15841,15905,15915,29709,9904,26535,27598,28140,10276,28020,29172,29831,Stanly,97,97,97,74,107,15808,15744,15499,8071,706,556,59178,706,556,759,706,357,613,556,298,49282,12123,62806,54008,STANLY COUNTY,15808,7187,1467,7655,7524,7654,21417,21349,20942,8452,20127,6797,7219,7219,7112,1442,19930,20290,20308,8164,19182
