state,county,date,cases_confirmed_cum,cases_daily,deaths_confirmed_cum,deaths_daily
North Carolina,Alamance,2020-06-04,413,0,29,0
North Carolina,Alexander,2020-06-04,38,0,0,0
North Carolina,Alleghany,2020-06-04,24,0,0,0
North Carolina,Anson,2020-06-04,68,0,1,0
North Carolina,Ashe,2020-06-04,39,2,0,0
North Carolina,Avery,2020-06-04,2,0,0,0
North Carolina,Beaufort,2020-06-04,39,3,0,0
North Carolina,Bertie,2020-06-04,127,1,4,0
North Carolina,Bladen,2020-06-04,132,26,2,0
North Carolina,Brunswick,2020-06-04,115,5,3,0
North Carolina,Buncombe,2020-06-04,374,13,30,0
North Carolina,Burke,2020-06-04,497,20,16,0
North Carolina,Cabarrus,2020-06-04,530,19,23,1
North Carolina,Caldwell,2020-06-04,173,12,3,0
North Carolina,Camden,2020-06-04,3,0,0,0
North Carolina,Carteret,2020-06-04,39,2,3,0
North Carolina,Caswell,2020-06-04,94,0,1,0
North Carolina,Catawba,2020-06-04,258,3,9,0
North Carolina,Chatham,2020-06-04,677,17,27,0
North Carolina,Cherokee,2020-06-04,30,0,1,0
North Carolina,Chowan,2020-06-04,17,0,0,0
North Carolina,Clay,2020-06-04,8,0,0,0
North Carolina,Cleveland,2020-06-04,109,0,2,0
North Carolina,Columbus,2020-06-04,349,0,27,0
North Carolina,Craven,2020-06-04,216,6,5,0
North Carolina,Cumberland,2020-06-04,733,12,25,0
North Carolina,Currituck,2020-06-04,15,1,0,0
North Carolina,Dare,2020-06-04,22,0,1,0
North Carolina,Davidson,2020-06-04,477,31,13,0
North Carolina,Davie,2020-06-04,107,2,2,0
North Carolina,Duplin,2020-06-04,915,25,20,0
North Carolina,Durham,2020-06-04,1830,2,49,0
North Carolina,Edgecombe,2020-06-04,214,4,9,0
North Carolina,Forsyth,2020-06-04,1560,43,17,3
North Carolina,Franklin,2020-06-04,169,2,22,0
North Carolina,Gaston,2020-06-04,301,4,8,1
North Carolina,Gates,2020-06-04,24,0,1,0
North Carolina,Graham,2020-06-04,2,0,0,0
North Carolina,Granville,2020-06-04,324,0,12,1
North Carolina,Greene,2020-06-04,84,3,2,0
North Carolina,Guilford,2020-06-04,1445,30,71,0
North Carolina,Halifax,2020-06-04,197,0,1,0
North Carolina,Harnett,2020-06-04,309,3,28,0
North Carolina,Haywood,2020-06-04,55,2,0,0
North Carolina,Henderson,2020-06-04,354,2,47,0
North Carolina,Hertford,2020-06-04,132,0,3,0
North Carolina,Hoke,2020-06-04,259,4,1,0
North Carolina,Hyde,2020-06-04,1,0,0,0
North Carolina,Iredell,2020-06-04,289,9,6,0
North Carolina,Jackson,2020-06-04,38,0,1,0
North Carolina,Johnston,2020-06-04,519,6,23,0
North Carolina,Jones,2020-06-04,28,0,3,0
North Carolina,Lee,2020-06-04,490,4,4,0
North Carolina,Lenoir,2020-06-04,222,0,7,0
North Carolina,Lincoln,2020-06-04,87,9,0,0
North Carolina,Macon,2020-06-04,98,9,1,0
North Carolina,Madison,2020-06-04,4,0,0,0
North Carolina,Martin,2020-06-04,74,0,4,0
North Carolina,McDowell,2020-06-04,82,0,1,0
North Carolina,Mecklenburg,2020-06-04,4842,172,102,5
North Carolina,Mitchell,2020-06-04,16,1,0,0
North Carolina,Montgomery,2020-06-04,162,0,5,0
North Carolina,Moore,2020-06-04,241,6,11,1
North Carolina,Nash,2020-06-04,218,5,4,0
North Carolina,New Hanover,2020-06-04,225,0,5,0
North Carolina,Northampton,2020-06-04,165,0,14,0
North Carolina,Onslow,2020-06-04,117,3,2,0
North Carolina,Orange,2020-06-04,370,6,40,0
North Carolina,Out of NC,2020-06-04,0,0,0,0
North Carolina,Pamlico,2020-06-04,10,0,0,0
North Carolina,Pasquotank,2020-06-04,115,3,13,0
North Carolina,Pender,2020-06-04,93,0,1,0
North Carolina,Perquimans,2020-06-04,25,0,2,0
North Carolina,Person,2020-06-04,55,1,1,0
North Carolina,Pitt,2020-06-04,326,5,2,0
North Carolina,Polk,2020-06-04,43,4,4,0
North Carolina,Randolph,2020-06-04,730,2,14,0
North Carolina,Richmond,2020-06-04,171,1,3,0
North Carolina,Robeson,2020-06-04,905,20,26,0
North Carolina,Rockingham,2020-06-04,103,1,2,0
North Carolina,Rowan,2020-06-04,707,19,38,0
North Carolina,Rutherford,2020-06-04,188,2,7,0
North Carolina,Sampson,2020-06-04,531,21,4,0
North Carolina,Scotland,2020-06-04,89,2,0,0
North Carolina,Stanly,2020-06-04,96,4,4,0
North Carolina,Stokes,2020-06-04,79,4,0,0
North Carolina,Surry,2020-06-04,251,20,2,0
North Carolina,Swain,2020-06-04,21,0,0,0
North Carolina,Transylvania,2020-06-04,15,0,1,1
North Carolina,Tyrrell,2020-06-04,4,0,0,0
North Carolina,Unassigned,2020-06-04,0,0,0,0
North Carolina,Union,2020-06-04,533,27,21,0
North Carolina,Vance,2020-06-04,344,7,25,2
North Carolina,Wake,2020-06-04,1977,76,40,0
North Carolina,Warren,2020-06-04,72,2,2,0
North Carolina,Washington,2020-06-04,32,0,3,0
North Carolina,Watauga,2020-06-04,35,4,0,0
North Carolina,Wayne,2020-06-04,1212,24,20,0
North Carolina,Wilkes,2020-06-04,502,2,6,0
North Carolina,Wilson,2020-06-04,403,19,11,0
North Carolina,Yadkin,2020-06-04,203,0,3,0
North Carolina,Yancey,2020-06-04,18,0,0,0
